,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
0,1,13,1.0,True,1.0,True,1.0,0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0
1,6,4,1.0,True,1.0,True,7.0,0,7.0,8.0,0.0,1.0,5.0,0.0,1.0,1.0
2,30,23,1.0,True,66.0,False,37.0,0,37.0,38.0,0.0,1.0,29.0,0.0,1.0,1.0
3,2,22,1.0,True,791.0,False,39.0,0,39.0,40.0,0.0,1.0,1.0,0.0,1.0,1.0
4,5,4,1.0,True,520.0,False,44.0,0,44.0,45.0,0.0,1.0,4.0,0.0,1.0,1.0
5,10,1,1.0,True,165.0,False,54.0,0,54.0,55.0,0.0,1.0,9.0,0.0,1.0,1.0
6,31,29,593.0,True,37.0,True,85.0,0,85.0,678.0,0.0,593.0,30.0,0.0,1.0,1.0
7,31,22,1.0,True,60.0,False,116.0,35,679.0,679.0,563.0,563.0,0.0,0.0,0.0,0.0
8,6,27,1.0,True,297.0,False,122.0,34,680.0,680.0,558.0,558.0,0.0,0.0,0.0,0.0
9,3,1,1.0,True,267.0,False,125.0,33,681.0,681.0,556.0,556.0,0.0,0.0,0.0,0.0
10,30,9,1.0,True,250.0,False,155.0,32,682.0,682.0,527.0,527.0,0.0,0.0,0.0,0.0
11,2,23,1.0,True,1.0,True,157.0,31,683.0,683.0,526.0,526.0,0.0,0.0,0.0,0.0
12,23,24,1.0,True,83.0,False,180.0,30,684.0,684.0,504.0,504.0,0.0,0.0,0.0,0.0
13,18,13,1.0,True,111.0,False,198.0,29,685.0,685.0,487.0,487.0,0.0,0.0,0.0,0.0
14,28,8,1.0,True,3.0,True,226.0,28,686.0,686.0,460.0,460.0,0.0,0.0,0.0,0.0
15,15,16,1.0,True,1.0,True,241.0,27,687.0,687.0,446.0,446.0,0.0,0.0,0.0,0.0
16,10,25,1.0,True,5.0,True,251.0,26,688.0,688.0,437.0,437.0,0.0,0.0,0.0,0.0
17,28,12,1.0,True,6.0,True,279.0,25,689.0,689.0,410.0,410.0,0.0,0.0,0.0,0.0
18,24,17,1.0,True,4.0,True,303.0,24,690.0,690.0,387.0,387.0,0.0,0.0,0.0,0.0
19,23,22,1.0,True,2.0,True,326.0,24,691.0,691.0,365.0,365.0,0.0,0.0,0.0,0.0
20,17,24,216.0,True,236.0,True,343.0,23,692.0,692.0,349.0,349.0,0.0,0.0,0.0,0.0
21,19,12,7.0,True,3.0,True,362.0,22,693.0,693.0,331.0,331.0,0.0,0.0,0.0,0.0
22,10,16,3312.0,True,1.0,True,372.0,21,694.0,694.0,322.0,322.0,0.0,0.0,0.0,0.0
23,12,26,42.0,True,37.0,True,384.0,21,695.0,695.0,311.0,311.0,0.0,0.0,0.0,0.0
24,14,28,3598.0,False,1031.0,False,398.0,20,696.0,696.0,298.0,298.0,0.0,0.0,0.0,0.0
25,11,13,3598.0,False,35.0,False,409.0,19,697.0,697.0,288.0,288.0,0.0,0.0,0.0,0.0
26,18,7,3598.0,False,528.0,False,427.0,18,698.0,698.0,271.0,271.0,0.0,0.0,0.0,0.0
27,19,1,3598.0,False,1.0,True,446.0,17,699.0,699.0,253.0,253.0,0.0,0.0,0.0,0.0
28,7,29,3598.0,False,1384.0,False,453.0,16,700.0,700.0,247.0,247.0,0.0,0.0,0.0,0.0
29,8,11,82.0,True,117.0,True,461.0,15,701.0,701.0,240.0,240.0,0.0,0.0,0.0,0.0
30,12,4,87.0,True,109.0,False,473.0,14,702.0,702.0,229.0,229.0,0.0,0.0,0.0,0.0
31,8,27,75.0,True,1.0,True,481.0,13,703.0,703.0,222.0,222.0,0.0,0.0,0.0,0.0
32,24,22,190.0,True,6.0,True,505.0,12,704.0,704.0,199.0,199.0,0.0,0.0,0.0,0.0
33,30,27,512.0,True,1.0,True,535.0,11,705.0,705.0,170.0,170.0,0.0,0.0,0.0,0.0
34,25,24,1400.0,True,17.0,False,560.0,10,706.0,706.0,146.0,146.0,0.0,0.0,0.0,0.0
35,24,17,3134.0,True,955.0,True,584.0,9,707.0,707.0,123.0,123.0,0.0,0.0,0.0,0.0
36,30,28,1.0,True,1.0,True,614.0,8,708.0,708.0,94.0,94.0,0.0,0.0,0.0,0.0
37,2,16,1.0,True,1.0,True,616.0,7,709.0,709.0,93.0,93.0,0.0,0.0,0.0,0.0
38,28,29,16.0,True,116.0,True,644.0,6,710.0,710.0,66.0,66.0,0.0,0.0,0.0,0.0
39,24,7,1.0,True,1.0,True,668.0,5,711.0,711.0,43.0,43.0,0.0,0.0,0.0,0.0
40,5,12,1.0,True,1.0,True,673.0,4,712.0,712.0,39.0,39.0,0.0,0.0,0.0,0.0
41,1,22,275.0,True,148.0,True,674.0,3,713.0,713.0,39.0,39.0,0.0,0.0,0.0,0.0
42,16,20,3598.0,False,416.0,False,690.0,2,714.0,714.0,24.0,24.0,0.0,0.0,0.0,0.0
43,4,3,1.0,True,14.0,True,694.0,1,715.0,715.0,21.0,21.0,0.0,0.0,0.0,0.0
44,29,21,1.0,True,1.0,True,723.0,0,723.0,724.0,0.0,1.0,8.0,0.0,1.0,1.0
45,29,18,3598.0,False,1871.0,False,752.0,0,752.0,4350.0,0.0,3598.0,28.0,0.0,1.0,0.0
46,6,29,3598.0,False,497.0,True,758.0,224,4351.0,4351.0,3593.0,3593.0,0.0,0.0,0.0,0.0
47,16,25,1.0,True,1.0,True,774.0,223,4352.0,4352.0,3578.0,3578.0,0.0,0.0,0.0,0.0
48,24,6,49.0,True,233.0,True,798.0,222,4353.0,4353.0,3555.0,3555.0,0.0,0.0,0.0,0.0
49,12,20,3598.0,False,416.0,False,810.0,221,4354.0,4354.0,3544.0,3544.0,0.0,0.0,0.0,0.0
50,15,7,1.0,True,1.0,True,825.0,221,4355.0,4355.0,3530.0,3530.0,0.0,0.0,0.0,0.0
