,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,Stopped,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
0,1,13,1.0,True,1.0,True,1.0,0,0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0
1,6,4,1.0,True,1.0,True,7.0,0,0,7.0,8.0,0.0,1.0,5.0,0.0,1.0,1.0
2,30,23,1.0,True,66.0,False,37.0,0,0,37.0,37.0,0.0,1.0,29.0,0.0,0.0,0.0
3,2,22,1.0,True,791.0,False,39.0,0,0,39.0,39.0,0.0,1.0,2.0,0.0,0.0,0.0
4,5,4,1.0,True,520.0,False,44.0,0,0,44.0,44.0,0.0,1.0,5.0,0.0,0.0,0.0
5,10,1,1.0,True,165.0,False,54.0,0,0,54.0,54.0,0.0,1.0,10.0,0.0,0.0,0.0
6,31,29,593.0,True,37.0,True,85.0,0,0,85.0,678.0,0.0,593.0,31.0,0.0,1.0,1.0
11,2,23,1.0,True,1.0,True,157.0,0,35,679.0,679.0,522.0,522.0,0.0,0.0,0.0,0.0
31,8,27,75.0,True,1.0,True,481.0,0,34,680.0,680.0,199.0,199.0,0.0,0.0,0.0,0.0
36,30,28,1.0,True,1.0,True,614.0,0,33,681.0,681.0,67.0,67.0,0.0,0.0,0.0,0.0
37,2,16,1.0,True,1.0,True,616.0,0,32,682.0,682.0,66.0,66.0,0.0,0.0,0.0,0.0
33,30,27,512.0,True,1.0,True,535.0,0,31,683.0,683.0,148.0,148.0,0.0,0.0,0.0,0.0
15,15,16,1.0,True,1.0,True,241.0,0,30,684.0,684.0,443.0,443.0,0.0,0.0,0.0,0.0
27,19,1,3598.0,False,1.0,True,446.0,0,29,685.0,685.0,239.0,239.0,0.0,0.0,0.0,0.0
22,10,16,3312.0,True,1.0,True,372.0,0,28,686.0,686.0,314.0,314.0,0.0,0.0,0.0,0.0
39,24,7,1.0,True,1.0,True,668.0,0,27,687.0,687.0,19.0,19.0,0.0,0.0,0.0,0.0
40,5,12,1.0,True,1.0,True,673.0,0,26,688.0,688.0,15.0,15.0,0.0,0.0,0.0,0.0
19,23,22,1.0,True,2.0,True,326.0,0,25,689.0,689.0,363.0,363.0,0.0,0.0,0.0,0.0
21,19,12,7.0,True,3.0,True,362.0,0,24,690.0,690.0,328.0,328.0,0.0,0.0,0.0,0.0
14,28,8,1.0,True,3.0,True,226.0,0,24,691.0,691.0,465.0,465.0,0.0,0.0,0.0,0.0
18,24,17,1.0,True,4.0,True,303.0,0,23,692.0,692.0,389.0,389.0,0.0,0.0,0.0,0.0
16,10,25,1.0,True,5.0,True,251.0,0,22,693.0,693.0,442.0,442.0,0.0,0.0,0.0,0.0
32,24,22,190.0,True,6.0,True,505.0,0,21,694.0,694.0,189.0,189.0,0.0,0.0,0.0,0.0
17,28,12,1.0,True,6.0,True,279.0,0,21,695.0,695.0,416.0,416.0,0.0,0.0,0.0,0.0
