,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime
0,1,13,1.0,True,1.0,True,1.0
1,6,4,1.0,True,1.0,True,7.0
2,30,23,1.0,True,1.0,True,37.0
3,2,22,1.0,True,1.0,True,39.0
4,5,4,1.0,True,1.0,True,44.0
5,10,1,1.0,True,1.0,True,54.0
6,31,29,593.0,True,593.0,True,85.0
7,31,22,1.0,True,1.0,True,116.0
8,6,27,1.0,True,1.0,True,122.0
9,3,1,1.0,True,1.0,True,125.0
10,30,9,1.0,True,1.0,True,155.0
11,2,23,1.0,True,1.0,True,157.0
12,23,24,1.0,True,1.0,True,180.0
13,18,13,1.0,True,1.0,True,198.0
14,28,8,1.0,True,1.0,True,226.0
15,15,16,1.0,True,1.0,True,241.0
16,10,25,1.0,True,1.0,True,251.0
17,28,12,1.0,True,1.0,True,279.0
18,24,17,1.0,True,1.0,True,303.0
19,23,22,1.0,True,1.0,True,326.0
20,17,24,216.0,True,216.0,True,343.0
21,19,12,7.0,True,7.0,True,362.0
22,10,16,3312.0,True,3312.0,True,372.0
23,12,26,42.0,True,42.0,True,384.0
24,14,28,3598.0,False,3598.0,False,398.0
25,11,13,3598.0,False,3598.0,False,409.0
26,18,7,3598.0,False,3598.0,False,427.0
27,19,1,3598.0,False,3598.0,False,446.0
28,7,29,3598.0,False,3598.0,False,453.0
29,8,11,82.0,True,82.0,True,461.0
30,12,4,87.0,True,87.0,True,473.0
31,8,27,75.0,True,75.0,True,481.0
32,24,22,190.0,True,190.0,True,505.0
33,30,27,512.0,True,512.0,True,535.0
34,25,24,1400.0,True,1400.0,True,560.0
35,24,17,3134.0,True,3134.0,True,584.0
36,30,28,1.0,True,1.0,True,614.0
37,2,16,1.0,True,1.0,True,616.0
38,28,29,16.0,True,16.0,True,644.0
39,24,7,1.0,True,1.0,True,668.0
40,5,12,1.0,True,1.0,True,673.0
41,1,22,275.0,True,275.0,True,674.0
42,16,20,3598.0,False,3598.0,False,690.0
43,4,3,1.0,True,1.0,True,694.0
44,29,21,1.0,True,1.0,True,723.0
45,29,18,3598.0,False,3598.0,False,752.0
46,6,29,3598.0,False,3598.0,False,758.0
47,16,25,1.0,True,1.0,True,774.0
48,24,6,49.0,True,49.0,True,798.0
49,12,20,3598.0,False,3598.0,False,810.0
50,15,7,1.0,True,1.0,True,825.0
51,20,6,1.0,True,1.0,True,845.0
52,18,11,1.0,True,1.0,True,863.0
53,12,2,1.0,True,1.0,True,875.0
54,6,5,1.0,True,1.0,True,881.0
55,3,2,1.0,True,1.0,True,884.0
56,22,27,286.0,True,286.0,True,906.0
57,20,15,1.0,True,1.0,True,926.0
58,9,1,1.0,True,1.0,True,935.0
59,6,4,1.0,True,1.0,True,941.0
60,3,1,1.0,True,1.0,True,944.0
61,13,1,1.0,True,1.0,True,957.0
62,6,14,3598.0,False,3598.0,False,963.0
63,28,1,3.0,True,3.0,True,991.0
64,20,22,7.0,True,7.0,True,1011.0
65,13,8,42.0,True,42.0,True,1024.0
66,15,25,6.0,True,6.0,True,1039.0
67,28,12,11.0,True,11.0,True,1067.0
68,17,11,1507.0,True,1507.0,True,1084.0
69,28,22,22.0,True,22.0,True,1112.0
70,7,26,37.0,True,37.0,True,1119.0
71,25,14,5.0,True,5.0,True,1144.0
72,1,25,3598.0,False,3598.0,False,1145.0
73,12,16,1.0,True,1.0,True,1157.0
74,6,3,3.0,True,3.0,True,1163.0
75,11,5,14.0,True,14.0,True,1174.0
76,13,1,36.0,True,36.0,True,1187.0
77,23,22,62.0,True,62.0,True,1210.0
78,13,8,2.0,True,2.0,True,1223.0
79,25,4,5.0,True,5.0,True,1248.0
80,31,23,4.0,True,4.0,True,1279.0
81,10,9,10.0,True,10.0,True,1289.0
82,19,8,3598.0,False,3598.0,False,1308.0
83,19,29,85.0,True,85.0,True,1327.0
84,19,16,154.0,True,154.0,True,1346.0
85,26,15,1.0,True,1.0,True,1372.0
86,15,24,3.0,True,3.0,True,1387.0
87,27,11,32.0,True,32.0,True,1414.0
88,24,3,3.0,True,3.0,True,1438.0
89,22,27,1726.0,True,1726.0,True,1460.0
90,8,15,1.0,True,1.0,True,1468.0
91,18,1,1.0,True,1.0,True,1486.0
92,28,3,1.0,True,1.0,True,1514.0
93,1,20,1.0,True,1.0,True,1515.0
94,27,15,1.0,True,1.0,True,1542.0
95,13,5,1.0,True,1.0,True,1555.0
96,26,28,1.0,True,1.0,True,1581.0
97,15,25,7.0,True,7.0,True,1596.0
98,27,22,70.0,True,70.0,True,1623.0
99,12,23,1.0,True,1.0,True,1635.0
100,31,2,17.0,True,17.0,True,1666.0
101,4,18,1.0,True,1.0,True,1670.0
102,1,16,1.0,True,1.0,True,1671.0
103,4,22,1.0,True,1.0,True,1675.0
104,1,9,35.0,True,35.0,True,1676.0
105,7,21,24.0,True,24.0,True,1683.0
106,3,29,1.0,True,1.0,True,1686.0
107,18,3,70.0,True,70.0,True,1704.0
108,28,8,3598.0,False,3598.0,False,1732.0
109,29,18,1.0,True,1.0,True,1761.0
110,13,28,31.0,True,31.0,True,1774.0
111,6,15,3598.0,False,3598.0,False,1780.0
112,9,5,1.0,True,1.0,True,1789.0
113,12,24,1.0,True,1.0,True,1801.0
114,31,25,1.0,True,1.0,True,1832.0
115,23,14,1.0,True,1.0,True,1855.0
116,22,12,1.0,True,1.0,True,1877.0
117,2,9,3598.0,False,3598.0,False,1879.0
118,1,9,1.0,True,1.0,True,1880.0
119,6,23,1.0,True,1.0,True,1886.0
120,28,24,1.0,True,1.0,True,1914.0
121,9,16,1.0,True,1.0,True,1923.0
122,19,27,7.0,True,7.0,True,1942.0
123,26,21,3.0,True,3.0,True,1968.0
124,31,1,1493.0,True,1493.0,True,1999.0
125,21,19,3598.0,False,3598.0,False,2020.0
126,8,9,4.0,True,4.0,True,2028.0
127,26,11,3598.0,False,3598.0,False,2054.0
128,6,26,1.0,True,1.0,True,2060.0
129,14,17,1.0,True,1.0,True,2074.0
130,19,17,1.0,True,1.0,True,2093.0
131,21,22,1.0,True,1.0,True,2114.0
132,9,17,52.0,True,52.0,True,2123.0
133,12,19,235.0,True,235.0,True,2135.0
134,19,7,6.0,True,6.0,True,2154.0
135,6,13,2.0,True,2.0,True,2160.0
136,29,29,310.0,True,310.0,True,2189.0
137,23,3,1.0,True,1.0,True,2212.0
138,6,18,2.0,True,2.0,True,2218.0
139,10,17,2.0,True,2.0,True,2228.0
140,13,22,1017.0,True,1017.0,True,2241.0
141,30,5,2577.0,True,2577.0,True,2271.0
142,7,24,3.0,True,3.0,True,2278.0
143,2,5,99.0,True,99.0,True,2280.0
144,15,27,1.0,True,1.0,True,2295.0
145,26,4,132.0,True,132.0,True,2321.0
