,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,Stopped,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
0,1,5,1.0,True,1.0,True,1.0,0,0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0
1,2,10,1.0,True,1.0,True,3.0,0,0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0
2,37,9,1.0,True,1.0,True,40.0,0,0,40.0,41.0,0.0,1.0,36.0,0.0,1.0,1.0
3,42,25,1.0,True,1.0,True,82.0,0,0,82.0,83.0,0.0,1.0,41.0,0.0,1.0,1.0
4,35,25,1.0,True,1.0,True,117.0,0,0,117.0,118.0,0.0,1.0,34.0,0.0,1.0,1.0
5,30,9,1.0,True,1.0,True,147.0,0,0,147.0,148.0,0.0,1.0,29.0,0.0,1.0,1.0
6,2,24,593.0,True,63.0,True,149.0,1,0,149.0,446.0,0.0,297.0,1.0,0.0,1.0,0.0
7,60,24,1.0,True,1.0,True,209.0,0,0,447.0,447.0,238.0,238.0,0.0,0.0,0.0,0.0
8,15,16,1.0,True,1.0,True,224.0,0,0,448.0,448.0,224.0,224.0,0.0,0.0,0.0,0.0
9,74,16,1.0,True,4.0,True,298.0,0,0,449.0,449.0,151.0,151.0,0.0,0.0,0.0,0.0
10,12,8,1.0,True,1.0,True,310.0,0,0,450.0,450.0,140.0,140.0,0.0,0.0,0.0,0.0
11,78,28,1.0,True,1.0,True,388.0,0,0,451.0,451.0,63.0,63.0,0.0,0.0,0.0,0.0
12,11,14,1.0,True,6.0,True,399.0,0,0,452.0,452.0,53.0,53.0,0.0,0.0,0.0,0.0
13,39,1,1.0,True,1.0,True,438.0,0,0,453.0,453.0,15.0,15.0,0.0,0.0,0.0,0.0
14,8,24,1.0,True,1.0,True,446.0,0,0,454.0,455.0,8.0,9.0,0.0,0.0,1.0,1.0
15,44,26,1.0,True,1.0,True,490.0,0,0,490.0,491.0,0.0,1.0,35.0,0.0,1.0,1.0
16,24,28,1.0,True,1.0,True,514.0,0,0,514.0,515.0,0.0,1.0,23.0,0.0,1.0,1.0
17,30,13,1.0,True,1.0,True,544.0,0,0,544.0,545.0,0.0,1.0,29.0,0.0,1.0,1.0
18,57,4,1.0,True,1.0,True,601.0,0,0,601.0,602.0,0.0,1.0,56.0,0.0,1.0,1.0
19,56,22,1.0,True,1.0,True,657.0,0,0,657.0,658.0,0.0,1.0,55.0,0.0,1.0,1.0
20,32,3,216.0,True,426.0,True,689.0,0,0,689.0,905.0,0.0,216.0,31.0,0.0,1.0,1.0
21,62,5,7.0,True,11.0,True,751.0,0,6,906.0,906.0,155.0,155.0,0.0,0.0,0.0,0.0
22,37,7,3312.0,True,414.0,False,788.0,0,5,907.0,907.0,119.0,119.0,0.0,0.0,0.0,0.0
23,65,15,42.0,True,48.0,True,853.0,0,4,908.0,908.0,55.0,55.0,0.0,0.0,0.0,0.0
24,4,21,3598.0,False,1375.0,False,857.0,0,3,909.0,909.0,52.0,52.0,0.0,0.0,0.0,0.0
25,6,12,3598.0,False,1525.0,False,863.0,0,2,910.0,910.0,47.0,47.0,0.0,0.0,0.0,0.0
26,16,10,3598.0,False,1833.0,False,879.0,0,1,911.0,911.0,32.0,32.0,0.0,0.0,0.0,0.0
27,76,28,3598.0,False,253.0,False,955.0,0,0,955.0,955.0,0.0,1.0,44.0,0.0,0.0,0.0
28,15,2,3598.0,False,657.0,False,970.0,0,0,970.0,970.0,0.0,1.0,15.0,0.0,0.0,0.0
29,6,25,82.0,True,99.0,True,976.0,0,0,976.0,1058.0,0.0,82.0,6.0,0.0,1.0,1.0
30,35,24,87.0,True,683.0,False,1011.0,0,1,1059.0,1059.0,48.0,48.0,0.0,0.0,0.0,0.0
31,54,17,75.0,True,190.0,False,1065.0,0,0,1065.0,1065.0,0.0,1.0,6.0,0.0,0.0,0.0
32,73,2,190.0,True,44.0,True,1138.0,0,0,1138.0,1328.0,0.0,190.0,73.0,0.0,1.0,1.0
33,6,10,512.0,True,458.0,False,1144.0,0,8,1329.0,1329.0,185.0,185.0,0.0,0.0,0.0,0.0
34,6,3,1400.0,True,919.0,False,1150.0,0,7,1330.0,1330.0,180.0,180.0,0.0,0.0,0.0,0.0
35,60,4,3134.0,True,445.0,True,1210.0,0,6,1331.0,1331.0,121.0,121.0,0.0,0.0,0.0,0.0
36,13,9,1.0,True,1.0,True,1223.0,0,5,1332.0,1332.0,109.0,109.0,0.0,0.0,0.0,0.0
37,15,26,1.0,True,1.0,True,1238.0,0,4,1333.0,1333.0,95.0,95.0,0.0,0.0,0.0,0.0
38,28,21,16.0,True,231.0,True,1266.0,0,3,1334.0,1334.0,68.0,68.0,0.0,0.0,0.0,0.0
39,39,21,1.0,True,1.0,True,1305.0,0,2,1335.0,1335.0,30.0,30.0,0.0,0.0,0.0,0.0
40,6,24,1.0,True,1.0,True,1311.0,0,1,1336.0,1336.0,25.0,25.0,0.0,0.0,0.0,0.0
41,75,18,275.0,True,53.0,True,1386.0,0,0,1386.0,1661.0,0.0,275.0,50.0,0.0,1.0,1.0
42,77,15,3598.0,False,148.0,True,1463.0,0,6,1662.0,1662.0,199.0,199.0,0.0,0.0,0.0,0.0
43,23,6,1.0,True,1.0,True,1486.0,0,5,1663.0,1663.0,177.0,177.0,0.0,0.0,0.0,0.0
44,13,3,1.0,True,1.0,True,1499.0,0,4,1664.0,1664.0,165.0,165.0,0.0,0.0,0.0,0.0
45,63,4,3598.0,False,1833.0,False,1562.0,0,3,1665.0,1665.0,103.0,103.0,0.0,0.0,0.0,0.0
46,42,4,3598.0,False,106.0,True,1604.0,0,2,1666.0,1666.0,62.0,62.0,0.0,0.0,0.0,0.0
47,19,27,1.0,True,1.0,True,1623.0,0,1,1667.0,1667.0,44.0,44.0,0.0,0.0,0.0,0.0
48,51,29,49.0,True,122.0,True,1674.0,0,0,1674.0,1723.0,0.0,49.0,7.0,0.0,1.0,1.0
49,58,27,3598.0,False,155.0,True,1732.0,1,0,1732.0,2002.0,0.0,270.0,9.0,0.0,1.0,0.0
50,47,1,1.0,True,1.0,True,1779.0,0,0,2003.0,2003.0,224.0,224.0,0.0,0.0,0.0,0.0
51,59,4,1.0,True,1.0,True,1838.0,0,0,2004.0,2004.0,166.0,166.0,0.0,0.0,0.0,0.0
52,24,15,1.0,True,1.0,True,1862.0,0,0,2005.0,2005.0,143.0,143.0,0.0,0.0,0.0,0.0
53,22,25,1.0,True,17.0,True,1884.0,0,0,2006.0,2006.0,122.0,122.0,0.0,0.0,0.0,0.0
54,8,29,1.0,True,7.0,True,1892.0,0,0,2007.0,2007.0,115.0,115.0,0.0,0.0,0.0,0.0
55,64,28,1.0,True,1.0,True,1956.0,0,0,2008.0,2008.0,52.0,52.0,0.0,0.0,0.0,0.0
56,1,24,286.0,True,46.0,True,1957.0,0,0,2009.0,2009.0,52.0,52.0,0.0,0.0,0.0,0.0
57,45,3,1.0,True,8.0,True,2002.0,0,0,2010.0,2010.0,8.0,8.0,0.0,0.0,0.0,0.0
58,58,1,1.0,True,1.0,True,2060.0,0,0,2060.0,2061.0,0.0,1.0,50.0,0.0,1.0,1.0
