,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,MIPAttended,Stopped,MIPnotScheduled,MIPRunTime,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
0,1,5,1.0,True,1.0,True,1.0,-1,0,0,0.0,0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0
1,2,10,1.0,True,1.0,True,3.0,-1,0,0,0.0,0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0
2,37,9,1.0,True,66.0,False,40.0,-1,0,0,0.0,0,40.0,40.0,0.0,1.0,36.0,0.0,0.0,0.0
3,42,25,1.0,True,791.0,False,82.0,-1,0,0,0.0,0,82.0,82.0,0.0,1.0,42.0,0.0,0.0,0.0
4,35,25,1.0,True,520.0,False,117.0,-1,0,0,0.0,0,117.0,117.0,0.0,1.0,35.0,0.0,0.0,0.0
5,30,9,1.0,True,165.0,False,147.0,-1,0,0,0.0,0,147.0,147.0,0.0,1.0,30.0,0.0,0.0,0.0
6,2,24,593.0,True,37.0,True,149.0,-1,1,0,0.0,0,149.0,446.0,0.0,297.0,2.0,0.0,1.0,0.0
11,78,28,1.0,True,1.0,True,388.0,-1,0,0,0.0,0,447.0,447.0,59.0,59.0,0.0,0.0,0.0,0.0
14,8,24,1.0,True,3.0,True,446.0,-1,0,0,0.0,0,448.0,449.0,2.0,3.0,0.0,0.0,1.0,1.0
7,60,24,1.0,True,60.0,False,209.0,-1,0,0,0.0,6,450.0,450.0,241.0,241.0,0.0,0.0,0.0,0.0
8,15,16,1.0,True,297.0,False,224.0,-1,0,0,0.0,1,450.0,450.0,226.0,226.0,0.0,0.0,0.0,0.0
9,74,16,1.0,True,267.0,False,298.0,-1,0,0,0.0,2,450.0,450.0,152.0,152.0,0.0,0.0,0.0,0.0
10,12,8,1.0,True,250.0,False,310.0,-1,0,0,0.0,3,450.0,450.0,140.0,140.0,0.0,0.0,0.0,0.0
