,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
0,1,5,1.0,True,1.0,True,1.0,0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0
1,2,10,1.0,True,1.0,True,3.0,0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0
2,37,9,1.0,True,1.0,True,40.0,0,40.0,41.0,0.0,1.0,36.0,0.0,1.0,1.0
3,42,25,1.0,True,1.0,True,82.0,0,82.0,83.0,0.0,1.0,41.0,0.0,1.0,1.0
4,35,25,1.0,True,1.0,True,117.0,0,117.0,118.0,0.0,1.0,34.0,0.0,1.0,1.0
5,30,9,1.0,True,1.0,True,147.0,0,147.0,148.0,0.0,1.0,29.0,0.0,1.0,1.0
6,2,24,593.0,True,56.0,True,149.0,0,149.0,742.0,0.0,593.0,1.0,0.0,1.0,1.0
7,60,24,1.0,True,1.0,True,209.0,14,743.0,743.0,534.0,534.0,0.0,0.0,0.0,0.0
13,39,1,1.0,True,1.0,True,438.0,13,744.0,744.0,306.0,306.0,0.0,0.0,0.0,0.0
18,57,4,1.0,True,1.0,True,601.0,12,745.0,745.0,144.0,144.0,0.0,0.0,0.0,0.0
19,56,22,1.0,True,1.0,True,657.0,11,746.0,746.0,89.0,89.0,0.0,0.0,0.0,0.0
8,15,16,1.0,True,1.0,True,224.0,10,747.0,747.0,523.0,523.0,0.0,0.0,0.0,0.0
11,78,28,1.0,True,1.0,True,388.0,9,748.0,748.0,360.0,360.0,0.0,0.0,0.0,0.0
16,24,28,1.0,True,1.0,True,514.0,8,749.0,749.0,235.0,235.0,0.0,0.0,0.0,0.0
17,30,13,1.0,True,1.0,True,544.0,7,750.0,750.0,206.0,206.0,0.0,0.0,0.0,0.0
15,44,26,1.0,True,1.0,True,490.0,6,751.0,751.0,261.0,261.0,0.0,0.0,0.0,0.0
14,8,24,1.0,True,1.0,True,446.0,6,752.0,752.0,306.0,306.0,0.0,0.0,0.0,0.0
10,12,8,1.0,True,1.0,True,310.0,5,753.0,753.0,443.0,443.0,0.0,0.0,0.0,0.0
9,74,16,1.0,True,5.0,False,298.0,4,754.0,754.0,456.0,456.0,0.0,0.0,0.0,0.0
12,11,14,1.0,True,5.0,True,399.0,3,755.0,755.0,356.0,356.0,0.0,0.0,0.0,0.0
21,62,5,7.0,True,27.0,True,751.0,2,756.0,756.0,5.0,5.0,0.0,0.0,0.0,0.0
20,32,3,216.0,True,415.0,True,689.0,1,757.0,757.0,68.0,68.0,0.0,0.0,0.0,0.0
22,37,7,3312.0,True,180.0,False,788.0,0,788.0,788.0,0.0,1.0,31.0,0.0,0.0,0.0
23,65,15,42.0,True,107.0,True,853.0,0,853.0,895.0,0.0,42.0,65.0,0.0,1.0,1.0
24,4,21,3598.0,False,580.0,False,857.0,3,896.0,896.0,39.0,39.0,0.0,0.0,0.0,0.0
25,6,12,3598.0,False,1518.0,False,863.0,2,897.0,897.0,34.0,34.0,0.0,0.0,0.0,0.0
26,16,10,3598.0,False,1630.0,False,879.0,1,898.0,898.0,19.0,19.0,0.0,0.0,0.0,0.0
27,76,28,3598.0,False,94.0,False,955.0,0,955.0,955.0,0.0,1.0,57.0,0.0,0.0,0.0
28,15,2,3598.0,False,407.0,True,970.0,0,970.0,4568.0,0.0,3598.0,15.0,0.0,1.0,0.0
36,13,9,1.0,True,1.0,True,1223.0,97,4569.0,4569.0,3346.0,3346.0,0.0,0.0,0.0,0.0
40,6,24,1.0,True,1.0,True,1311.0,96,4570.0,4570.0,3259.0,3259.0,0.0,0.0,0.0,0.0
43,23,6,1.0,True,1.0,True,1486.0,95,4571.0,4571.0,3085.0,3085.0,0.0,0.0,0.0,0.0
58,58,1,1.0,True,1.0,True,2060.0,94,4572.0,4572.0,2512.0,2512.0,0.0,0.0,0.0,0.0
59,15,28,1.0,True,1.0,True,2075.0,93,4573.0,4573.0,2498.0,2498.0,0.0,0.0,0.0,0.0
91,44,6,1.0,True,1.0,True,3451.0,92,4574.0,4574.0,1123.0,1123.0,0.0,0.0,0.0,0.0
90,26,8,1.0,True,1.0,True,3407.0,91,4575.0,4575.0,1168.0,1168.0,0.0,0.0,0.0,0.0
52,24,15,1.0,True,1.0,True,1862.0,90,4576.0,4576.0,2714.0,2714.0,0.0,0.0,0.0,0.0
55,64,28,1.0,True,1.0,True,1956.0,89,4577.0,4577.0,2621.0,2621.0,0.0,0.0,0.0,0.0
37,15,26,1.0,True,1.0,True,1238.0,88,4578.0,4578.0,3340.0,3340.0,0.0,0.0,0.0,0.0
39,39,21,1.0,True,1.0,True,1305.0,87,4579.0,4579.0,3274.0,3274.0,0.0,0.0,0.0,0.0
50,47,1,1.0,True,1.0,True,1779.0,86,4580.0,4580.0,2801.0,2801.0,0.0,0.0,0.0,0.0
51,59,4,1.0,True,1.0,True,1838.0,85,4581.0,4581.0,2743.0,2743.0,0.0,0.0,0.0,0.0
121,25,20,1.0,True,1.0,True,4448.0,84,4582.0,4582.0,134.0,134.0,0.0,0.0,0.0,0.0
73,22,26,1.0,True,1.0,True,2643.0,83,4583.0,4583.0,1940.0,1940.0,0.0,0.0,0.0,0.0
118,79,22,1.0,True,1.0,True,4318.0,82,4584.0,4584.0,266.0,266.0,0.0,0.0,0.0,0.0
115,6,10,1.0,True,1.0,True,4162.0,81,4585.0,4585.0,423.0,423.0,0.0,0.0,0.0,0.0
116,52,11,1.0,True,1.0,True,4214.0,80,4586.0,4586.0,372.0,372.0,0.0,0.0,0.0,0.0
109,45,5,1.0,True,1.0,True,4020.0,79,4587.0,4587.0,567.0,567.0,0.0,0.0,0.0,0.0
112,49,25,1.0,True,1.0,True,4078.0,78,4588.0,4588.0,510.0,510.0,0.0,0.0,0.0,0.0
114,36,22,1.0,True,1.0,True,4156.0,77,4589.0,4589.0,433.0,433.0,0.0,0.0,0.0,0.0
113,42,25,1.0,True,1.0,True,4120.0,76,4590.0,4590.0,470.0,470.0,0.0,0.0,0.0,0.0
44,13,3,1.0,True,1.0,True,1499.0,75,4591.0,4591.0,3092.0,3092.0,0.0,0.0,0.0,0.0
47,19,27,1.0,True,1.0,True,1623.0,74,4592.0,4592.0,2969.0,2969.0,0.0,0.0,0.0,0.0
102,5,12,1.0,True,1.0,True,3792.0,73,4593.0,4593.0,801.0,801.0,0.0,0.0,0.0,0.0
103,40,16,1.0,True,1.0,True,3832.0,72,4594.0,4594.0,762.0,762.0,0.0,0.0,0.0,0.0
60,27,8,1.0,True,1.0,True,2102.0,71,4595.0,4595.0,2493.0,2493.0,0.0,0.0,0.0,0.0
61,44,27,1.0,True,1.0,True,2146.0,70,4596.0,4596.0,2450.0,2450.0,0.0,0.0,0.0,0.0
94,9,11,1.0,True,1.0,True,3603.0,69,4597.0,4597.0,994.0,994.0,0.0,0.0,0.0,0.0
92,65,25,1.0,True,1.0,True,3516.0,68,4598.0,4598.0,1082.0,1082.0,0.0,0.0,0.0,0.0
93,78,6,1.0,True,1.0,True,3594.0,67,4599.0,4599.0,1005.0,1005.0,0.0,0.0,0.0,0.0
120,43,24,1.0,True,2.0,True,4423.0,66,4600.0,4600.0,177.0,177.0,0.0,0.0,0.0,0.0
99,70,22,1.0,True,2.0,True,3750.0,65,4601.0,4601.0,851.0,851.0,0.0,0.0,0.0,0.0
95,9,12,1.0,True,2.0,True,3612.0,64,4602.0,4602.0,990.0,990.0,0.0,0.0,0.0,0.0
57,45,3,1.0,True,3.0,True,2002.0,63,4603.0,4603.0,2601.0,2601.0,0.0,0.0,0.0,0.0
119,62,15,1.0,True,3.0,True,4380.0,62,4604.0,4604.0,224.0,224.0,0.0,0.0,0.0,0.0
105,33,20,24.0,True,5.0,True,3869.0,61,4605.0,4605.0,736.0,736.0,0.0,0.0,0.0,0.0
64,4,22,7.0,True,7.0,True,2214.0,60,4606.0,4606.0,2392.0,2392.0,0.0,0.0,0.0,0.0
54,8,29,1.0,True,8.0,True,1892.0,59,4607.0,4607.0,2715.0,2715.0,0.0,0.0,0.0,0.0
53,22,25,1.0,True,9.0,True,1884.0,58,4608.0,4608.0,2724.0,2724.0,0.0,0.0,0.0,0.0
85,61,10,1.0,True,10.0,True,3220.0,57,4609.0,4609.0,1389.0,1389.0,0.0,0.0,0.0,0.0
79,46,29,5.0,True,12.0,True,2966.0,56,4610.0,4610.0,1644.0,1644.0,0.0,0.0,0.0,0.0
106,14,14,1.0,True,13.0,True,3883.0,55,4611.0,4611.0,728.0,728.0,0.0,0.0,0.0,0.0
65,65,11,42.0,True,17.0,True,2279.0,54,4612.0,4612.0,2333.0,2333.0,0.0,0.0,0.0,0.0
101,8,3,1.0,True,19.0,True,3787.0,53,4613.0,4613.0,826.0,826.0,0.0,0.0,0.0,0.0
81,73,10,10.0,True,21.0,True,3058.0,52,4614.0,4614.0,1556.0,1556.0,0.0,0.0,0.0,0.0
78,70,29,2.0,True,21.0,True,2920.0,51,4615.0,4615.0,1695.0,1695.0,0.0,0.0,0.0,0.0
80,19,27,4.0,True,25.0,True,2985.0,50,4616.0,4616.0,1631.0,1631.0,0.0,0.0,0.0,0.0
32,73,2,190.0,True,28.0,True,1138.0,49,4617.0,4617.0,3479.0,3479.0,0.0,0.0,0.0,0.0
88,66,27,3.0,True,30.0,True,3334.0,48,4618.0,4618.0,1284.0,1284.0,0.0,0.0,0.0,0.0
126,63,23,4.0,True,24.0,True,4618.0,48,4619.0,4623.0,1.0,5.0,0.0,0.0,1.0,1.0
86,38,29,3.0,True,30.0,True,3258.0,47,4624.0,4624.0,1366.0,1366.0,0.0,0.0,0.0,0.0
56,1,24,286.0,True,33.0,True,1957.0,46,4625.0,4625.0,2668.0,2668.0,0.0,0.0,0.0,0.0
70,73,3,37.0,True,33.0,True,2514.0,45,4626.0,4626.0,2112.0,2112.0,0.0,0.0,0.0,0.0
63,33,3,3.0,True,43.0,False,2210.0,44,4627.0,4627.0,2417.0,2417.0,0.0,0.0,0.0,0.0
66,7,7,6.0,True,51.0,True,2286.0,43,4628.0,4628.0,2342.0,2342.0,0.0,0.0,0.0,0.0
69,38,11,22.0,True,53.0,True,2441.0,42,4629.0,4629.0,2188.0,2188.0,0.0,0.0,0.0,0.0
96,19,20,1.0,True,58.0,False,3631.0,41,4630.0,4630.0,999.0,999.0,0.0,0.0,0.0,0.0
100,29,29,17.0,True,58.0,True,3779.0,40,4631.0,4631.0,852.0,852.0,0.0,0.0,0.0,0.0
74,66,24,3.0,True,62.0,True,2709.0,39,4632.0,4632.0,1923.0,1923.0,0.0,0.0,0.0,0.0
122,13,6,7.0,True,67.0,True,4461.0,38,4633.0,4633.0,172.0,172.0,0.0,0.0,0.0,0.0
123,12,5,3.0,True,68.0,True,4473.0,37,4634.0,4634.0,161.0,161.0,0.0,0.0,0.0,0.0
41,75,18,275.0,True,73.0,True,1386.0,36,4635.0,4635.0,3249.0,3249.0,0.0,0.0,0.0,0.0
75,6,11,14.0,True,78.0,True,2715.0,35,4636.0,4636.0,1921.0,1921.0,0.0,0.0,0.0,0.0
76,63,7,36.0,True,78.0,True,2778.0,34,4637.0,4637.0,1859.0,1859.0,0.0,0.0,0.0,0.0
29,6,25,82.0,True,85.0,True,976.0,33,4638.0,4638.0,3662.0,3662.0,0.0,0.0,0.0,0.0
71,44,4,5.0,True,95.0,True,2558.0,32,4639.0,4639.0,2081.0,2081.0,0.0,0.0,0.0,0.0
104,4,3,35.0,True,95.0,True,3836.0,31,4640.0,4640.0,804.0,804.0,0.0,0.0,0.0,0.0
83,19,19,85.0,True,101.0,True,3153.0,30,4641.0,4641.0,1488.0,1488.0,0.0,0.0,0.0,0.0
77,72,5,62.0,True,106.0,True,2850.0,29,4642.0,4642.0,1792.0,1792.0,0.0,0.0,0.0,0.0
97,16,13,7.0,True,111.0,True,3647.0,28,4643.0,4643.0,996.0,996.0,0.0,0.0,0.0,0.0
87,10,12,32.0,True,140.0,True,3268.0,27,4644.0,4644.0,1376.0,1376.0,0.0,0.0,0.0,0.0
84,6,13,154.0,True,158.0,True,3159.0,26,4645.0,4645.0,1486.0,1486.0,0.0,0.0,0.0,0.0
67,67,8,11.0,True,167.0,True,2353.0,25,4646.0,4646.0,2293.0,2293.0,0.0,0.0,0.0,0.0
46,42,4,3598.0,False,178.0,True,1604.0,24,4647.0,4647.0,3043.0,3043.0,0.0,0.0,0.0,0.0
38,28,21,16.0,True,208.0,True,1266.0,23,4648.0,4648.0,3382.0,3382.0,0.0,0.0,0.0,0.0
