,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
0,1,5,1.0,True,1.0,True,1.0,0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0
1,2,10,1.0,True,1.0,True,3.0,0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0
2,37,9,1.0,True,1.0,True,40.0,0,40.0,41.0,0.0,1.0,36.0,0.0,1.0,1.0
3,42,25,1.0,True,1.0,True,82.0,0,82.0,83.0,0.0,1.0,41.0,0.0,1.0,1.0
4,35,25,1.0,True,1.0,True,117.0,0,117.0,118.0,0.0,1.0,34.0,0.0,1.0,1.0
5,30,9,1.0,True,1.0,True,147.0,0,147.0,148.0,0.0,1.0,29.0,0.0,1.0,1.0
6,2,24,593.0,True,63.0,True,149.0,0,149.0,742.0,0.0,593.0,1.0,0.0,1.0,1.0
7,60,24,1.0,True,1.0,True,209.0,14,743.0,743.0,534.0,534.0,0.0,0.0,0.0,0.0
13,39,1,1.0,True,1.0,True,438.0,13,744.0,744.0,306.0,306.0,0.0,0.0,0.0,0.0
18,57,4,1.0,True,1.0,True,601.0,12,745.0,745.0,144.0,144.0,0.0,0.0,0.0,0.0
19,56,22,1.0,True,1.0,True,657.0,11,746.0,746.0,89.0,89.0,0.0,0.0,0.0,0.0
8,15,16,1.0,True,1.0,True,224.0,10,747.0,747.0,523.0,523.0,0.0,0.0,0.0,0.0
11,78,28,1.0,True,1.0,True,388.0,9,748.0,748.0,360.0,360.0,0.0,0.0,0.0,0.0
16,24,28,1.0,True,1.0,True,514.0,8,749.0,749.0,235.0,235.0,0.0,0.0,0.0,0.0
17,30,13,1.0,True,1.0,True,544.0,7,750.0,750.0,206.0,206.0,0.0,0.0,0.0,0.0
15,44,26,1.0,True,1.0,True,490.0,6,751.0,751.0,261.0,261.0,0.0,0.0,0.0,0.0
14,8,24,1.0,True,1.0,True,446.0,6,752.0,752.0,306.0,306.0,0.0,0.0,0.0,0.0
10,12,8,1.0,True,1.0,True,310.0,5,753.0,753.0,443.0,443.0,0.0,0.0,0.0,0.0
9,74,16,1.0,True,4.0,True,298.0,4,754.0,754.0,456.0,456.0,0.0,0.0,0.0,0.0
12,11,14,1.0,True,6.0,True,399.0,3,755.0,755.0,356.0,356.0,0.0,0.0,0.0,0.0
21,62,5,7.0,True,11.0,True,751.0,2,756.0,756.0,5.0,5.0,0.0,0.0,0.0,0.0
20,32,3,216.0,True,426.0,True,689.0,1,757.0,757.0,68.0,68.0,0.0,0.0,0.0,0.0
22,37,7,3312.0,True,414.0,False,788.0,0,788.0,4100.0,0.0,3312.0,31.0,0.0,1.0,1.0
36,13,9,1.0,True,1.0,True,1223.0,90,4101.0,4101.0,2878.0,2878.0,0.0,0.0,0.0,0.0
37,15,26,1.0,True,1.0,True,1238.0,89,4102.0,4102.0,2864.0,2864.0,0.0,0.0,0.0,0.0
50,47,1,1.0,True,1.0,True,1779.0,88,4103.0,4103.0,2324.0,2324.0,0.0,0.0,0.0,0.0
52,24,15,1.0,True,1.0,True,1862.0,87,4104.0,4104.0,2242.0,2242.0,0.0,0.0,0.0,0.0
51,59,4,1.0,True,1.0,True,1838.0,86,4105.0,4105.0,2267.0,2267.0,0.0,0.0,0.0,0.0
47,19,27,1.0,True,1.0,True,1623.0,85,4106.0,4106.0,2483.0,2483.0,0.0,0.0,0.0,0.0
73,22,26,1.0,True,1.0,True,2643.0,84,4107.0,4107.0,1464.0,1464.0,0.0,0.0,0.0,0.0
39,39,21,1.0,True,1.0,True,1305.0,83,4108.0,4108.0,2803.0,2803.0,0.0,0.0,0.0,0.0
43,23,6,1.0,True,1.0,True,1486.0,82,4109.0,4109.0,2623.0,2623.0,0.0,0.0,0.0,0.0
44,13,3,1.0,True,1.0,True,1499.0,81,4110.0,4110.0,2611.0,2611.0,0.0,0.0,0.0,0.0
112,49,25,1.0,True,1.0,True,4078.0,80,4111.0,4111.0,33.0,33.0,0.0,0.0,0.0,0.0
102,5,12,1.0,True,1.0,True,3792.0,79,4112.0,4112.0,320.0,320.0,0.0,0.0,0.0,0.0
109,45,5,1.0,True,1.0,True,4020.0,78,4113.0,4113.0,93.0,93.0,0.0,0.0,0.0,0.0
103,40,16,1.0,True,1.0,True,3832.0,77,4114.0,4114.0,282.0,282.0,0.0,0.0,0.0,0.0
40,6,24,1.0,True,1.0,True,1311.0,76,4115.0,4115.0,2804.0,2804.0,0.0,0.0,0.0,0.0
58,58,1,1.0,True,1.0,True,2060.0,75,4116.0,4116.0,2056.0,2056.0,0.0,0.0,0.0,0.0
60,27,8,1.0,True,1.0,True,2102.0,74,4117.0,4117.0,2015.0,2015.0,0.0,0.0,0.0,0.0
61,44,27,1.0,True,1.0,True,2146.0,73,4118.0,4118.0,1972.0,1972.0,0.0,0.0,0.0,0.0
59,15,28,1.0,True,1.0,True,2075.0,72,4119.0,4119.0,2044.0,2044.0,0.0,0.0,0.0,0.0
94,9,11,1.0,True,1.0,True,3603.0,71,4120.0,4120.0,517.0,517.0,0.0,0.0,0.0,0.0
55,64,28,1.0,True,1.0,True,1956.0,71,4121.0,4121.0,2165.0,2165.0,0.0,0.0,0.0,0.0
90,26,8,1.0,True,1.0,True,3407.0,70,4122.0,4122.0,715.0,715.0,0.0,0.0,0.0,0.0
92,65,25,1.0,True,1.0,True,3516.0,69,4123.0,4123.0,607.0,607.0,0.0,0.0,0.0,0.0
93,78,6,1.0,True,1.0,True,3594.0,68,4124.0,4124.0,530.0,530.0,0.0,0.0,0.0,0.0
91,44,6,1.0,True,1.0,True,3451.0,67,4125.0,4125.0,674.0,674.0,0.0,0.0,0.0,0.0
99,70,22,1.0,True,2.0,True,3750.0,66,4126.0,4126.0,376.0,376.0,0.0,0.0,0.0,0.0
113,42,25,1.0,True,3.0,True,4120.0,65,4127.0,4128.0,7.0,8.0,0.0,0.0,1.0,1.0
105,33,20,24.0,True,4.0,True,3869.0,64,4129.0,4129.0,260.0,260.0,0.0,0.0,0.0,0.0
85,61,10,1.0,True,7.0,True,3220.0,63,4130.0,4130.0,910.0,910.0,0.0,0.0,0.0,0.0
54,8,29,1.0,True,7.0,True,1892.0,62,4131.0,4131.0,2239.0,2239.0,0.0,0.0,0.0,0.0
57,45,3,1.0,True,8.0,True,2002.0,61,4132.0,4132.0,2130.0,2130.0,0.0,0.0,0.0,0.0
106,14,14,1.0,True,9.0,True,3883.0,60,4133.0,4133.0,250.0,250.0,0.0,0.0,0.0,0.0
79,46,29,5.0,True,15.0,True,2966.0,59,4134.0,4134.0,1168.0,1168.0,0.0,0.0,0.0,0.0
64,4,22,7.0,True,15.0,True,2214.0,58,4135.0,4135.0,1921.0,1921.0,0.0,0.0,0.0,0.0
95,9,12,1.0,True,15.0,False,3612.0,57,4136.0,4136.0,524.0,524.0,0.0,0.0,0.0,0.0
81,73,10,10.0,True,16.0,True,3058.0,56,4137.0,4137.0,1079.0,1079.0,0.0,0.0,0.0,0.0
53,22,25,1.0,True,17.0,True,1884.0,55,4138.0,4138.0,2254.0,2254.0,0.0,0.0,0.0,0.0
78,70,29,2.0,True,17.0,True,2920.0,54,4139.0,4139.0,1219.0,1219.0,0.0,0.0,0.0,0.0
80,19,27,4.0,True,18.0,True,2985.0,53,4140.0,4140.0,1155.0,1155.0,0.0,0.0,0.0,0.0
65,65,11,42.0,True,20.0,True,2279.0,52,4141.0,4141.0,1862.0,1862.0,0.0,0.0,0.0,0.0
86,38,29,3.0,True,22.0,True,3258.0,51,4142.0,4142.0,884.0,884.0,0.0,0.0,0.0,0.0
88,66,27,3.0,True,23.0,True,3334.0,50,4143.0,4143.0,809.0,809.0,0.0,0.0,0.0,0.0
69,38,11,22.0,True,33.0,True,2441.0,49,4144.0,4144.0,1703.0,1703.0,0.0,0.0,0.0,0.0
101,8,3,1.0,True,38.0,True,3787.0,48,4145.0,4145.0,358.0,358.0,0.0,0.0,0.0,0.0
74,66,24,3.0,True,41.0,True,2709.0,47,4146.0,4146.0,1437.0,1437.0,0.0,0.0,0.0,0.0
70,73,3,37.0,True,41.0,True,2514.0,46,4147.0,4147.0,1633.0,1633.0,0.0,0.0,0.0,0.0
32,73,2,190.0,True,44.0,True,1138.0,45,4148.0,4148.0,3010.0,3010.0,0.0,0.0,0.0,0.0
100,29,29,17.0,True,45.0,True,3779.0,44,4149.0,4149.0,370.0,370.0,0.0,0.0,0.0,0.0
56,1,24,286.0,True,46.0,True,1957.0,43,4150.0,4150.0,2193.0,2193.0,0.0,0.0,0.0,0.0
23,65,15,42.0,True,48.0,True,853.0,42,4151.0,4151.0,3298.0,3298.0,0.0,0.0,0.0,0.0
41,75,18,275.0,True,53.0,True,1386.0,41,4152.0,4152.0,2766.0,2766.0,0.0,0.0,0.0,0.0
75,6,11,14.0,True,63.0,True,2715.0,40,4153.0,4153.0,1438.0,1438.0,0.0,0.0,0.0,0.0
76,63,7,36.0,True,74.0,True,2778.0,39,4154.0,4154.0,1376.0,1376.0,0.0,0.0,0.0,0.0
66,7,7,6.0,True,75.0,True,2286.0,38,4155.0,4155.0,1869.0,1869.0,0.0,0.0,0.0,0.0
87,10,12,32.0,True,85.0,True,3268.0,37,4156.0,4156.0,888.0,888.0,0.0,0.0,0.0,0.0
114,36,22,1.0,True,1.0,True,4156.0,37,4157.0,4158.0,1.0,2.0,0.0,0.0,1.0,1.0
83,19,19,85.0,True,97.0,True,3153.0,36,4159.0,4159.0,1006.0,1006.0,0.0,0.0,0.0,0.0
29,6,25,82.0,True,99.0,True,976.0,35,4160.0,4160.0,3184.0,3184.0,0.0,0.0,0.0,0.0
46,42,4,3598.0,False,106.0,True,1604.0,34,4161.0,4161.0,2557.0,2557.0,0.0,0.0,0.0,0.0
71,44,4,5.0,True,112.0,True,2558.0,33,4162.0,4162.0,1604.0,1604.0,0.0,0.0,0.0,0.0
115,6,10,1.0,True,1.0,True,4162.0,33,4163.0,4164.0,1.0,2.0,0.0,0.0,1.0,1.0
104,4,3,35.0,True,121.0,True,3836.0,32,4165.0,4165.0,329.0,329.0,0.0,0.0,0.0,0.0
48,51,29,49.0,True,122.0,True,1674.0,31,4166.0,4166.0,2492.0,2492.0,0.0,0.0,0.0,0.0
77,72,5,62.0,True,134.0,True,2850.0,30,4167.0,4167.0,1317.0,1317.0,0.0,0.0,0.0,0.0
84,6,13,154.0,True,148.0,True,3159.0,29,4168.0,4168.0,1009.0,1009.0,0.0,0.0,0.0,0.0
42,77,15,3598.0,False,148.0,True,1463.0,28,4169.0,4169.0,2706.0,2706.0,0.0,0.0,0.0,0.0
49,58,27,3598.0,False,155.0,True,1732.0,27,4170.0,4170.0,2438.0,2438.0,0.0,0.0,0.0,0.0
97,16,13,7.0,True,155.0,False,3647.0,26,4171.0,4171.0,524.0,524.0,0.0,0.0,0.0,0.0
96,19,20,1.0,True,187.0,False,3631.0,25,4172.0,4172.0,541.0,541.0,0.0,0.0,0.0,0.0
31,54,17,75.0,True,190.0,False,1065.0,24,4173.0,4173.0,3108.0,3108.0,0.0,0.0,0.0,0.0
67,67,8,11.0,True,211.0,True,2353.0,23,4174.0,4174.0,1821.0,1821.0,0.0,0.0,0.0,0.0
38,28,21,16.0,True,231.0,True,1266.0,22,4175.0,4175.0,2909.0,2909.0,0.0,0.0,0.0,0.0
27,76,28,3598.0,False,253.0,False,955.0,21,4176.0,4176.0,3221.0,3221.0,0.0,0.0,0.0,0.0
63,33,3,3.0,True,262.0,False,2210.0,20,4177.0,4177.0,1967.0,1967.0,0.0,0.0,0.0,0.0
108,26,9,3598.0,False,283.0,True,3975.0,19,4178.0,4178.0,203.0,203.0,0.0,0.0,0.0,0.0
98,33,13,70.0,True,346.0,False,3680.0,18,4179.0,4179.0,499.0,499.0,0.0,0.0,0.0,0.0
107,66,6,70.0,True,426.0,True,3949.0,17,4180.0,4180.0,231.0,231.0,0.0,0.0,0.0,0.0
35,60,4,3134.0,True,445.0,True,1210.0,16,4181.0,4181.0,2971.0,2971.0,0.0,0.0,0.0,0.0
110,6,14,31.0,True,446.0,True,4026.0,15,4182.0,4182.0,156.0,156.0,0.0,0.0,0.0,0.0
33,6,10,512.0,True,458.0,False,1144.0,14,4183.0,4183.0,3039.0,3039.0,0.0,0.0,0.0,0.0
82,76,28,3598.0,False,488.0,False,3134.0,13,4184.0,4184.0,1050.0,1050.0,0.0,0.0,0.0,0.0
68,50,16,1507.0,True,633.0,True,2403.0,12,4185.0,4185.0,1782.0,1782.0,0.0,0.0,0.0,0.0
