PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,741,775,776,34,1,1
272,726,796,1068,70,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
208,776,777,985,1,1,1
272,726,986,986,260,0,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,782,794,795,12,1,1
272,726,796,1068,70,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1038,1091,1092,53,1,1
8,1076,1147,1155,71,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
87,4987,5008,5095,21,1,1
3091,4952,5096,5096,144,0,1
3156,5007,5097,5097,90,0,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
2945,5116,5118,8063,2,1,1
3048,5102,8064,8064,2962,0,1
3105,5050,8065,8065,3015,0,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
3091,8679,8717,11808,38,1,1
3266,8713,11809,11809,3096,0,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,15239,15261,15262,22,1,1
1,15187,15259,15260,72,1,1
511,15242,15263,15774,21,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
32,18845,18861,18893,16,1,1
240,18823,18894,18894,71,0,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
127,19053,19082,19209,29,1,1
149,19071,19210,19210,139,0,1
2858,19079,19211,19211,132,0,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
2,19163,19207,19209,44,1,1
301,19190,19210,19511,20,1,1
1420,19133,19512,19512,379,0,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
36,19382,19431,19467,49,1,1
1634,19383,19468,19468,85,0,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
54,19701,19708,19762,7,1,1
72,19661,19763,19763,102,0,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
10,23284,23318,23328,34,1,1
22,23268,23329,23351,61,1,1
607,23315,23353,23960,38,1,1
