,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,MIPAttended,Stopped,MIPnotScheduled,MIPRunTime,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
0,1,62,1.0,True,1.0,True,1.0,-1,0,0,0.0,0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0
1,38,25,1.0,True,1.0,True,39.0,-1,0,0,0.0,0,39.0,40.0,0.0,1.0,37.0,0.0,1.0,1.0
2,30,73,1.0,True,1.0,True,69.0,-1,0,0,0.0,0,69.0,70.0,0.0,1.0,29.0,0.0,1.0,1.0
3,2,56,1.0,True,1.0,True,71.0,-1,0,0,0.0,0,71.0,72.0,0.0,1.0,1.0,0.0,1.0,1.0
4,37,64,1.0,True,1.0,True,108.0,-1,0,0,0.0,0,108.0,109.0,0.0,1.0,36.0,0.0,1.0,1.0
5,38,24,1.0,True,1.0,True,146.0,-1,0,0,0.0,0,146.0,147.0,0.0,1.0,37.0,0.0,1.0,1.0
6,35,16,593.0,True,593.0,True,181.0,-1,0,0,0.0,0,181.0,774.0,0.0,593.0,34.0,0.0,1.0,1.0
7,30,80,1.0,True,1.0,True,211.0,-1,0,0,0.0,31,775.0,775.0,564.0,564.0,0.0,0.0,0.0,0.0
8,2,72,1.0,True,1.0,True,213.0,-1,0,0,0.0,19,775.0,775.0,562.0,562.0,0.0,0.0,0.0,0.0
9,15,63,1.0,True,1.0,True,228.0,-1,0,0,0.0,26,775.0,775.0,547.0,547.0,0.0,0.0,0.0,0.0
10,28,28,1.0,True,1.0,True,256.0,-1,0,0,0.0,29,775.0,775.0,519.0,519.0,0.0,0.0,0.0,0.0
11,17,14,1.0,True,1.0,True,273.0,-1,0,0,0.0,18,775.0,775.0,502.0,502.0,0.0,0.0,0.0,0.0
12,10,65,1.0,True,1.0,True,283.0,-1,0,0,0.0,24,775.0,775.0,492.0,492.0,0.0,0.0,0.0,0.0
13,12,88,1.0,True,1.0,True,295.0,-1,0,0,0.0,17,775.0,775.0,480.0,480.0,0.0,0.0,0.0,0.0
14,14,26,1.0,True,1.0,True,309.0,-1,0,0,0.0,23,775.0,775.0,466.0,466.0,0.0,0.0,0.0,0.0
15,11,28,1.0,True,1.0,True,320.0,-1,0,0,0.0,27,775.0,775.0,455.0,455.0,0.0,0.0,0.0,0.0
16,18,13,1.0,True,1.0,True,338.0,-1,0,0,0.0,21,775.0,775.0,437.0,437.0,0.0,0.0,0.0,0.0
17,19,36,1.0,True,1.0,True,357.0,-1,0,0,0.0,20,775.0,775.0,418.0,418.0,0.0,0.0,0.0,0.0
18,39,54,1.0,True,1.0,True,396.0,-1,0,0,0.0,30,775.0,775.0,379.0,379.0,0.0,0.0,0.0,0.0
19,8,67,1.0,True,1.0,True,404.0,-1,0,0,0.0,22,775.0,775.0,371.0,371.0,0.0,0.0,0.0,0.0
20,24,71,216.0,True,216.0,True,428.0,-1,0,0,0.0,10,775.0,775.0,347.0,347.0,0.0,0.0,0.0,0.0
21,30,85,7.0,True,7.0,True,458.0,-1,0,0,0.0,16,775.0,775.0,317.0,317.0,0.0,0.0,0.0,0.0
22,32,76,3312.0,True,3312.0,True,490.0,-1,0,0,0.0,6,775.0,775.0,285.0,285.0,0.0,0.0,0.0,0.0
23,34,60,42.0,True,42.0,True,524.0,-1,0,0,0.0,15,775.0,775.0,251.0,251.0,0.0,0.0,0.0,0.0
24,28,25,3598.0,False,3598.0,False,552.0,-1,0,0,0.0,5,775.0,775.0,223.0,223.0,0.0,0.0,0.0,0.0
25,24,56,3598.0,False,3598.0,False,576.0,-1,0,0,0.0,4,775.0,775.0,199.0,199.0,0.0,0.0,0.0,0.0
26,37,34,3598.0,False,3598.0,False,613.0,-1,0,0,0.0,1,775.0,775.0,162.0,162.0,0.0,0.0,0.0,0.0
27,1,42,3598.0,False,3598.0,False,614.0,-1,0,0,0.0,3,775.0,775.0,161.0,161.0,0.0,0.0,0.0,0.0
28,4,35,3598.0,False,3598.0,False,618.0,-1,0,0,0.0,2,775.0,775.0,157.0,157.0,0.0,0.0,0.0,0.0
