ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
4061.0,4061.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
4046.0,4046.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
4061.0,4061.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
7194.0,7194.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
3489.0,3489.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
0.0,0.0,0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
7178.0,7178.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
0.0,0.0,0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
3459.0,3459.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
3335.0,3335.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
3544.0,3544.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
3449.0,3449.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
7170.0,7170.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
7150.0,7150.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
3582.0,3582.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
7141.0,7141.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
7168.0,7168.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
7137.0,7137.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
7177.0,7177.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
6852.0,6852.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
6974.0,6974.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
3563.0,3563.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
7179.0,7179.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
3577.0,3577.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1
ObjectiveValue,BestRelaxation,Gap
3410.0,3410.0,0.0
