,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
0,1,62,1.0,True,1.0,True,1.0,0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0
1,38,25,1.0,True,1.0,True,39.0,0,39.0,40.0,0.0,1.0,37.0,0.0,1.0,1.0
2,30,73,1.0,True,66.0,False,69.0,0,69.0,69.0,0.0,1.0,29.0,0.0,0.0,0.0
3,2,56,1.0,True,791.0,False,71.0,0,71.0,71.0,0.0,1.0,2.0,0.0,0.0,0.0
4,37,64,1.0,True,520.0,False,108.0,0,108.0,108.0,0.0,1.0,37.0,0.0,0.0,0.0
5,38,24,1.0,True,165.0,False,146.0,0,146.0,146.0,0.0,1.0,38.0,0.0,0.0,0.0
6,35,16,593.0,True,37.0,True,181.0,0,181.0,774.0,0.0,593.0,35.0,0.0,1.0,1.0
11,17,14,1.0,True,1.0,True,273.0,31,775.0,775.0,502.0,502.0,0.0,0.0,0.0,0.0
31,12,85,75.0,True,1.0,True,652.0,30,776.0,776.0,124.0,124.0,0.0,0.0,0.0,0.0
36,9,35,1.0,True,1.0,True,735.0,30,777.0,777.0,42.0,42.0,0.0,0.0,0.0,0.0
37,6,62,1.0,True,1.0,True,741.0,29,778.0,779.0,37.0,38.0,0.0,0.0,1.0,1.0
33,18,82,512.0,True,1.0,True,685.0,28,780.0,780.0,95.0,95.0,0.0,0.0,0.0,0.0
15,11,28,1.0,True,1.0,True,320.0,27,781.0,781.0,461.0,461.0,0.0,0.0,0.0,0.0
27,1,42,3598.0,False,1.0,True,614.0,26,782.0,782.0,168.0,168.0,0.0,0.0,0.0,0.0
22,32,76,3312.0,True,1.0,True,490.0,26,783.0,783.0,293.0,293.0,0.0,0.0,0.0,0.0
39,6,27,1.0,True,1.0,True,782.0,25,784.0,785.0,2.0,3.0,0.0,0.0,1.0,1.0
19,8,67,1.0,True,2.0,True,404.0,24,786.0,786.0,382.0,382.0,0.0,0.0,0.0,0.0
21,30,85,7.0,True,3.0,True,458.0,23,787.0,787.0,329.0,329.0,0.0,0.0,0.0,0.0
14,14,26,1.0,True,3.0,True,309.0,22,788.0,788.0,479.0,479.0,0.0,0.0,0.0,0.0
18,39,54,1.0,True,4.0,True,396.0,21,789.0,789.0,393.0,393.0,0.0,0.0,0.0,0.0
16,18,13,1.0,True,5.0,True,338.0,20,790.0,790.0,452.0,452.0,0.0,0.0,0.0,0.0
32,15,88,190.0,True,6.0,True,667.0,19,791.0,791.0,124.0,124.0,0.0,0.0,0.0,0.0
17,19,36,1.0,True,6.0,True,357.0,18,792.0,792.0,435.0,435.0,0.0,0.0,0.0,0.0
34,6,15,1400.0,True,17.0,False,691.0,17,793.0,793.0,102.0,102.0,0.0,0.0,0.0,0.0
25,24,56,3598.0,False,35.0,False,576.0,16,794.0,794.0,218.0,218.0,0.0,0.0,0.0,0.0
23,34,60,42.0,True,37.0,True,524.0,15,795.0,795.0,271.0,271.0,0.0,0.0,0.0,0.0
7,30,80,1.0,True,60.0,False,211.0,14,796.0,796.0,585.0,585.0,0.0,0.0,0.0,0.0
12,10,65,1.0,True,83.0,False,283.0,13,797.0,797.0,514.0,514.0,0.0,0.0,0.0,0.0
30,16,26,87.0,True,109.0,False,640.0,12,798.0,798.0,158.0,158.0,0.0,0.0,0.0,0.0
13,12,88,1.0,True,111.0,False,295.0,11,799.0,799.0,504.0,504.0,0.0,0.0,0.0,0.0
38,35,36,16.0,True,116.0,True,776.0,10,800.0,816.0,24.0,40.0,0.0,0.0,1.0,1.0
40,20,61,1.0,True,1.0,True,802.0,11,817.0,818.0,15.0,16.0,0.0,0.0,1.0,1.0
29,6,41,82.0,True,117.0,True,624.0,10,819.0,819.0,195.0,195.0,0.0,0.0,0.0,0.0
41,13,1,275.0,True,148.0,True,815.0,9,820.0,820.0,5.0,5.0,0.0,0.0,0.0,0.0
20,24,71,216.0,True,236.0,True,428.0,8,821.0,821.0,393.0,393.0,0.0,0.0,0.0,0.0
10,28,28,1.0,True,250.0,False,256.0,7,822.0,822.0,566.0,566.0,0.0,0.0,0.0,0.0
9,15,63,1.0,True,267.0,False,228.0,6,823.0,823.0,595.0,595.0,0.0,0.0,0.0,0.0
8,2,72,1.0,True,297.0,False,213.0,5,824.0,824.0,611.0,611.0,0.0,0.0,0.0,0.0
26,37,34,3598.0,False,528.0,False,613.0,4,825.0,825.0,212.0,212.0,0.0,0.0,0.0,0.0
35,35,70,3134.0,True,955.0,True,726.0,3,826.0,826.0,100.0,100.0,0.0,0.0,0.0,0.0
24,28,25,3598.0,False,1031.0,False,552.0,2,827.0,827.0,275.0,275.0,0.0,0.0,0.0,0.0
28,4,35,3598.0,False,1384.0,False,618.0,1,828.0,828.0,210.0,210.0,0.0,0.0,0.0,0.0
42,15,68,3598.0,False,416.0,False,830.0,0,830.0,830.0,0.0,1.0,2.0,0.0,0.0,0.0
43,17,15,1.0,True,14.0,True,847.0,0,847.0,848.0,0.0,1.0,17.0,0.0,1.0,1.0
44,28,25,1.0,True,1.0,True,875.0,0,875.0,876.0,0.0,1.0,27.0,0.0,1.0,1.0
45,39,28,3598.0,False,1871.0,False,914.0,0,914.0,914.0,0.0,1.0,38.0,0.0,0.0,0.0
46,25,24,3598.0,False,497.0,True,939.0,0,939.0,4537.0,0.0,3598.0,25.0,0.0,1.0,0.0
47,33,67,1.0,True,1.0,True,972.0,186,4538.0,4538.0,3566.0,3566.0,0.0,0.0,0.0,0.0
58,18,68,1.0,True,1.0,True,1148.0,185,4539.0,4539.0,3391.0,3391.0,0.0,0.0,0.0,0.0
60,27,58,1.0,True,1.0,True,1176.0,184,4540.0,4540.0,3364.0,3364.0,0.0,0.0,0.0,0.0
61,15,56,1.0,True,1.0,True,1191.0,183,4541.0,4541.0,3350.0,3350.0,0.0,0.0,0.0,0.0
109,33,27,1.0,True,1.0,True,2044.0,182,4542.0,4542.0,2498.0,2498.0,0.0,0.0,0.0,0.0
102,16,38,1.0,True,1.0,True,1907.0,181,4543.0,4543.0,2636.0,2636.0,0.0,0.0,0.0,0.0
103,35,51,1.0,True,1.0,True,1942.0,180,4544.0,4544.0,2602.0,2602.0,0.0,0.0,0.0,0.0
59,1,13,1.0,True,1.0,True,1149.0,179,4545.0,4545.0,3396.0,3396.0,0.0,0.0,0.0,0.0
99,23,86,1.0,True,1.0,True,1865.0,178,4546.0,4546.0,2681.0,2681.0,0.0,0.0,0.0,0.0
101,20,84,1.0,True,1.0,True,1891.0,177,4547.0,4547.0,2656.0,2656.0,0.0,0.0,0.0,0.0
50,13,1,1.0,True,1.0,True,1002.0,176,4548.0,4548.0,3546.0,3546.0,0.0,0.0,0.0,0.0
90,1,32,1.0,True,1.0,True,1682.0,175,4549.0,4549.0,2867.0,2867.0,0.0,0.0,0.0,0.0
91,14,38,1.0,True,1.0,True,1696.0,174,4550.0,4550.0,2854.0,2854.0,0.0,0.0,0.0,0.0
92,9,41,1.0,True,1.0,True,1705.0,173,4551.0,4551.0,2846.0,2846.0,0.0,0.0,0.0,0.0
93,9,5,1.0,True,1.0,True,1714.0,172,4552.0,4552.0,2838.0,2838.0,0.0,0.0,0.0,0.0
220,24,7,1.0,True,1.0,True,4269.0,171,4553.0,4553.0,284.0,284.0,0.0,0.0,0.0,0.0
55,24,32,1.0,True,1.0,True,1100.0,171,4554.0,4554.0,3454.0,3454.0,0.0,0.0,0.0,0.0
118,36,21,1.0,True,1.0,True,2197.0,170,4555.0,4555.0,2358.0,2358.0,0.0,0.0,0.0,0.0
121,15,33,1.0,True,1.0,True,2243.0,169,4556.0,4556.0,2313.0,2313.0,0.0,0.0,0.0,0.0
