,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime
0,1,62,1.0,True,1.0,True,1.0
1,38,25,1.0,True,1.0,True,39.0
2,30,73,1.0,True,66.0,False,69.0
3,2,56,1.0,True,791.0,False,71.0
4,37,64,1.0,True,520.0,False,108.0
5,38,24,1.0,True,165.0,False,146.0
6,35,16,593.0,True,37.0,True,181.0
7,30,80,1.0,True,60.0,False,211.0
8,2,72,1.0,True,297.0,False,213.0
9,15,63,1.0,True,267.0,False,228.0
10,28,28,1.0,True,250.0,False,256.0
11,17,14,1.0,True,1.0,True,273.0
12,10,65,1.0,True,83.0,False,283.0
13,12,88,1.0,True,111.0,False,295.0
14,14,26,1.0,True,3.0,True,309.0
15,11,28,1.0,True,1.0,True,320.0
16,18,13,1.0,True,5.0,True,338.0
17,19,36,1.0,True,6.0,True,357.0
18,39,54,1.0,True,4.0,True,396.0
19,8,67,1.0,True,2.0,True,404.0
20,24,71,216.0,True,236.0,True,428.0
21,30,85,7.0,True,3.0,True,458.0
22,32,76,3312.0,True,1.0,True,490.0
23,34,60,42.0,True,37.0,True,524.0
24,28,25,3598.0,False,1031.0,False,552.0
25,24,56,3598.0,False,35.0,False,576.0
26,37,34,3598.0,False,528.0,False,613.0
27,1,42,3598.0,False,1.0,True,614.0
28,4,35,3598.0,False,1384.0,False,618.0
29,6,41,82.0,True,117.0,True,624.0
30,16,26,87.0,True,109.0,False,640.0
31,12,85,75.0,True,1.0,True,652.0
32,15,88,190.0,True,6.0,True,667.0
33,18,82,512.0,True,1.0,True,685.0
34,6,15,1400.0,True,17.0,False,691.0
35,35,70,3134.0,True,955.0,True,726.0
36,9,35,1.0,True,1.0,True,735.0
37,6,62,1.0,True,1.0,True,741.0
38,35,36,16.0,True,116.0,True,776.0
39,6,27,1.0,True,1.0,True,782.0
40,20,61,1.0,True,1.0,True,802.0
41,13,1,275.0,True,148.0,True,815.0
42,15,68,3598.0,False,416.0,False,830.0
43,17,15,1.0,True,14.0,True,847.0
44,28,25,1.0,True,1.0,True,875.0
45,39,28,3598.0,False,1871.0,False,914.0
46,25,24,3598.0,False,497.0,True,939.0
47,33,67,1.0,True,1.0,True,972.0
48,6,60,49.0,True,233.0,True,978.0
49,11,72,3598.0,False,416.0,False,989.0
