,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,Stopped,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
0,1,1167,139.0,True,177.0,True,1.0,0,0,1.0,140.0,0.0,139.0,1.0,0.0,1.0,1.0
1,143,1076,128.0,True,1750.0,False,144.0,0,0,144.0,272.0,0.0,128.0,4.0,0.0,1.0,1.0
4,85,1040,4.0,True,24.0,True,440.0,0,0,441.0,445.0,1.0,5.0,0.0,0.0,1.0,1.0
3,110,661,65.0,True,53.0,True,355.0,0,1,446.0,511.0,91.0,156.0,0.0,0.0,1.0,1.0
5,10,697,124.0,True,127.0,True,450.0,0,3,512.0,636.0,62.0,186.0,0.0,0.0,1.0,1.0
7,119,1018,19.0,True,41.0,True,573.0,0,3,637.0,656.0,64.0,83.0,0.0,0.0,1.0,1.0
6,4,794,29.0,True,361.0,True,454.0,0,2,657.0,686.0,203.0,232.0,0.0,0.0,1.0,1.0
8,105,976,47.0,True,172.0,True,678.0,0,2,687.0,734.0,9.0,56.0,0.0,0.0,1.0,1.0
9,146,1124,20.0,True,45.0,True,824.0,0,0,889.0,909.0,65.0,85.0,0.0,0.0,1.0,1.0
11,131,1179,1.0,True,1.0,True,1019.0,0,0,1020.0,1021.0,1.0,2.0,0.0,0.0,1.0,1.0
12,136,1156,1.0,True,2.0,True,1155.0,0,0,1156.0,1157.0,1.0,2.0,0.0,0.0,1.0,1.0
15,76,765,3.0,True,16.0,True,1360.0,0,0,1486.0,1489.0,126.0,129.0,0.0,0.0,1.0,1.0
2,101,1132,3598.0,False,423.0,True,245.0,1,2,1490.0,1490.0,1245.0,1245.0,0.0,0.0,0.0,0.0
17,44,710,10.0,True,21.0,True,1529.0,0,0,1530.0,1540.0,1.0,11.0,0.0,0.0,1.0,1.0
