,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,Stopped,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
0,1,1167,139.0,True,139.0,True,1.0,0,0,1.0,140.0,0.0,139.0,1.0,0.0,1.0,1.0
1,143,1076,128.0,True,128.0,True,144.0,0,0,144.0,272.0,0.0,128.0,4.0,0.0,1.0,1.0
4,85,1040,4.0,True,4.0,True,440.0,0,0,441.0,445.0,1.0,5.0,0.0,0.0,1.0,1.0
3,110,661,65.0,True,65.0,True,355.0,0,1,446.0,511.0,91.0,156.0,0.0,0.0,1.0,1.0
6,4,794,29.0,True,29.0,True,454.0,0,3,512.0,541.0,58.0,87.0,0.0,0.0,1.0,1.0
5,10,697,124.0,True,124.0,True,450.0,0,2,542.0,666.0,92.0,216.0,0.0,0.0,1.0,1.0
7,119,1018,19.0,True,19.0,True,573.0,0,2,667.0,686.0,94.0,113.0,0.0,0.0,1.0,1.0
8,105,976,47.0,True,47.0,True,678.0,0,2,687.0,734.0,9.0,56.0,0.0,0.0,1.0,1.0
9,146,1124,20.0,True,20.0,True,824.0,0,0,889.0,909.0,65.0,85.0,0.0,0.0,1.0,1.0
11,131,1179,1.0,True,1.0,True,1019.0,0,0,1156.0,1157.0,137.0,138.0,0.0,0.0,1.0,1.0
12,136,1156,1.0,True,1.0,True,1155.0,0,2,1158.0,1159.0,3.0,4.0,0.0,0.0,1.0,1.0
15,76,765,3.0,True,3.0,True,1360.0,0,0,1361.0,1364.0,1.0,4.0,0.0,0.0,1.0,1.0
20,88,1183,1.0,True,1.0,True,1788.0,0,0,2145.0,2146.0,357.0,358.0,0.0,0.0,1.0,1.0
2,101,1132,3598.0,False,3598.0,False,245.0,1,1,2147.0,2147.0,1902.0,1902.0,0.0,0.0,0.0,0.0
10,64,784,1459.0,True,1459.0,True,888.0,1,2,2147.0,2147.0,1259.0,1259.0,0.0,0.0,0.0,0.0
25,85,985,1.0,True,1.0,True,2075.0,0,13,2147.0,2148.0,72.0,73.0,0.0,0.0,1.0,1.0
24,108,920,10.0,True,10.0,True,1990.0,0,12,2149.0,2159.0,159.0,169.0,0.0,0.0,1.0,1.0
17,44,710,10.0,True,10.0,True,1529.0,0,12,2160.0,2170.0,631.0,641.0,0.0,0.0,1.0,1.0
22,4,1193,22.0,True,22.0,True,1837.0,0,11,2171.0,2193.0,334.0,356.0,0.0,0.0,1.0,1.0
27,59,624,42.0,True,42.0,True,2144.0,0,10,2194.0,2236.0,50.0,92.0,0.0,0.0,1.0,1.0
29,81,976,11.0,True,11.0,True,2231.0,0,10,2237.0,2248.0,6.0,17.0,0.0,0.0,1.0,1.0
30,14,1055,1.0,True,1.0,True,2245.0,0,10,2249.0,2250.0,4.0,5.0,0.0,0.0,1.0,1.0
28,6,763,59.0,True,59.0,True,2150.0,0,9,2251.0,2310.0,101.0,160.0,0.0,0.0,1.0,1.0
31,64,1041,5.0,True,5.0,True,2309.0,0,9,2311.0,2316.0,2.0,7.0,0.0,0.0,1.0,1.0
21,45,899,455.0,True,455.0,True,1833.0,0,8,2317.0,2772.0,484.0,939.0,0.0,0.0,1.0,1.0
35,105,971,4.0,True,4.0,True,2657.0,0,11,2773.0,2777.0,116.0,120.0,0.0,0.0,1.0,1.0
34,86,634,276.0,True,276.0,True,2552.0,0,10,2778.0,3054.0,226.0,502.0,0.0,0.0,1.0,1.0
37,149,778,1.0,True,1.0,True,2932.0,0,12,3055.0,3056.0,123.0,124.0,0.0,0.0,1.0,1.0
38,115,1110,101.0,True,101.0,True,3047.0,0,11,3057.0,3158.0,10.0,111.0,0.0,0.0,1.0,1.0
40,6,706,2.0,True,2.0,True,3082.0,0,14,3159.0,3161.0,77.0,79.0,0.0,0.0,1.0,1.0
39,29,855,53.0,True,53.0,True,3076.0,0,13,3162.0,3215.0,86.0,139.0,0.0,0.0,1.0,1.0
33,99,1005,399.0,True,399.0,True,2466.0,0,12,3216.0,3615.0,750.0,1149.0,0.0,0.0,1.0,1.0
45,110,794,2.0,True,2.0,True,3369.0,0,15,3616.0,3618.0,247.0,249.0,0.0,0.0,1.0,1.0
46,153,1113,64.0,True,64.0,True,3522.0,0,14,3619.0,3683.0,97.0,161.0,0.0,0.0,1.0,1.0
48,28,1004,3.0,True,3.0,True,3659.0,0,16,3684.0,3687.0,25.0,28.0,0.0,0.0,1.0,1.0
43,109,965,162.0,True,162.0,True,3240.0,0,15,3688.0,3850.0,448.0,610.0,0.0,0.0,1.0,1.0
51,46,777,2.0,True,2.0,True,3847.0,0,16,3851.0,3853.0,4.0,6.0,0.0,0.0,1.0,1.0
50,129,1002,15.0,True,15.0,True,3801.0,0,15,3854.0,3869.0,53.0,68.0,0.0,0.0,1.0,1.0
44,19,825,228.0,True,228.0,True,3259.0,0,14,3870.0,4098.0,611.0,839.0,0.0,0.0,1.0,1.0
32,58,988,399.0,True,399.0,True,2367.0,0,15,4099.0,4099.0,1732.0,1732.0,0.0,0.0,0.0,0.0
53,129,1047,429.0,True,429.0,True,4011.0,0,14,4100.0,4529.0,89.0,518.0,0.0,0.0,1.0,1.0
56,97,1082,1.0,True,1.0,True,4270.0,0,19,4530.0,4531.0,260.0,261.0,0.0,0.0,1.0,1.0
59,27,662,1.0,True,1.0,True,4456.0,0,18,4532.0,4533.0,76.0,77.0,0.0,0.0,1.0,1.0
58,122,802,3.0,True,3.0,True,4429.0,0,17,4534.0,4537.0,105.0,108.0,0.0,0.0,1.0,1.0
54,97,805,174.0,True,174.0,True,4108.0,0,16,4538.0,4712.0,430.0,604.0,0.0,0.0,1.0,1.0
60,86,839,1.0,True,1.0,True,4542.0,0,18,4713.0,4714.0,171.0,172.0,0.0,0.0,1.0,1.0
61,38,798,4.0,True,4.0,True,4580.0,0,17,4715.0,4719.0,135.0,139.0,0.0,0.0,1.0,1.0
52,35,707,844.0,True,844.0,True,3882.0,0,16,4720.0,4720.0,838.0,838.0,0.0,0.0,0.0,0.0
64,141,882,10.0,True,10.0,True,4899.0,0,0,4900.0,4910.0,1.0,11.0,0.0,0.0,1.0,1.0
18,137,937,2286.0,True,2286.0,True,1666.0,0,14,4911.0,4911.0,3245.0,3245.0,0.0,0.0,0.0,0.0
49,13,742,2878.0,True,2878.0,True,3672.0,0,13,4912.0,4912.0,1240.0,1240.0,0.0,0.0,0.0,0.0
13,66,827,2885.0,True,2885.0,True,1221.0,0,12,4913.0,4913.0,3692.0,3692.0,0.0,0.0,0.0,0.0
14,63,767,3598.0,False,3598.0,False,1284.0,0,11,4914.0,4914.0,3630.0,3630.0,0.0,0.0,0.0,0.0
23,45,1150,3598.0,False,3598.0,False,1882.0,0,10,4915.0,4915.0,3033.0,3033.0,0.0,0.0,0.0,0.0
47,109,606,3598.0,False,3598.0,False,3631.0,0,9,4916.0,4916.0,1285.0,1285.0,0.0,0.0,0.0,0.0
26,10,761,3598.0,False,3598.0,False,2085.0,0,8,4917.0,4917.0,2832.0,2832.0,0.0,0.0,0.0,0.0
41,36,620,3598.0,False,3598.0,False,3118.0,0,7,4918.0,4918.0,1800.0,1800.0,0.0,0.0,0.0,0.0
