,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime
0,1,1167,139.0,True,177.0,True,1.0
1,143,1076,128.0,True,1941.0,False,144.0
2,101,1132,3598.0,False,771.0,False,245.0
3,110,661,65.0,True,49.0,True,355.0
4,85,1040,4.0,True,5.0,True,440.0
5,10,697,124.0,True,138.0,True,450.0
6,4,794,29.0,True,193.0,True,454.0
7,119,1018,19.0,True,32.0,True,573.0
8,105,976,47.0,True,94.0,True,678.0
9,146,1124,20.0,True,31.0,True,824.0
10,64,784,1459.0,True,378.0,True,888.0
11,131,1179,1.0,True,1.0,True,1019.0
12,136,1156,1.0,True,4.0,True,1155.0
13,66,827,2885.0,True,749.0,True,1221.0
14,63,767,3598.0,False,2871.0,False,1284.0
15,76,765,3.0,True,26.0,True,1360.0
16,125,1005,3598.0,False,1596.0,False,1485.0
17,44,710,10.0,True,16.0,True,1529.0
18,137,937,2286.0,True,195.0,True,1666.0
19,34,1086,3598.0,False,3590.0,False,1700.0
20,88,1183,1.0,True,1.0,True,1788.0
21,45,899,455.0,True,349.0,True,1833.0
22,4,1193,22.0,True,21.0,True,1837.0
23,45,1150,3598.0,False,2661.0,False,1882.0
24,108,920,10.0,True,1219.0,False,1990.0
25,85,985,1.0,True,1.0,True,2075.0
26,10,761,3598.0,False,3259.0,False,2085.0
27,59,624,42.0,True,20.0,True,2144.0
28,6,763,59.0,True,159.0,True,2150.0
29,81,976,11.0,True,230.0,True,2231.0
30,14,1055,1.0,True,6.0,True,2245.0
31,64,1041,5.0,True,21.0,True,2309.0
32,58,988,399.0,True,357.0,True,2367.0
33,99,1005,399.0,True,474.0,True,2466.0
34,86,634,276.0,True,79.0,True,2552.0
35,105,971,4.0,True,47.0,True,2657.0
36,126,677,3598.0,False,1322.0,False,2783.0
37,149,778,1.0,True,1.0,True,2932.0
38,115,1110,101.0,True,149.0,True,3047.0
39,29,855,53.0,True,115.0,True,3076.0
40,6,706,2.0,True,15.0,True,3082.0
41,36,620,3598.0,False,476.0,True,3118.0
42,13,615,3598.0,False,155.0,True,3131.0
43,109,965,162.0,True,123.0,True,3240.0
44,19,825,228.0,True,195.0,True,3259.0
45,110,794,2.0,True,6.0,True,3369.0
46,153,1113,64.0,True,107.0,True,3522.0
47,109,606,3598.0,False,773.0,True,3631.0
48,28,1004,3.0,True,5.0,True,3659.0
49,13,742,2878.0,True,1771.0,True,3672.0
50,129,1002,15.0,True,70.0,True,3801.0
51,46,777,2.0,True,22.0,True,3847.0
52,35,707,844.0,True,332.0,True,3882.0
53,129,1047,429.0,True,371.0,True,4011.0
54,97,805,174.0,True,217.0,True,4108.0
55,65,869,3598.0,False,619.0,True,4173.0
56,97,1082,1.0,True,1.0,True,4270.0
57,37,892,3598.0,False,253.0,False,4307.0
58,122,802,3.0,True,5.0,True,4429.0
59,27,662,1.0,True,1.0,True,4456.0
60,86,839,1.0,True,2.0,True,4542.0
61,38,798,4.0,True,18.0,True,4580.0
62,60,678,2056.0,True,917.0,True,4640.0
63,118,827,2099.0,True,571.0,True,4758.0
64,141,882,10.0,True,5.0,True,4899.0
65,87,1061,173.0,True,126.0,True,4986.0
66,72,1077,3598.0,False,1026.0,False,5058.0
67,95,790,595.0,True,475.0,True,5153.0
68,140,705,3598.0,False,203.0,True,5293.0
69,142,761,92.0,True,97.0,True,5435.0
70,12,922,43.0,True,35.0,True,5447.0
71,46,969,490.0,True,342.0,True,5493.0
72,158,750,7.0,True,10.0,True,5651.0
73,153,631,3598.0,False,689.0,False,5804.0
74,57,973,3170.0,True,280.0,True,5861.0
75,134,1166,1.0,True,1.0,True,5995.0
76,63,828,3598.0,False,1007.0,False,6058.0
77,42,791,262.0,True,475.0,True,6100.0
78,115,638,1.0,True,1.0,True,6215.0
79,122,1187,272.0,True,327.0,True,6337.0
80,154,1197,2.0,True,60.0,True,6491.0
81,142,938,81.0,True,100.0,True,6633.0
82,35,1177,2.0,True,3.0,True,6668.0
83,105,941,59.0,True,71.0,True,6773.0
84,73,821,3598.0,False,174.0,True,6846.0
85,2,698,593.0,True,63.0,True,6848.0
86,91,605,1.0,True,46.0,True,6939.0
87,48,612,1767.0,True,418.0,True,6987.0
88,13,701,3598.0,False,964.0,False,7000.0
89,60,1198,1.0,True,1.0,True,7060.0
90,107,706,6.0,True,5.0,True,7167.0
91,8,941,3598.0,False,2047.0,False,7175.0
92,16,756,550.0,True,414.0,True,7191.0
93,10,667,4.0,True,32.0,True,7201.0
94,54,601,76.0,True,50.0,True,7255.0
95,74,693,83.0,True,96.0,True,7329.0
96,46,844,1.0,True,1.0,True,7375.0
97,134,917,1.0,True,1.0,True,7509.0
98,44,847,231.0,True,81.0,True,7553.0
99,140,616,3598.0,False,144.0,True,7693.0
100,119,940,1387.0,True,507.0,True,7812.0
101,118,888,3598.0,False,2329.0,False,7930.0
102,20,743,60.0,True,147.0,True,7950.0
103,125,904,1564.0,True,145.0,True,8075.0
104,112,938,172.0,True,189.0,True,8187.0
105,53,864,29.0,True,422.0,True,8240.0
106,52,602,235.0,True,102.0,True,8292.0
107,147,1015,3598.0,False,283.0,True,8439.0
108,126,783,346.0,True,262.0,True,8565.0
109,81,707,3.0,True,3.0,True,8646.0
110,12,710,2.0,True,7.0,True,8658.0
111,134,992,118.0,True,171.0,True,8792.0
112,47,921,204.0,True,241.0,True,8839.0
113,99,701,821.0,True,651.0,True,8938.0
114,59,974,1.0,True,1.0,True,8997.0
115,110,1068,3598.0,False,2852.0,False,9107.0
116,8,664,1.0,True,1.0,True,9115.0
117,114,1001,735.0,True,326.0,True,9229.0
118,1,1174,3084.0,True,969.0,False,9230.0
119,71,1160,52.0,True,220.0,True,9301.0
120,124,955,2.0,True,5.0,True,9425.0
121,153,933,129.0,True,132.0,True,9578.0
122,64,631,3598.0,False,2095.0,False,9642.0
123,130,1055,36.0,True,65.0,True,9772.0
124,29,929,1.0,True,3.0,True,9801.0
125,134,711,131.0,True,36.0,True,9935.0
126,42,895,189.0,True,282.0,True,9977.0
127,35,896,3598.0,False,320.0,True,10012.0
128,97,1199,70.0,True,585.0,True,10109.0
129,131,795,2.0,True,63.0,True,10240.0
130,75,1066,40.0,True,121.0,True,10315.0
131,103,726,1.0,True,38.0,True,10418.0
132,5,617,157.0,True,18.0,True,10423.0
133,120,1138,2607.0,True,419.0,True,10543.0
134,62,1119,3598.0,False,830.0,False,10605.0
135,13,1095,22.0,True,21.0,True,10618.0
136,110,639,219.0,True,284.0,True,10728.0
137,130,792,11.0,True,1390.0,False,10858.0
138,132,775,1.0,True,3.0,True,10990.0
139,148,736,3598.0,False,185.0,False,11138.0
140,21,813,613.0,True,35.0,True,11159.0
141,156,641,2.0,True,2.0,True,11315.0
142,54,646,275.0,True,53.0,True,11369.0
143,127,952,1.0,True,1.0,True,11496.0
144,98,934,3598.0,False,1950.0,False,11594.0
145,76,1031,3598.0,False,2536.0,False,11670.0
146,16,893,211.0,True,352.0,True,11686.0
147,48,799,7.0,True,1029.0,True,11734.0
148,91,1045,3598.0,False,2244.0,False,11825.0
149,68,1117,3.0,True,30.0,True,11893.0
150,143,785,3598.0,False,3170.0,False,12036.0
151,48,743,3598.0,False,989.0,False,12084.0
152,122,608,3598.0,False,166.0,True,12206.0
153,21,934,1.0,True,1.0,True,12227.0
154,101,868,143.0,True,259.0,True,12328.0
155,156,730,3598.0,False,2736.0,False,12484.0
156,21,858,3000.0,True,1194.0,True,12505.0
157,126,945,3598.0,False,1668.0,False,12631.0
158,8,1103,3.0,True,40.0,True,12639.0
159,114,677,1.0,True,1.0,True,12753.0
160,7,763,2.0,True,17.0,True,12760.0
161,96,954,149.0,True,64.0,True,12856.0
162,87,662,1.0,True,1.0,True,12943.0
163,55,744,2.0,True,2.0,True,12998.0
164,63,1148,1.0,True,1.0,True,13061.0
165,92,898,3598.0,False,1649.0,False,13153.0
166,73,1019,536.0,True,332.0,True,13226.0
167,108,979,509.0,True,136.0,True,13334.0
168,141,1025,8.0,True,123.0,True,13475.0
169,125,1055,3598.0,False,1100.0,False,13600.0
170,156,611,3598.0,False,684.0,True,13756.0
171,94,977,7.0,True,70.0,True,13850.0
172,140,841,16.0,True,452.0,True,13990.0
173,84,969,1779.0,True,588.0,True,14074.0
174,106,1196,65.0,True,46.0,True,14180.0
175,147,1056,3598.0,False,1955.0,False,14327.0
176,13,700,48.0,True,40.0,True,14340.0
177,80,1163,3.0,True,47.0,True,14420.0
178,70,993,2667.0,True,975.0,False,14490.0
179,109,666,1.0,True,2.0,True,14599.0
180,22,1123,3598.0,False,1128.0,False,14621.0
181,33,1139,36.0,True,74.0,True,14654.0
182,68,1169,1.0,True,8.0,True,14722.0
183,114,1094,3598.0,False,361.0,True,14836.0
184,67,1034,189.0,True,423.0,True,14903.0
185,80,958,8.0,True,83.0,True,14983.0
186,38,784,3598.0,False,2583.0,False,15021.0
187,38,842,124.0,True,364.0,True,15059.0
188,100,830,123.0,True,304.0,True,15159.0
189,116,634,290.0,True,68.0,True,15275.0
190,76,1021,1400.0,True,919.0,False,15351.0
191,6,880,1.0,True,7.0,True,15357.0
192,2,820,2.0,True,26.0,True,15359.0
193,159,1137,14.0,True,63.0,True,15518.0
194,143,1110,3134.0,True,445.0,True,15661.0
195,78,862,11.0,True,37.0,True,15739.0
196,104,714,34.0,True,59.0,True,15843.0
197,48,711,48.0,True,229.0,True,15891.0
198,33,659,92.0,True,91.0,True,15924.0
199,94,906,3598.0,False,3041.0,False,16018.0
200,6,905,36.0,True,84.0,True,16024.0
201,151,649,33.0,True,200.0,True,16175.0
202,76,628,1.0,True,1.0,True,16251.0
203,127,818,3598.0,False,1779.0,False,16378.0
204,17,1016,1.0,True,1.0,True,16395.0
205,129,831,12.0,True,2334.0,False,16524.0
206,23,1027,784.0,True,2153.0,False,16547.0
207,120,621,1.0,True,1.0,True,16667.0
208,103,733,3156.0,True,463.0,False,16770.0
209,153,1166,136.0,True,172.0,True,16923.0
210,86,1198,122.0,True,174.0,True,17009.0
211,141,919,3598.0,False,2265.0,False,17150.0
212,114,1167,1.0,True,1.0,True,17264.0
213,128,1026,1.0,True,1.0,True,17392.0
214,103,735,5.0,True,17.0,True,17495.0
215,92,706,3598.0,False,2649.0,False,17587.0
216,152,876,1707.0,True,71.0,True,17739.0
217,113,1049,140.0,True,82.0,True,17852.0
218,143,772,117.0,True,131.0,True,17995.0
219,140,1010,323.0,True,88.0,True,18135.0
220,72,909,16.0,True,8.0,True,18207.0
221,61,1080,42.0,True,49.0,True,18268.0
222,4,831,3598.0,False,137.0,True,18272.0
223,42,834,20.0,True,30.0,True,18314.0
224,68,1167,2229.0,True,1556.0,True,18382.0
225,43,1031,40.0,True,133.0,True,18425.0
226,2,933,1.0,True,1.0,True,18427.0
227,118,1014,27.0,True,14.0,True,18545.0
228,25,1159,6.0,True,7.0,True,18570.0
229,122,831,1.0,True,1.0,True,18692.0
230,20,862,1.0,True,1.0,True,18712.0
231,102,993,43.0,True,49.0,True,18814.0
232,39,803,230.0,True,148.0,True,18853.0
233,143,909,1.0,True,1.0,True,18996.0
234,67,1116,85.0,True,34.0,True,19063.0
235,57,1138,23.0,True,34.0,True,19120.0
236,130,817,3598.0,False,786.0,True,19250.0
237,115,1053,3598.0,False,277.0,False,19365.0
238,23,1194,1.0,True,1.0,True,19388.0
239,115,647,56.0,True,1656.0,False,19503.0
240,20,782,2.0,True,2.0,True,19523.0
241,109,1064,8.0,True,79.0,True,19632.0
242,150,1143,19.0,True,23.0,True,19782.0
243,140,835,3598.0,False,648.0,False,19922.0
244,122,896,3.0,True,23.0,True,20044.0
245,154,634,35.0,True,121.0,True,20198.0
246,100,1096,71.0,True,364.0,False,20298.0
247,43,951,505.0,True,172.0,True,20341.0
248,113,813,40.0,True,47.0,True,20454.0
249,108,893,1754.0,True,409.0,True,20562.0
250,75,1159,3598.0,False,3289.0,False,20637.0
251,67,1196,44.0,True,319.0,True,20704.0
252,11,636,29.0,True,181.0,True,20715.0
253,124,710,3598.0,False,382.0,True,20839.0
254,158,1127,1884.0,True,400.0,True,20997.0
255,101,1138,2028.0,True,756.0,True,21098.0
256,46,1189,108.0,True,122.0,True,21144.0
