,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,Stopped,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
0,1,1167,139.0,True,177.0,True,1.0,0,0,1.0,140.0,0.0,139.0,1.0,0.0,1.0,1.0
1,143,1076,128.0,True,1750.0,False,144.0,0,0,144.0,144.0,0.0,1.0,4.0,0.0,0.0,0.0
2,101,1132,3598.0,False,423.0,True,245.0,1,0,245.0,440.0,0.0,195.0,101.0,0.0,1.0,0.0
3,110,661,65.0,True,53.0,True,355.0,0,0,441.0,506.0,86.0,151.0,0.0,0.0,1.0,1.0
4,85,1040,4.0,True,24.0,True,440.0,0,3,507.0,511.0,67.0,71.0,0.0,0.0,1.0,1.0
5,10,697,124.0,True,127.0,True,450.0,0,2,512.0,636.0,62.0,186.0,0.0,0.0,1.0,1.0
6,4,794,29.0,True,361.0,True,454.0,0,2,637.0,666.0,183.0,212.0,0.0,0.0,1.0,1.0
7,119,1018,19.0,True,41.0,True,573.0,0,1,667.0,686.0,94.0,113.0,0.0,0.0,1.0,1.0
8,105,976,47.0,True,172.0,True,678.0,0,1,687.0,734.0,9.0,56.0,0.0,0.0,1.0,1.0
9,146,1124,20.0,True,45.0,True,824.0,0,0,824.0,844.0,0.0,20.0,90.0,0.0,1.0,1.0
10,64,784,1459.0,True,298.0,True,888.0,1,0,888.0,1155.0,0.0,267.0,44.0,0.0,1.0,0.0
11,131,1179,1.0,True,1.0,True,1019.0,0,0,1156.0,1157.0,137.0,138.0,0.0,0.0,1.0,1.0
12,136,1156,1.0,True,2.0,True,1155.0,0,1,1158.0,1159.0,3.0,4.0,0.0,0.0,1.0,1.0
13,66,827,2885.0,True,485.0,True,1221.0,1,0,1221.0,1485.0,0.0,264.0,62.0,0.0,1.0,0.0
14,63,767,3598.0,False,2637.0,False,1284.0,0,0,1486.0,1486.0,202.0,202.0,0.0,0.0,0.0,0.0
15,76,765,3.0,True,16.0,True,1360.0,0,0,1487.0,1490.0,127.0,130.0,0.0,0.0,1.0,1.0
16,125,1005,3598.0,False,1571.0,False,1485.0,0,1,1491.0,1491.0,6.0,6.0,0.0,0.0,0.0,0.0
17,44,710,10.0,True,21.0,True,1529.0,0,0,1529.0,1539.0,0.0,10.0,38.0,0.0,1.0,1.0
18,137,937,2286.0,True,230.0,True,1666.0,1,0,1666.0,1833.0,0.0,167.0,127.0,0.0,1.0,0.0
19,34,1086,3598.0,False,3034.0,False,1700.0,0,0,1834.0,1834.0,134.0,134.0,0.0,0.0,0.0,0.0
20,88,1183,1.0,True,1.0,True,1788.0,0,0,1835.0,1836.0,47.0,48.0,0.0,0.0,1.0,1.0
21,45,899,455.0,True,404.0,True,1833.0,0,1,1837.0,2292.0,4.0,459.0,0.0,0.0,1.0,1.0
22,4,1193,22.0,True,143.0,True,1837.0,0,9,2293.0,2315.0,456.0,478.0,0.0,0.0,1.0,1.0
23,45,1150,3598.0,False,2042.0,False,1882.0,0,9,2316.0,2316.0,434.0,434.0,0.0,0.0,0.0,0.0
24,108,920,10.0,True,1173.0,False,1990.0,0,8,2317.0,2317.0,327.0,327.0,0.0,0.0,0.0,0.0
25,85,985,1.0,True,1.0,True,2075.0,0,7,2318.0,2319.0,243.0,244.0,0.0,0.0,1.0,1.0
26,10,761,3598.0,False,3266.0,False,2085.0,0,6,2320.0,2320.0,235.0,235.0,0.0,0.0,0.0,0.0
27,59,624,42.0,True,17.0,True,2144.0,0,5,2321.0,2363.0,177.0,219.0,0.0,0.0,1.0,1.0
28,6,763,59.0,True,90.0,True,2150.0,0,4,2364.0,2423.0,214.0,273.0,0.0,0.0,1.0,1.0
29,81,976,11.0,True,501.0,True,2231.0,0,4,2424.0,2435.0,193.0,204.0,0.0,0.0,1.0,1.0
30,14,1055,1.0,True,12.0,True,2245.0,0,3,2436.0,2437.0,191.0,192.0,0.0,0.0,1.0,1.0
31,64,1041,5.0,True,19.0,True,2309.0,0,2,2438.0,2443.0,129.0,134.0,0.0,0.0,1.0,1.0
32,58,988,399.0,True,275.0,True,2367.0,0,1,2444.0,2843.0,77.0,476.0,0.0,0.0,1.0,1.0
33,99,1005,399.0,True,375.0,True,2466.0,0,4,2844.0,3243.0,378.0,777.0,0.0,0.0,1.0,1.0
34,86,634,276.0,True,91.0,True,2552.0,0,10,3244.0,3244.0,692.0,692.0,0.0,0.0,0.0,0.0
35,105,971,4.0,True,88.0,True,2657.0,0,9,3245.0,3249.0,588.0,592.0,0.0,0.0,1.0,1.0
36,126,677,3598.0,False,600.0,False,2783.0,0,8,3250.0,3250.0,467.0,467.0,0.0,0.0,0.0,0.0
37,149,778,1.0,True,1.0,True,2932.0,0,7,3251.0,3252.0,319.0,320.0,0.0,0.0,1.0,1.0
38,115,1110,101.0,True,154.0,True,3047.0,0,6,3253.0,3354.0,206.0,307.0,0.0,0.0,1.0,1.0
39,29,855,53.0,True,120.0,True,3076.0,0,6,3355.0,3408.0,279.0,332.0,0.0,0.0,1.0,1.0
40,6,706,2.0,True,17.0,True,3082.0,0,6,3409.0,3411.0,327.0,329.0,0.0,0.0,1.0,1.0
41,36,620,3598.0,False,277.0,True,3118.0,1,5,3412.0,3522.0,294.0,404.0,0.0,0.0,1.0,0.0
42,13,615,3598.0,False,415.0,True,3131.0,1,0,3523.0,3631.0,392.0,500.0,0.0,0.0,1.0,0.0
43,109,965,162.0,True,142.0,True,3240.0,0,0,3632.0,3794.0,392.0,554.0,0.0,0.0,1.0,1.0
44,19,825,228.0,True,67.0,True,3259.0,0,6,3795.0,4023.0,536.0,764.0,0.0,0.0,1.0,1.0
45,110,794,2.0,True,7.0,True,3369.0,0,9,4024.0,4026.0,655.0,657.0,0.0,0.0,1.0,1.0
46,153,1113,64.0,True,66.0,True,3522.0,0,8,4027.0,4091.0,505.0,569.0,0.0,0.0,1.0,1.0
47,109,606,3598.0,False,987.0,True,3631.0,1,7,4092.0,4108.0,461.0,477.0,0.0,0.0,1.0,0.0
48,28,1004,3.0,True,2.0,True,3659.0,0,0,4109.0,4112.0,450.0,453.0,0.0,0.0,1.0,1.0
49,13,742,2878.0,True,1722.0,True,3672.0,1,6,4113.0,4173.0,441.0,501.0,0.0,0.0,1.0,0.0
50,129,1002,15.0,True,129.0,True,3801.0,0,0,4174.0,4189.0,373.0,388.0,0.0,0.0,1.0,1.0
51,46,777,2.0,True,27.0,True,3847.0,0,5,4190.0,4192.0,343.0,345.0,0.0,0.0,1.0,1.0
52,35,707,844.0,True,229.0,True,3882.0,0,4,4193.0,5037.0,311.0,1155.0,0.0,0.0,1.0,1.0
53,129,1047,429.0,True,290.0,True,4011.0,1,13,5038.0,5058.0,1027.0,1047.0,0.0,0.0,1.0,0.0
54,97,805,174.0,True,147.0,True,4108.0,0,0,5059.0,5059.0,951.0,951.0,0.0,0.0,0.0,0.0
55,65,869,3598.0,False,234.0,True,4173.0,0,0,5060.0,5060.0,887.0,887.0,0.0,0.0,0.0,0.0
56,97,1082,1.0,True,1.0,True,4270.0,0,0,5061.0,5062.0,791.0,792.0,0.0,0.0,1.0,1.0
57,37,892,3598.0,False,94.0,False,4307.0,0,10,5063.0,5063.0,756.0,756.0,0.0,0.0,0.0,0.0
58,122,802,3.0,True,12.0,True,4429.0,0,9,5064.0,5067.0,635.0,638.0,0.0,0.0,1.0,1.0
59,27,662,1.0,True,1.0,True,4456.0,0,8,5068.0,5069.0,612.0,613.0,0.0,0.0,1.0,1.0
60,86,839,1.0,True,3.0,True,4542.0,0,7,5070.0,5071.0,528.0,529.0,0.0,0.0,1.0,1.0
61,38,798,4.0,True,25.0,True,4580.0,0,6,5072.0,5076.0,492.0,496.0,0.0,0.0,1.0,1.0
62,60,678,2056.0,True,660.0,True,4640.0,1,5,5077.0,5153.0,437.0,513.0,0.0,0.0,1.0,0.0
63,118,827,2099.0,True,332.0,True,4758.0,1,0,5154.0,5293.0,396.0,535.0,0.0,0.0,1.0,0.0
64,141,882,10.0,True,8.0,True,4899.0,0,0,5294.0,5304.0,395.0,405.0,0.0,0.0,1.0,1.0
65,87,1061,173.0,True,168.0,True,4986.0,0,4,5305.0,5478.0,319.0,492.0,0.0,0.0,1.0,1.0
66,72,1077,3598.0,False,390.0,False,5058.0,0,5,5479.0,5479.0,421.0,421.0,0.0,0.0,0.0,0.0
67,95,790,595.0,True,357.0,True,5153.0,0,4,5480.0,6075.0,327.0,922.0,0.0,0.0,1.0,1.0
68,140,705,3598.0,False,117.0,True,5293.0,0,9,6076.0,6076.0,783.0,783.0,0.0,0.0,0.0,0.0
69,142,761,92.0,True,126.0,True,5435.0,0,8,6077.0,6169.0,642.0,734.0,0.0,0.0,1.0,1.0
70,12,922,43.0,True,26.0,True,5447.0,0,8,6170.0,6213.0,723.0,766.0,0.0,0.0,1.0,1.0
71,46,969,490.0,True,382.0,True,5493.0,1,7,6214.0,6215.0,721.0,722.0,0.0,0.0,1.0,0.0
72,158,750,7.0,True,29.0,True,5651.0,0,0,6216.0,6223.0,565.0,572.0,0.0,0.0,1.0,1.0
73,153,631,3598.0,False,211.0,False,5804.0,0,6,6224.0,6224.0,420.0,420.0,0.0,0.0,0.0,0.0
74,57,973,3170.0,True,196.0,True,5861.0,1,5,6225.0,6337.0,364.0,476.0,0.0,0.0,1.0,0.0
75,134,1166,1.0,True,1.0,True,5995.0,0,0,6338.0,6339.0,343.0,344.0,0.0,0.0,1.0,1.0
76,63,828,3598.0,False,1045.0,False,6058.0,0,4,6340.0,6340.0,282.0,282.0,0.0,0.0,0.0,0.0
77,42,791,262.0,True,346.0,True,6100.0,0,3,6341.0,6603.0,241.0,503.0,0.0,0.0,1.0,1.0
78,115,638,1.0,True,1.0,True,6215.0,0,3,6604.0,6605.0,389.0,390.0,0.0,0.0,1.0,1.0
79,122,1187,272.0,True,227.0,True,6337.0,0,2,6606.0,6878.0,269.0,541.0,0.0,0.0,1.0,1.0
80,154,1197,2.0,True,15.0,True,6491.0,0,6,6879.0,6881.0,388.0,390.0,0.0,0.0,1.0,1.0
81,142,938,81.0,True,73.0,True,6633.0,0,5,6882.0,6963.0,249.0,330.0,0.0,0.0,1.0,1.0
82,35,1177,2.0,True,4.0,True,6668.0,0,5,6964.0,6966.0,296.0,298.0,0.0,0.0,1.0,1.0
83,105,941,59.0,True,61.0,True,6773.0,0,4,6967.0,7026.0,194.0,253.0,0.0,0.0,1.0,1.0
84,73,821,3598.0,False,385.0,True,6846.0,1,5,7027.0,7060.0,181.0,214.0,0.0,0.0,1.0,0.0
85,2,698,593.0,True,56.0,True,6848.0,0,0,7061.0,7654.0,213.0,806.0,0.0,0.0,1.0,1.0
86,91,605,1.0,True,45.0,True,6939.0,0,13,7655.0,7655.0,716.0,716.0,0.0,0.0,0.0,0.0
87,48,612,1767.0,True,230.0,True,6987.0,0,12,7656.0,7656.0,669.0,669.0,0.0,0.0,0.0,0.0
88,13,701,3598.0,False,589.0,False,7000.0,0,11,7657.0,7657.0,657.0,657.0,0.0,0.0,0.0,0.0
89,60,1198,1.0,True,1.0,True,7060.0,0,10,7658.0,7659.0,598.0,599.0,0.0,0.0,1.0,1.0
90,107,706,6.0,True,4.0,True,7167.0,0,9,7660.0,7666.0,493.0,499.0,0.0,0.0,1.0,1.0
91,8,941,3598.0,False,1322.0,False,7175.0,0,8,7667.0,7667.0,492.0,492.0,0.0,0.0,0.0,0.0
92,16,756,550.0,True,463.0,True,7191.0,1,7,7668.0,7693.0,477.0,502.0,0.0,0.0,1.0,0.0
93,10,667,4.0,True,19.0,True,7201.0,0,0,7694.0,7698.0,493.0,497.0,0.0,0.0,1.0,1.0
94,54,601,76.0,True,49.0,True,7255.0,0,6,7699.0,7775.0,444.0,520.0,0.0,0.0,1.0,1.0
95,74,693,83.0,True,83.0,True,7329.0,0,5,7776.0,7859.0,447.0,530.0,0.0,0.0,1.0,1.0
96,46,844,1.0,True,1.0,True,7375.0,0,5,7860.0,7861.0,485.0,486.0,0.0,0.0,1.0,1.0
97,134,917,1.0,True,1.0,True,7509.0,0,4,7862.0,7863.0,353.0,354.0,0.0,0.0,1.0,1.0
98,44,847,231.0,True,101.0,True,7553.0,0,3,7864.0,8095.0,311.0,542.0,0.0,0.0,1.0,1.0
99,140,616,3598.0,False,180.0,True,7693.0,1,5,8096.0,8187.0,403.0,494.0,0.0,0.0,1.0,0.0
100,119,940,1387.0,True,318.0,True,7812.0,1,0,8188.0,8240.0,376.0,428.0,0.0,0.0,1.0,0.0
101,118,888,3598.0,False,2979.0,False,7930.0,0,0,8241.0,8241.0,311.0,311.0,0.0,0.0,0.0,0.0
102,20,743,60.0,True,233.0,True,7950.0,0,0,8242.0,8302.0,292.0,352.0,0.0,0.0,1.0,1.0
103,125,904,1564.0,True,249.0,True,8075.0,1,4,8303.0,8439.0,228.0,364.0,0.0,0.0,1.0,0.0
104,112,938,172.0,True,218.0,True,8187.0,0,0,8440.0,8612.0,253.0,425.0,0.0,0.0,1.0,1.0
105,53,864,29.0,True,204.0,True,8240.0,0,4,8613.0,8642.0,373.0,402.0,0.0,0.0,1.0,1.0
106,52,602,235.0,True,98.0,True,8292.0,0,3,8643.0,8878.0,351.0,586.0,0.0,0.0,1.0,1.0
107,147,1015,3598.0,False,609.0,False,8439.0,0,6,8879.0,8879.0,440.0,440.0,0.0,0.0,0.0,0.0
108,126,783,346.0,True,354.0,True,8565.0,0,5,8880.0,9226.0,315.0,661.0,0.0,0.0,1.0,1.0
109,81,707,3.0,True,3.0,True,8646.0,0,8,9227.0,9230.0,581.0,584.0,0.0,0.0,1.0,1.0
110,12,710,2.0,True,22.0,True,8658.0,0,9,9231.0,9233.0,573.0,575.0,0.0,0.0,1.0,1.0
111,134,992,118.0,True,70.0,True,8792.0,0,8,9234.0,9352.0,442.0,560.0,0.0,0.0,1.0,1.0
112,47,921,204.0,True,116.0,True,8839.0,0,8,9353.0,9557.0,514.0,718.0,0.0,0.0,1.0,1.0
113,99,701,821.0,True,569.0,True,8938.0,1,8,9558.0,9578.0,620.0,640.0,0.0,0.0,1.0,0.0
114,59,974,1.0,True,1.0,True,8997.0,0,0,9579.0,9580.0,582.0,583.0,0.0,0.0,1.0,1.0
115,110,1068,3598.0,False,2607.0,False,9107.0,0,7,9581.0,9581.0,474.0,474.0,0.0,0.0,0.0,0.0
116,8,664,1.0,True,1.0,True,9115.0,0,6,9582.0,9583.0,467.0,468.0,0.0,0.0,1.0,1.0
117,114,1001,735.0,True,206.0,True,9229.0,0,5,9584.0,10319.0,355.0,1090.0,0.0,0.0,1.0,1.0
118,1,1174,3084.0,True,1634.0,False,9230.0,0,13,10320.0,10320.0,1090.0,1090.0,0.0,0.0,0.0,0.0
119,71,1160,52.0,True,201.0,True,9301.0,0,12,10321.0,10373.0,1020.0,1072.0,0.0,0.0,1.0,1.0
120,124,955,2.0,True,13.0,True,9425.0,0,11,10374.0,10376.0,949.0,951.0,0.0,0.0,1.0,1.0
121,153,933,129.0,True,224.0,True,9578.0,0,10,10377.0,10506.0,799.0,928.0,0.0,0.0,1.0,1.0
122,64,631,3598.0,False,2329.0,False,9642.0,0,11,10507.0,10507.0,865.0,865.0,0.0,0.0,0.0,0.0
123,130,1055,36.0,True,53.0,True,9772.0,0,10,10508.0,10544.0,736.0,772.0,0.0,0.0,1.0,1.0
124,29,929,1.0,True,3.0,True,9801.0,0,10,10545.0,10546.0,744.0,745.0,0.0,0.0,1.0,1.0
125,134,711,131.0,True,19.0,True,9935.0,0,9,10547.0,10678.0,612.0,743.0,0.0,0.0,1.0,1.0
126,42,895,189.0,True,211.0,False,9977.0,0,10,10679.0,10679.0,702.0,702.0,0.0,0.0,0.0,0.0
127,35,896,3598.0,False,182.0,True,10012.0,1,9,10680.0,10728.0,668.0,716.0,0.0,0.0,1.0,0.0
