,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,Stopped,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
0,1,1167,139.0,True,187.0,True,1.0,0,0,1.0,140.0,0.0,139.0,1.0,0.0,1.0,1.0
1,143,1076,128.0,True,2787.0,False,144.0,0,0,144.0,144.0,0.0,1.0,4.0,0.0,0.0,0.0
2,101,1132,3598.0,False,1578.0,False,245.0,0,0,245.0,245.0,0.0,1.0,101.0,0.0,0.0,0.0
3,110,661,65.0,True,58.0,True,355.0,0,0,355.0,420.0,0.0,65.0,110.0,0.0,1.0,1.0
4,85,1040,4.0,True,18.0,True,440.0,0,0,440.0,444.0,0.0,4.0,20.0,0.0,1.0,1.0
5,10,697,124.0,True,232.0,True,450.0,0,0,450.0,574.0,0.0,124.0,6.0,0.0,1.0,1.0
6,4,794,29.0,True,150.0,True,454.0,0,2,575.0,604.0,121.0,150.0,0.0,0.0,1.0,1.0
7,119,1018,19.0,True,27.0,True,573.0,0,1,605.0,624.0,32.0,51.0,0.0,0.0,1.0,1.0
8,105,976,47.0,True,233.0,True,678.0,0,0,678.0,725.0,0.0,47.0,54.0,0.0,1.0,1.0
9,146,1124,20.0,True,43.0,True,824.0,0,0,824.0,844.0,0.0,20.0,99.0,0.0,1.0,1.0
10,64,784,1459.0,True,272.0,True,888.0,1,0,888.0,1155.0,0.0,267.0,44.0,0.0,1.0,0.0
11,131,1179,1.0,True,1.0,True,1019.0,0,0,1156.0,1157.0,137.0,138.0,0.0,0.0,1.0,1.0
12,136,1156,1.0,True,6.0,True,1155.0,0,1,1158.0,1159.0,3.0,4.0,0.0,0.0,1.0,1.0
13,66,827,2885.0,True,3119.0,True,1221.0,1,0,1221.0,1485.0,0.0,264.0,62.0,0.0,1.0,0.0
14,63,767,3598.0,False,3590.0,False,1284.0,0,0,1486.0,1486.0,202.0,202.0,0.0,0.0,0.0,0.0
15,76,765,3.0,True,4.0,True,1360.0,0,0,1487.0,1490.0,127.0,130.0,0.0,0.0,1.0,1.0
16,125,1005,3598.0,False,110.0,True,1485.0,1,1,1491.0,1666.0,6.0,181.0,0.0,0.0,1.0,0.0
17,44,710,10.0,True,108.0,True,1529.0,0,0,1667.0,1677.0,138.0,148.0,0.0,0.0,1.0,1.0
18,137,937,2286.0,True,494.0,True,1666.0,1,1,1678.0,1833.0,12.0,167.0,0.0,0.0,1.0,0.0
19,34,1086,3598.0,False,3590.0,False,1700.0,0,0,1834.0,1834.0,134.0,134.0,0.0,0.0,0.0,0.0
20,88,1183,1.0,True,1.0,True,1788.0,0,0,1835.0,1836.0,47.0,48.0,0.0,0.0,1.0,1.0
21,45,899,455.0,True,316.0,True,1833.0,0,1,1837.0,2292.0,4.0,459.0,0.0,0.0,1.0,1.0
22,4,1193,22.0,True,23.0,True,1837.0,0,9,2293.0,2315.0,456.0,478.0,0.0,0.0,1.0,1.0
23,45,1150,3598.0,False,1043.0,True,1882.0,1,9,2316.0,2367.0,434.0,485.0,0.0,0.0,1.0,0.0
24,108,920,10.0,True,1500.0,False,1990.0,0,0,2368.0,2368.0,378.0,378.0,0.0,0.0,0.0,0.0
25,85,985,1.0,True,1.0,True,2075.0,0,0,2369.0,2370.0,294.0,295.0,0.0,0.0,1.0,1.0
26,10,761,3598.0,False,3590.0,False,2085.0,0,7,2371.0,2371.0,286.0,286.0,0.0,0.0,0.0,0.0
27,59,624,42.0,True,42.0,True,2144.0,0,6,2372.0,2414.0,228.0,270.0,0.0,0.0,1.0,1.0
28,6,763,59.0,True,144.0,True,2150.0,0,5,2415.0,2474.0,265.0,324.0,0.0,0.0,1.0,1.0
29,81,976,11.0,True,31.0,True,2231.0,0,5,2475.0,2486.0,244.0,255.0,0.0,0.0,1.0,1.0
30,14,1055,1.0,True,1.0,True,2245.0,0,4,2487.0,2488.0,242.0,243.0,0.0,0.0,1.0,1.0
31,64,1041,5.0,True,31.0,True,2309.0,0,3,2489.0,2494.0,180.0,185.0,0.0,0.0,1.0,1.0
32,58,988,399.0,True,244.0,True,2367.0,0,2,2495.0,2894.0,128.0,527.0,0.0,0.0,1.0,1.0
33,99,1005,399.0,True,244.0,True,2466.0,0,4,2895.0,3294.0,429.0,828.0,0.0,0.0,1.0,1.0
34,86,634,276.0,True,173.0,True,2552.0,0,11,3295.0,3295.0,743.0,743.0,0.0,0.0,0.0,0.0
35,105,971,4.0,True,2203.0,True,2657.0,0,10,3296.0,3300.0,639.0,643.0,0.0,0.0,1.0,1.0
36,126,677,3598.0,False,1031.0,False,2783.0,0,9,3301.0,3301.0,518.0,518.0,0.0,0.0,0.0,0.0
37,149,778,1.0,True,1.0,True,2932.0,0,8,3302.0,3303.0,370.0,371.0,0.0,0.0,1.0,1.0
38,115,1110,101.0,True,29.0,True,3047.0,0,7,3304.0,3405.0,257.0,358.0,0.0,0.0,1.0,1.0
39,29,855,53.0,True,101.0,True,3076.0,0,7,3406.0,3459.0,330.0,383.0,0.0,0.0,1.0,1.0
40,6,706,2.0,True,32.0,True,3082.0,0,6,3460.0,3462.0,378.0,380.0,0.0,0.0,1.0,1.0
41,36,620,3598.0,False,1112.0,True,3118.0,1,5,3463.0,3522.0,345.0,404.0,0.0,0.0,1.0,0.0
42,13,615,3598.0,False,416.0,False,3131.0,0,0,3523.0,3523.0,392.0,392.0,0.0,0.0,0.0,0.0
43,109,965,162.0,True,270.0,True,3240.0,0,0,3524.0,3686.0,284.0,446.0,0.0,0.0,1.0,1.0
44,19,825,228.0,True,692.0,True,3259.0,0,6,3687.0,3915.0,428.0,656.0,0.0,0.0,1.0,1.0
45,110,794,2.0,True,2.0,True,3369.0,0,8,3916.0,3918.0,547.0,549.0,0.0,0.0,1.0,1.0
46,153,1113,64.0,True,54.0,True,3522.0,0,7,3919.0,3983.0,397.0,461.0,0.0,0.0,1.0,1.0
47,109,606,3598.0,False,1626.0,True,3631.0,1,6,3984.0,4011.0,353.0,380.0,0.0,0.0,1.0,0.0
48,28,1004,3.0,True,1.0,True,3659.0,0,0,4012.0,4015.0,353.0,356.0,0.0,0.0,1.0,1.0
49,13,742,2878.0,True,1295.0,True,3672.0,1,5,4016.0,4108.0,344.0,436.0,0.0,0.0,1.0,0.0
50,129,1002,15.0,True,14.0,True,3801.0,0,0,4109.0,4124.0,308.0,323.0,0.0,0.0,1.0,1.0
51,46,777,2.0,True,47.0,True,3847.0,0,4,4125.0,4127.0,278.0,280.0,0.0,0.0,1.0,1.0
52,35,707,844.0,True,22.0,True,3882.0,0,3,4128.0,4972.0,246.0,1090.0,0.0,0.0,1.0,1.0
