,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,Stopped,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
0,1,1167,139.0,True,139.0,True,1.0,0,0,1.0,140.0,0.0,139.0,1.0,0.0,1.0,1.0
1,143,1076,128.0,True,128.0,True,144.0,0,0,144.0,272.0,0.0,128.0,4.0,0.0,1.0,1.0
2,101,1132,3598.0,False,3598.0,False,245.0,0,1,273.0,273.0,28.0,28.0,0.0,0.0,0.0,0.0
3,110,661,65.0,True,65.0,True,355.0,0,0,355.0,420.0,0.0,65.0,82.0,0.0,1.0,1.0
4,85,1040,4.0,True,4.0,True,440.0,0,0,440.0,444.0,0.0,4.0,20.0,0.0,1.0,1.0
5,10,697,124.0,True,124.0,True,450.0,0,0,450.0,574.0,0.0,124.0,6.0,0.0,1.0,1.0
6,4,794,29.0,True,29.0,True,454.0,0,2,575.0,604.0,121.0,150.0,0.0,0.0,1.0,1.0
7,119,1018,19.0,True,19.0,True,573.0,0,1,605.0,624.0,32.0,51.0,0.0,0.0,1.0,1.0
8,105,976,47.0,True,47.0,True,678.0,0,0,678.0,725.0,0.0,47.0,54.0,0.0,1.0,1.0
9,146,1124,20.0,True,20.0,True,824.0,0,0,824.0,844.0,0.0,20.0,99.0,0.0,1.0,1.0
10,64,784,1459.0,True,1459.0,True,888.0,1,0,888.0,1155.0,0.0,267.0,44.0,0.0,1.0,0.0
11,131,1179,1.0,True,1.0,True,1019.0,0,0,1156.0,1157.0,137.0,138.0,0.0,0.0,1.0,1.0
12,136,1156,1.0,True,1.0,True,1155.0,0,1,1158.0,1159.0,3.0,4.0,0.0,0.0,1.0,1.0
13,66,827,2885.0,True,2885.0,True,1221.0,1,0,1221.0,1529.0,0.0,308.0,62.0,0.0,1.0,0.0
14,63,767,3598.0,False,3598.0,False,1284.0,0,0,1530.0,1530.0,246.0,246.0,0.0,0.0,0.0,0.0
15,76,765,3.0,True,3.0,True,1360.0,0,0,1531.0,1534.0,171.0,174.0,0.0,0.0,1.0,1.0
16,125,1005,3598.0,False,3598.0,False,1485.0,0,2,1535.0,1535.0,50.0,50.0,0.0,0.0,0.0,0.0
17,44,710,10.0,True,10.0,True,1529.0,0,1,1536.0,1546.0,7.0,17.0,0.0,0.0,1.0,1.0
18,137,937,2286.0,True,2286.0,True,1666.0,1,0,1666.0,1833.0,0.0,167.0,120.0,0.0,1.0,0.0
19,34,1086,3598.0,False,3598.0,False,1700.0,0,0,1834.0,1834.0,134.0,134.0,0.0,0.0,0.0,0.0
20,88,1183,1.0,True,1.0,True,1788.0,0,0,1835.0,1836.0,47.0,48.0,0.0,0.0,1.0,1.0
21,45,899,455.0,True,455.0,True,1833.0,0,1,1837.0,2292.0,4.0,459.0,0.0,0.0,1.0,1.0
22,4,1193,22.0,True,22.0,True,1837.0,0,9,2293.0,2315.0,456.0,478.0,0.0,0.0,1.0,1.0
23,45,1150,3598.0,False,3598.0,False,1882.0,0,9,2316.0,2316.0,434.0,434.0,0.0,0.0,0.0,0.0
24,108,920,10.0,True,10.0,True,1990.0,0,8,2317.0,2327.0,327.0,337.0,0.0,0.0,1.0,1.0
25,85,985,1.0,True,1.0,True,2075.0,0,7,2328.0,2329.0,253.0,254.0,0.0,0.0,1.0,1.0
26,10,761,3598.0,False,3598.0,False,2085.0,0,6,2330.0,2330.0,245.0,245.0,0.0,0.0,0.0,0.0
27,59,624,42.0,True,42.0,True,2144.0,0,5,2331.0,2373.0,187.0,229.0,0.0,0.0,1.0,1.0
28,6,763,59.0,True,59.0,True,2150.0,0,5,2374.0,2433.0,224.0,283.0,0.0,0.0,1.0,1.0
29,81,976,11.0,True,11.0,True,2231.0,0,4,2434.0,2445.0,203.0,214.0,0.0,0.0,1.0,1.0
30,14,1055,1.0,True,1.0,True,2245.0,0,3,2446.0,2447.0,201.0,202.0,0.0,0.0,1.0,1.0
31,64,1041,5.0,True,5.0,True,2309.0,0,2,2448.0,2453.0,139.0,144.0,0.0,0.0,1.0,1.0
32,58,988,399.0,True,399.0,True,2367.0,0,1,2454.0,2853.0,87.0,486.0,0.0,0.0,1.0,1.0
33,99,1005,399.0,True,399.0,True,2466.0,0,4,2854.0,3253.0,388.0,787.0,0.0,0.0,1.0,1.0
34,86,634,276.0,True,276.0,True,2552.0,0,10,3254.0,3254.0,702.0,702.0,0.0,0.0,0.0,0.0
35,105,971,4.0,True,4.0,True,2657.0,0,9,3255.0,3259.0,598.0,602.0,0.0,0.0,1.0,1.0
36,126,677,3598.0,False,3598.0,False,2783.0,0,9,3260.0,3260.0,477.0,477.0,0.0,0.0,0.0,0.0
37,149,778,1.0,True,1.0,True,2932.0,0,8,3261.0,3262.0,329.0,330.0,0.0,0.0,1.0,1.0
38,115,1110,101.0,True,101.0,True,3047.0,0,7,3263.0,3364.0,216.0,317.0,0.0,0.0,1.0,1.0
39,29,855,53.0,True,53.0,True,3076.0,0,6,3365.0,3418.0,289.0,342.0,0.0,0.0,1.0,1.0
40,6,706,2.0,True,2.0,True,3082.0,0,6,3419.0,3421.0,337.0,339.0,0.0,0.0,1.0,1.0
41,36,620,3598.0,False,3598.0,False,3118.0,0,5,3422.0,3422.0,304.0,304.0,0.0,0.0,0.0,0.0
42,13,615,3598.0,False,3598.0,False,3131.0,0,4,3423.0,3423.0,292.0,292.0,0.0,0.0,0.0,0.0
43,109,965,162.0,True,162.0,True,3240.0,0,3,3424.0,3586.0,184.0,346.0,0.0,0.0,1.0,1.0
44,19,825,228.0,True,228.0,True,3259.0,0,3,3587.0,3815.0,328.0,556.0,0.0,0.0,1.0,1.0
45,110,794,2.0,True,2.0,True,3369.0,0,6,3816.0,3818.0,447.0,449.0,0.0,0.0,1.0,1.0
46,153,1113,64.0,True,64.0,True,3522.0,0,5,3819.0,3883.0,297.0,361.0,0.0,0.0,1.0,1.0
47,109,606,3598.0,False,3598.0,False,3631.0,0,6,3884.0,3884.0,253.0,253.0,0.0,0.0,0.0,0.0
48,28,1004,3.0,True,3.0,True,3659.0,0,5,3885.0,3888.0,226.0,229.0,0.0,0.0,1.0,1.0
49,13,742,2878.0,True,2878.0,True,3672.0,1,4,3889.0,4011.0,217.0,339.0,0.0,0.0,1.0,0.0
50,129,1002,15.0,True,15.0,True,3801.0,0,0,4012.0,4027.0,211.0,226.0,0.0,0.0,1.0,1.0
51,46,777,2.0,True,2.0,True,3847.0,0,3,4028.0,4030.0,181.0,183.0,0.0,0.0,1.0,1.0
52,35,707,844.0,True,844.0,True,3882.0,0,2,4031.0,4875.0,149.0,993.0,0.0,0.0,1.0,1.0
53,129,1047,429.0,True,429.0,True,4011.0,1,11,4876.0,4899.0,865.0,888.0,0.0,0.0,1.0,0.0
54,97,805,174.0,True,174.0,True,4108.0,0,0,4900.0,5074.0,792.0,966.0,0.0,0.0,1.0,1.0
55,65,869,3598.0,False,3598.0,False,4173.0,0,12,5075.0,5075.0,902.0,902.0,0.0,0.0,0.0,0.0
56,97,1082,1.0,True,1.0,True,4270.0,0,11,5076.0,5077.0,806.0,807.0,0.0,0.0,1.0,1.0
