,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,Stopped,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
0,1,1167,139.0,True,177.0,True,1.0,0,0,1.0,140.0,0.0,139.0,1.0,0.0,1.0,1.0
1,143,1076,128.0,True,1750.0,False,144.0,0,0,144.0,144.0,0.0,1.0,4.0,0.0,0.0,0.0
2,101,1132,3598.0,False,423.0,True,245.0,1,0,245.0,440.0,0.0,195.0,101.0,0.0,1.0,0.0
4,85,1040,4.0,True,24.0,True,440.0,0,0,441.0,445.0,1.0,5.0,0.0,0.0,1.0,1.0
3,110,661,65.0,True,53.0,True,355.0,0,1,446.0,511.0,91.0,156.0,0.0,0.0,1.0,1.0
5,10,697,124.0,True,127.0,True,450.0,0,2,512.0,636.0,62.0,186.0,0.0,0.0,1.0,1.0
7,119,1018,19.0,True,41.0,True,573.0,0,2,637.0,656.0,64.0,83.0,0.0,0.0,1.0,1.0
6,4,794,29.0,True,361.0,True,454.0,0,1,657.0,686.0,203.0,232.0,0.0,0.0,1.0,1.0
8,105,976,47.0,True,172.0,True,678.0,0,1,687.0,734.0,9.0,56.0,0.0,0.0,1.0,1.0
9,146,1124,20.0,True,45.0,True,824.0,0,0,824.0,844.0,0.0,20.0,90.0,0.0,1.0,1.0
10,64,784,1459.0,True,298.0,True,888.0,1,0,888.0,1155.0,0.0,267.0,44.0,0.0,1.0,0.0
11,131,1179,1.0,True,1.0,True,1019.0,0,0,1156.0,1157.0,137.0,138.0,0.0,0.0,1.0,1.0
12,136,1156,1.0,True,2.0,True,1155.0,0,1,1158.0,1159.0,3.0,4.0,0.0,0.0,1.0,1.0
13,66,827,2885.0,True,485.0,True,1221.0,1,0,1221.0,1485.0,0.0,264.0,62.0,0.0,1.0,0.0
15,76,765,3.0,True,16.0,True,1360.0,0,0,1486.0,1489.0,126.0,129.0,0.0,0.0,1.0,1.0
16,125,1005,3598.0,False,1571.0,False,1485.0,0,2,1490.0,1490.0,5.0,5.0,0.0,0.0,0.0,0.0
14,63,767,3598.0,False,2637.0,False,1284.0,0,1,1491.0,1491.0,207.0,207.0,0.0,0.0,0.0,0.0
17,44,710,10.0,True,21.0,True,1529.0,0,0,1529.0,1539.0,0.0,10.0,38.0,0.0,1.0,1.0
18,137,937,2286.0,True,230.0,True,1666.0,1,0,1666.0,1833.0,0.0,167.0,127.0,0.0,1.0,0.0
20,88,1183,1.0,True,1.0,True,1788.0,0,0,1834.0,1835.0,46.0,47.0,0.0,0.0,1.0,1.0
21,45,899,455.0,True,404.0,True,1833.0,0,2,1836.0,2291.0,3.0,458.0,0.0,0.0,1.0,1.0
25,85,985,1.0,True,1.0,True,2075.0,0,10,2292.0,2293.0,217.0,218.0,0.0,0.0,1.0,1.0
30,14,1055,1.0,True,12.0,True,2245.0,0,9,2294.0,2295.0,49.0,50.0,0.0,0.0,1.0,1.0
27,59,624,42.0,True,17.0,True,2144.0,0,8,2296.0,2338.0,152.0,194.0,0.0,0.0,1.0,1.0
31,64,1041,5.0,True,19.0,True,2309.0,0,8,2339.0,2344.0,30.0,35.0,0.0,0.0,1.0,1.0
28,6,763,59.0,True,90.0,True,2150.0,0,7,2345.0,2404.0,195.0,254.0,0.0,0.0,1.0,1.0
22,4,1193,22.0,True,143.0,True,1837.0,0,7,2405.0,2427.0,568.0,590.0,0.0,0.0,1.0,1.0
32,58,988,399.0,True,275.0,True,2367.0,0,6,2428.0,2827.0,61.0,460.0,0.0,0.0,1.0,1.0
35,105,971,4.0,True,88.0,True,2657.0,0,9,2828.0,2832.0,171.0,175.0,0.0,0.0,1.0,1.0
34,86,634,276.0,True,91.0,True,2552.0,0,8,2833.0,3109.0,281.0,557.0,0.0,0.0,1.0,1.0
37,149,778,1.0,True,1.0,True,2932.0,0,11,3110.0,3111.0,178.0,179.0,0.0,0.0,1.0,1.0
40,6,706,2.0,True,17.0,True,3082.0,0,10,3112.0,3114.0,30.0,32.0,0.0,0.0,1.0,1.0
39,29,855,53.0,True,120.0,True,3076.0,0,9,3115.0,3168.0,39.0,92.0,0.0,0.0,1.0,1.0
38,115,1110,101.0,True,154.0,True,3047.0,0,10,3169.0,3270.0,122.0,223.0,0.0,0.0,1.0,1.0
44,19,825,228.0,True,67.0,True,3259.0,0,11,3271.0,3499.0,12.0,240.0,0.0,0.0,1.0,1.0
45,110,794,2.0,True,7.0,True,3369.0,0,11,3500.0,3502.0,131.0,133.0,0.0,0.0,1.0,1.0
43,109,965,162.0,True,142.0,True,3240.0,0,10,3503.0,3665.0,263.0,425.0,0.0,0.0,1.0,1.0
48,28,1004,3.0,True,2.0,True,3659.0,0,12,3666.0,3669.0,7.0,10.0,0.0,0.0,1.0,1.0
46,153,1113,64.0,True,66.0,True,3522.0,0,11,3670.0,3734.0,148.0,212.0,0.0,0.0,1.0,1.0
41,36,620,3598.0,False,277.0,True,3118.0,1,11,3735.0,3801.0,617.0,683.0,0.0,0.0,1.0,0.0
50,129,1002,15.0,True,129.0,True,3801.0,0,0,3802.0,3817.0,1.0,16.0,0.0,0.0,1.0,1.0
33,99,1005,399.0,True,375.0,True,2466.0,0,10,3818.0,3818.0,1352.0,1352.0,0.0,0.0,0.0,0.0
42,13,615,3598.0,False,415.0,True,3131.0,0,9,3819.0,3819.0,688.0,688.0,0.0,0.0,0.0,0.0
29,81,976,11.0,True,501.0,True,2231.0,0,8,3820.0,3820.0,1589.0,1589.0,0.0,0.0,0.0,0.0
36,126,677,3598.0,False,600.0,False,2783.0,0,7,3821.0,3821.0,1038.0,1038.0,0.0,0.0,0.0,0.0
47,109,606,3598.0,False,987.0,True,3631.0,1,6,3822.0,3847.0,191.0,216.0,0.0,0.0,1.0,0.0
51,46,777,2.0,True,27.0,True,3847.0,0,0,3848.0,3850.0,1.0,3.0,0.0,0.0,1.0,1.0
24,108,920,10.0,True,1173.0,False,1990.0,0,5,3851.0,3851.0,1861.0,1861.0,0.0,0.0,0.0,0.0
49,13,742,2878.0,True,1722.0,True,3672.0,1,4,3852.0,3882.0,180.0,210.0,0.0,0.0,1.0,0.0
52,35,707,844.0,True,229.0,True,3882.0,0,0,3883.0,4727.0,1.0,845.0,0.0,0.0,1.0,1.0
56,97,1082,1.0,True,1.0,True,4270.0,0,13,4728.0,4729.0,458.0,459.0,0.0,0.0,1.0,1.0
59,27,662,1.0,True,1.0,True,4456.0,0,12,4730.0,4731.0,274.0,275.0,0.0,0.0,1.0,1.0
60,86,839,1.0,True,3.0,True,4542.0,0,11,4732.0,4733.0,190.0,191.0,0.0,0.0,1.0,1.0
58,122,802,3.0,True,12.0,True,4429.0,0,10,4734.0,4737.0,305.0,308.0,0.0,0.0,1.0,1.0
61,38,798,4.0,True,25.0,True,4580.0,0,9,4738.0,4742.0,158.0,162.0,0.0,0.0,1.0,1.0
57,37,892,3598.0,False,94.0,False,4307.0,0,8,4743.0,4743.0,436.0,436.0,0.0,0.0,0.0,0.0
54,97,805,174.0,True,147.0,True,4108.0,0,7,4744.0,4918.0,636.0,810.0,0.0,0.0,1.0,1.0
64,141,882,10.0,True,8.0,True,4899.0,0,8,4919.0,4929.0,20.0,30.0,0.0,0.0,1.0,1.0
55,65,869,3598.0,False,234.0,True,4173.0,1,7,4930.0,4986.0,757.0,813.0,0.0,0.0,1.0,0.0
65,87,1061,173.0,True,168.0,True,4986.0,0,0,4987.0,5160.0,1.0,174.0,0.0,0.0,1.0,1.0
53,129,1047,429.0,True,290.0,True,4011.0,0,8,5161.0,5161.0,1150.0,1150.0,0.0,0.0,0.0,0.0
63,118,827,2099.0,True,332.0,True,4758.0,1,7,5162.0,5293.0,404.0,535.0,0.0,0.0,1.0,0.0
68,140,705,3598.0,False,117.0,True,5293.0,1,0,5294.0,5435.0,1.0,142.0,0.0,0.0,1.0,0.0
69,142,761,92.0,True,126.0,True,5435.0,0,0,5436.0,5528.0,1.0,93.0,0.0,0.0,1.0,1.0
70,12,922,43.0,True,26.0,True,5447.0,0,8,5529.0,5572.0,82.0,125.0,0.0,0.0,1.0,1.0
67,95,790,595.0,True,357.0,True,5153.0,1,7,5573.0,5651.0,420.0,498.0,0.0,0.0,1.0,0.0
72,158,750,7.0,True,29.0,True,5651.0,0,0,5652.0,5659.0,1.0,8.0,0.0,0.0,1.0,1.0
71,46,969,490.0,True,382.0,True,5493.0,1,6,5660.0,5804.0,167.0,311.0,0.0,0.0,1.0,0.0
73,153,631,3598.0,False,211.0,False,5804.0,0,0,5805.0,5805.0,1.0,1.0,0.0,0.0,0.0,0.0
66,72,1077,3598.0,False,390.0,False,5058.0,0,0,5806.0,5806.0,748.0,748.0,0.0,0.0,0.0,0.0
62,60,678,2056.0,True,660.0,True,4640.0,0,0,5807.0,5807.0,1167.0,1167.0,0.0,0.0,0.0,0.0
23,45,1150,3598.0,False,2042.0,False,1882.0,0,0,5808.0,5808.0,3926.0,3926.0,0.0,0.0,0.0,0.0
19,34,1086,3598.0,False,3034.0,False,1700.0,0,0,5809.0,5809.0,4109.0,4109.0,0.0,0.0,0.0,0.0
26,10,761,3598.0,False,3266.0,False,2085.0,0,0,5810.0,5810.0,3725.0,3725.0,0.0,0.0,0.0,0.0
74,57,973,3170.0,True,196.0,True,5861.0,1,0,5861.0,6058.0,0.0,197.0,51.0,0.0,1.0,0.0
75,134,1166,1.0,True,1.0,True,5995.0,0,0,6059.0,6060.0,64.0,65.0,0.0,0.0,1.0,1.0
76,63,828,3598.0,False,1045.0,False,6058.0,0,1,6061.0,6061.0,3.0,3.0,0.0,0.0,0.0,0.0
77,42,791,262.0,True,346.0,True,6100.0,0,0,6100.0,6362.0,0.0,262.0,39.0,0.0,1.0,1.0
78,115,638,1.0,True,1.0,True,6215.0,0,2,6363.0,6364.0,148.0,149.0,0.0,0.0,1.0,1.0
79,122,1187,272.0,True,227.0,True,6337.0,0,1,6365.0,6637.0,28.0,300.0,0.0,0.0,1.0,1.0
80,154,1197,2.0,True,15.0,True,6491.0,0,2,6638.0,6640.0,147.0,149.0,0.0,0.0,1.0,1.0
81,142,938,81.0,True,73.0,True,6633.0,0,1,6641.0,6722.0,8.0,89.0,0.0,0.0,1.0,1.0
82,35,1177,2.0,True,4.0,True,6668.0,0,1,6723.0,6725.0,55.0,57.0,0.0,0.0,1.0,1.0
83,105,941,59.0,True,61.0,True,6773.0,0,0,6773.0,6832.0,0.0,59.0,48.0,0.0,1.0,1.0
84,73,821,3598.0,False,385.0,True,6846.0,1,0,6846.0,6939.0,0.0,93.0,14.0,0.0,1.0,0.0
86,91,605,1.0,True,45.0,True,6939.0,0,0,6940.0,6941.0,1.0,2.0,0.0,0.0,1.0,1.0
85,2,698,593.0,True,56.0,True,6848.0,0,1,6942.0,7535.0,94.0,687.0,0.0,0.0,1.0,1.0
89,60,1198,1.0,True,1.0,True,7060.0,0,11,7536.0,7537.0,476.0,477.0,0.0,0.0,1.0,1.0
97,134,917,1.0,True,1.0,True,7509.0,0,10,7538.0,7539.0,29.0,30.0,0.0,0.0,1.0,1.0
96,46,844,1.0,True,1.0,True,7375.0,0,9,7540.0,7541.0,165.0,166.0,0.0,0.0,1.0,1.0
90,107,706,6.0,True,4.0,True,7167.0,0,8,7542.0,7548.0,375.0,381.0,0.0,0.0,1.0,1.0
93,10,667,4.0,True,19.0,True,7201.0,0,7,7549.0,7553.0,348.0,352.0,0.0,0.0,1.0,1.0
94,54,601,76.0,True,49.0,True,7255.0,0,7,7554.0,7630.0,299.0,375.0,0.0,0.0,1.0,1.0
95,74,693,83.0,True,83.0,True,7329.0,0,6,7631.0,7714.0,302.0,385.0,0.0,0.0,1.0,1.0
98,44,847,231.0,True,101.0,True,7553.0,0,6,7715.0,7946.0,162.0,393.0,0.0,0.0,1.0,1.0
99,140,616,3598.0,False,180.0,True,7693.0,1,7,7947.0,7950.0,254.0,257.0,0.0,0.0,1.0,0.0
87,48,612,1767.0,True,230.0,True,6987.0,0,0,7951.0,7951.0,964.0,964.0,0.0,0.0,0.0,0.0
102,20,743,60.0,True,233.0,True,7950.0,0,0,7952.0,8012.0,2.0,62.0,0.0,0.0,1.0,1.0
100,119,940,1387.0,True,318.0,True,7812.0,1,5,8013.0,8075.0,201.0,263.0,0.0,0.0,1.0,0.0
103,125,904,1564.0,True,249.0,True,8075.0,1,0,8076.0,8187.0,1.0,112.0,0.0,0.0,1.0,0.0
104,112,938,172.0,True,218.0,True,8187.0,0,0,8188.0,8360.0,1.0,173.0,0.0,0.0,1.0,1.0
106,52,602,235.0,True,98.0,True,8292.0,1,6,8361.0,8439.0,69.0,147.0,0.0,0.0,1.0,0.0
105,53,864,29.0,True,204.0,True,8240.0,0,0,8440.0,8469.0,200.0,229.0,0.0,0.0,1.0,1.0
92,16,756,550.0,True,463.0,True,7191.0,0,5,8470.0,8470.0,1279.0,1279.0,0.0,0.0,0.0,0.0
88,13,701,3598.0,False,589.0,False,7000.0,0,4,8471.0,8471.0,1471.0,1471.0,0.0,0.0,0.0,0.0
107,147,1015,3598.0,False,609.0,False,8439.0,0,3,8472.0,8472.0,33.0,33.0,0.0,0.0,0.0,0.0
91,8,941,3598.0,False,1322.0,False,7175.0,0,2,8473.0,8473.0,1298.0,1298.0,0.0,0.0,0.0,0.0
101,118,888,3598.0,False,2979.0,False,7930.0,0,1,8474.0,8474.0,544.0,544.0,0.0,0.0,0.0,0.0
108,126,783,346.0,True,354.0,True,8565.0,0,0,8565.0,8911.0,0.0,346.0,91.0,0.0,1.0,1.0
109,81,707,3.0,True,3.0,True,8646.0,0,4,8912.0,8915.0,266.0,269.0,0.0,0.0,1.0,1.0
110,12,710,2.0,True,22.0,True,8658.0,0,3,8916.0,8918.0,258.0,260.0,0.0,0.0,1.0,1.0
111,134,992,118.0,True,70.0,True,8792.0,0,2,8919.0,9037.0,127.0,245.0,0.0,0.0,1.0,1.0
114,59,974,1.0,True,1.0,True,8997.0,0,3,9038.0,9039.0,41.0,42.0,0.0,0.0,1.0,1.0
112,47,921,204.0,True,116.0,True,8839.0,0,2,9040.0,9244.0,201.0,405.0,0.0,0.0,1.0,1.0
116,8,664,1.0,True,1.0,True,9115.0,0,5,9245.0,9246.0,130.0,131.0,0.0,0.0,1.0,1.0
117,114,1001,735.0,True,206.0,True,9229.0,0,4,9247.0,9982.0,18.0,753.0,0.0,0.0,1.0,1.0
124,29,929,1.0,True,3.0,True,9801.0,0,11,9983.0,9984.0,182.0,183.0,0.0,0.0,1.0,1.0
120,124,955,2.0,True,13.0,True,9425.0,0,10,9985.0,9987.0,560.0,562.0,0.0,0.0,1.0,1.0
125,134,711,131.0,True,19.0,True,9935.0,0,9,9988.0,10119.0,53.0,184.0,0.0,0.0,1.0,1.0
123,130,1055,36.0,True,53.0,True,9772.0,0,10,10120.0,10156.0,348.0,384.0,0.0,0.0,1.0,1.0
127,35,896,3598.0,False,182.0,True,10012.0,1,9,10157.0,10240.0,145.0,228.0,0.0,0.0,1.0,0.0
129,131,795,2.0,True,70.0,True,10240.0,0,0,10241.0,10243.0,1.0,3.0,0.0,0.0,1.0,1.0
119,71,1160,52.0,True,201.0,True,9301.0,0,8,10244.0,10296.0,943.0,995.0,0.0,0.0,1.0,1.0
126,42,895,189.0,True,211.0,False,9977.0,0,7,10297.0,10297.0,320.0,320.0,0.0,0.0,0.0,0.0
121,153,933,129.0,True,224.0,True,9578.0,0,6,10298.0,10427.0,720.0,849.0,0.0,0.0,1.0,1.0
131,103,726,1.0,True,19.0,True,10418.0,0,8,10428.0,10429.0,10.0,11.0,0.0,0.0,1.0,1.0
132,5,617,157.0,True,25.0,True,10423.0,0,7,10430.0,10587.0,7.0,164.0,0.0,0.0,1.0,1.0
