,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,Stopped,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
0,1,1167,139.0,True,187.0,True,1.0,0,0,1.0,140.0,0.0,139.0,1.0,0.0,1.0,1.0
1,143,1076,128.0,True,2787.0,False,144.0,0,0,144.0,144.0,0.0,1.0,4.0,0.0,0.0,0.0
2,101,1132,3598.0,False,1578.0,False,245.0,0,0,245.0,245.0,0.0,1.0,101.0,0.0,0.0,0.0
3,110,661,65.0,True,58.0,True,355.0,0,0,355.0,420.0,0.0,65.0,110.0,0.0,1.0,1.0
4,85,1040,4.0,True,18.0,True,440.0,0,0,440.0,444.0,0.0,4.0,20.0,0.0,1.0,1.0
5,10,697,124.0,True,232.0,True,450.0,0,0,450.0,574.0,0.0,124.0,6.0,0.0,1.0,1.0
7,119,1018,19.0,True,27.0,True,573.0,0,2,575.0,594.0,2.0,21.0,0.0,0.0,1.0,1.0
6,4,794,29.0,True,150.0,True,454.0,0,1,595.0,624.0,141.0,170.0,0.0,0.0,1.0,1.0
8,105,976,47.0,True,233.0,True,678.0,0,0,678.0,725.0,0.0,47.0,54.0,0.0,1.0,1.0
9,146,1124,20.0,True,43.0,True,824.0,0,0,824.0,844.0,0.0,20.0,99.0,0.0,1.0,1.0
10,64,784,1459.0,True,272.0,True,888.0,1,0,888.0,1155.0,0.0,267.0,44.0,0.0,1.0,0.0
11,131,1179,1.0,True,1.0,True,1019.0,0,0,1156.0,1157.0,137.0,138.0,0.0,0.0,1.0,1.0
12,136,1156,1.0,True,6.0,True,1155.0,0,1,1158.0,1159.0,3.0,4.0,0.0,0.0,1.0,1.0
13,66,827,2885.0,True,3119.0,True,1221.0,1,0,1221.0,1485.0,0.0,264.0,62.0,0.0,1.0,0.0
15,76,765,3.0,True,4.0,True,1360.0,0,0,1486.0,1489.0,126.0,129.0,0.0,0.0,1.0,1.0
16,125,1005,3598.0,False,110.0,True,1485.0,1,2,1490.0,1666.0,5.0,181.0,0.0,0.0,1.0,0.0
17,44,710,10.0,True,108.0,True,1529.0,0,0,1667.0,1677.0,138.0,148.0,0.0,0.0,1.0,1.0
18,137,937,2286.0,True,494.0,True,1666.0,1,2,1678.0,1833.0,12.0,167.0,0.0,0.0,1.0,0.0
20,88,1183,1.0,True,1.0,True,1788.0,0,0,1834.0,1835.0,46.0,47.0,0.0,0.0,1.0,1.0
21,45,899,455.0,True,316.0,True,1833.0,0,3,1836.0,2291.0,3.0,458.0,0.0,0.0,1.0,1.0
25,85,985,1.0,True,1.0,True,2075.0,0,11,2292.0,2293.0,217.0,218.0,0.0,0.0,1.0,1.0
30,14,1055,1.0,True,1.0,True,2245.0,0,10,2294.0,2295.0,49.0,50.0,0.0,0.0,1.0,1.0
22,4,1193,22.0,True,23.0,True,1837.0,0,9,2296.0,2318.0,459.0,481.0,0.0,0.0,1.0,1.0
29,81,976,11.0,True,31.0,True,2231.0,0,9,2319.0,2330.0,88.0,99.0,0.0,0.0,1.0,1.0
31,64,1041,5.0,True,31.0,True,2309.0,0,8,2331.0,2336.0,22.0,27.0,0.0,0.0,1.0,1.0
27,59,624,42.0,True,42.0,True,2144.0,0,7,2337.0,2379.0,193.0,235.0,0.0,0.0,1.0,1.0
28,6,763,59.0,True,144.0,True,2150.0,0,7,2380.0,2439.0,230.0,289.0,0.0,0.0,1.0,1.0
32,58,988,399.0,True,244.0,True,2367.0,0,6,2440.0,2839.0,73.0,472.0,0.0,0.0,1.0,1.0
34,86,634,276.0,True,173.0,True,2552.0,0,9,2840.0,3116.0,288.0,564.0,0.0,0.0,1.0,1.0
37,149,778,1.0,True,1.0,True,2932.0,0,12,3117.0,3118.0,185.0,186.0,0.0,0.0,1.0,1.0
38,115,1110,101.0,True,29.0,True,3047.0,0,12,3119.0,3220.0,72.0,173.0,0.0,0.0,1.0,1.0
40,6,706,2.0,True,32.0,True,3082.0,0,12,3221.0,3223.0,139.0,141.0,0.0,0.0,1.0,1.0
39,29,855,53.0,True,101.0,True,3076.0,0,11,3224.0,3277.0,148.0,201.0,0.0,0.0,1.0,1.0
33,99,1005,399.0,True,244.0,True,2466.0,0,12,3278.0,3677.0,812.0,1211.0,0.0,0.0,1.0,1.0
48,28,1004,3.0,True,1.0,True,3659.0,0,16,3678.0,3681.0,19.0,22.0,0.0,0.0,1.0,1.0
45,110,794,2.0,True,2.0,True,3369.0,0,15,3682.0,3684.0,313.0,315.0,0.0,0.0,1.0,1.0
46,153,1113,64.0,True,54.0,True,3522.0,0,14,3685.0,3749.0,163.0,227.0,0.0,0.0,1.0,1.0
43,109,965,162.0,True,270.0,True,3240.0,0,13,3750.0,3912.0,510.0,672.0,0.0,0.0,1.0,1.0
50,129,1002,15.0,True,14.0,True,3801.0,0,15,3913.0,3928.0,112.0,127.0,0.0,0.0,1.0,1.0
52,35,707,844.0,True,22.0,True,3882.0,1,14,3929.0,4011.0,47.0,129.0,0.0,0.0,1.0,0.0
51,46,777,2.0,True,47.0,True,3847.0,0,0,4012.0,4014.0,165.0,167.0,0.0,0.0,1.0,1.0
53,129,1047,429.0,True,158.0,True,4011.0,1,13,4015.0,4108.0,4.0,97.0,0.0,0.0,1.0,0.0
54,97,805,174.0,True,192.0,True,4108.0,1,0,4109.0,4173.0,1.0,65.0,0.0,0.0,1.0,0.0
42,13,615,3598.0,False,416.0,False,3131.0,0,0,4174.0,4174.0,1043.0,1043.0,0.0,0.0,0.0,0.0
44,19,825,228.0,True,692.0,True,3259.0,0,0,4175.0,4175.0,916.0,916.0,0.0,0.0,0.0,0.0
36,126,677,3598.0,False,1031.0,False,2783.0,0,0,4176.0,4176.0,1393.0,1393.0,0.0,0.0,0.0,0.0
23,45,1150,3598.0,False,1043.0,True,1882.0,0,0,4177.0,4177.0,2295.0,2295.0,0.0,0.0,0.0,0.0
41,36,620,3598.0,False,1112.0,True,3118.0,0,0,4178.0,4178.0,1060.0,1060.0,0.0,0.0,0.0,0.0
49,13,742,2878.0,True,1295.0,True,3672.0,1,0,4179.0,4270.0,507.0,598.0,0.0,0.0,1.0,0.0
56,97,1082,1.0,True,1.0,True,4270.0,0,0,4271.0,4272.0,1.0,2.0,0.0,0.0,1.0,1.0
24,108,920,10.0,True,1500.0,False,1990.0,0,7,4273.0,4273.0,2283.0,2283.0,0.0,0.0,0.0,0.0
47,109,606,3598.0,False,1626.0,True,3631.0,0,6,4274.0,4274.0,643.0,643.0,0.0,0.0,0.0,0.0
55,65,869,3598.0,False,1711.0,False,4173.0,0,5,4275.0,4275.0,102.0,102.0,0.0,0.0,0.0,0.0
