,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,Stopped,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
0,1,1167,139.0,True,139.0,True,1.0,0,0,1.0,140.0,0.0,139.0,1.0,0.0,1.0,1.0
1,143,1076,128.0,True,128.0,True,144.0,0,0,144.0,272.0,0.0,128.0,4.0,0.0,1.0,1.0
2,101,1132,3598.0,False,3598.0,False,245.0,1,1,273.0,440.0,28.0,195.0,0.0,0.0,1.0,0.0
4,85,1040,4.0,True,4.0,True,440.0,0,0,441.0,445.0,1.0,5.0,0.0,0.0,1.0,1.0
3,110,661,65.0,True,65.0,True,355.0,0,1,446.0,511.0,91.0,156.0,0.0,0.0,1.0,1.0
6,4,794,29.0,True,29.0,True,454.0,0,2,512.0,541.0,58.0,87.0,0.0,0.0,1.0,1.0
5,10,697,124.0,True,124.0,True,450.0,0,1,542.0,666.0,92.0,216.0,0.0,0.0,1.0,1.0
7,119,1018,19.0,True,19.0,True,573.0,0,1,667.0,686.0,94.0,113.0,0.0,0.0,1.0,1.0
8,105,976,47.0,True,47.0,True,678.0,0,1,687.0,734.0,9.0,56.0,0.0,0.0,1.0,1.0
9,146,1124,20.0,True,20.0,True,824.0,0,0,824.0,844.0,0.0,20.0,90.0,0.0,1.0,1.0
10,64,784,1459.0,True,1459.0,True,888.0,1,0,888.0,1155.0,0.0,267.0,44.0,0.0,1.0,0.0
11,131,1179,1.0,True,1.0,True,1019.0,0,0,1156.0,1157.0,137.0,138.0,0.0,0.0,1.0,1.0
12,136,1156,1.0,True,1.0,True,1155.0,0,1,1158.0,1159.0,3.0,4.0,0.0,0.0,1.0,1.0
13,66,827,2885.0,True,2885.0,True,1221.0,1,0,1221.0,1529.0,0.0,308.0,62.0,0.0,1.0,0.0
15,76,765,3.0,True,3.0,True,1360.0,0,0,1530.0,1533.0,170.0,173.0,0.0,0.0,1.0,1.0
17,44,710,10.0,True,10.0,True,1529.0,0,3,1534.0,1544.0,5.0,15.0,0.0,0.0,1.0,1.0
16,125,1005,3598.0,False,3598.0,False,1485.0,1,2,1545.0,1788.0,60.0,303.0,0.0,0.0,1.0,0.0
20,88,1183,1.0,True,1.0,True,1788.0,0,0,1789.0,1790.0,1.0,2.0,0.0,0.0,1.0,1.0
18,137,937,2286.0,True,2286.0,True,1666.0,1,3,1791.0,1837.0,125.0,171.0,0.0,0.0,1.0,0.0
22,4,1193,22.0,True,22.0,True,1837.0,0,0,1838.0,1860.0,1.0,23.0,0.0,0.0,1.0,1.0
21,45,899,455.0,True,455.0,True,1833.0,0,3,1861.0,2316.0,28.0,483.0,0.0,0.0,1.0,1.0
25,85,985,1.0,True,1.0,True,2075.0,0,11,2317.0,2318.0,242.0,243.0,0.0,0.0,1.0,1.0
30,14,1055,1.0,True,1.0,True,2245.0,0,10,2319.0,2320.0,74.0,75.0,0.0,0.0,1.0,1.0
31,64,1041,5.0,True,5.0,True,2309.0,0,9,2321.0,2326.0,12.0,17.0,0.0,0.0,1.0,1.0
24,108,920,10.0,True,10.0,True,1990.0,0,8,2327.0,2337.0,337.0,347.0,0.0,0.0,1.0,1.0
29,81,976,11.0,True,11.0,True,2231.0,0,7,2338.0,2349.0,107.0,118.0,0.0,0.0,1.0,1.0
27,59,624,42.0,True,42.0,True,2144.0,0,6,2350.0,2392.0,206.0,248.0,0.0,0.0,1.0,1.0
28,6,763,59.0,True,59.0,True,2150.0,0,6,2393.0,2452.0,243.0,302.0,0.0,0.0,1.0,1.0
32,58,988,399.0,True,399.0,True,2367.0,0,5,2453.0,2852.0,86.0,485.0,0.0,0.0,1.0,1.0
35,105,971,4.0,True,4.0,True,2657.0,0,8,2853.0,2857.0,196.0,200.0,0.0,0.0,1.0,1.0
34,86,634,276.0,True,276.0,True,2552.0,0,7,2858.0,3134.0,306.0,582.0,0.0,0.0,1.0,1.0
37,149,778,1.0,True,1.0,True,2932.0,0,12,3135.0,3136.0,203.0,204.0,0.0,0.0,1.0,1.0
40,6,706,2.0,True,2.0,True,3082.0,0,11,3137.0,3139.0,55.0,57.0,0.0,0.0,1.0,1.0
39,29,855,53.0,True,53.0,True,3076.0,0,10,3140.0,3193.0,64.0,117.0,0.0,0.0,1.0,1.0
38,115,1110,101.0,True,101.0,True,3047.0,0,9,3194.0,3295.0,147.0,248.0,0.0,0.0,1.0,1.0
43,109,965,162.0,True,162.0,True,3240.0,0,10,3296.0,3458.0,56.0,218.0,0.0,0.0,1.0,1.0
45,110,794,2.0,True,2.0,True,3369.0,0,10,3459.0,3461.0,90.0,92.0,0.0,0.0,1.0,1.0
44,19,825,228.0,True,228.0,True,3259.0,0,9,3462.0,3690.0,203.0,431.0,0.0,0.0,1.0,1.0
48,28,1004,3.0,True,3.0,True,3659.0,0,12,3691.0,3694.0,32.0,35.0,0.0,0.0,1.0,1.0
46,153,1113,64.0,True,64.0,True,3522.0,0,11,3695.0,3759.0,173.0,237.0,0.0,0.0,1.0,1.0
33,99,1005,399.0,True,399.0,True,2466.0,0,10,3760.0,3760.0,1294.0,1294.0,0.0,0.0,0.0,0.0
49,13,742,2878.0,True,2878.0,True,3672.0,1,9,3761.0,3801.0,89.0,129.0,0.0,0.0,1.0,0.0
50,129,1002,15.0,True,15.0,True,3801.0,0,0,3802.0,3817.0,1.0,16.0,0.0,0.0,1.0,1.0
42,13,615,3598.0,False,3598.0,False,3131.0,0,8,3818.0,3818.0,687.0,687.0,0.0,0.0,0.0,0.0
36,126,677,3598.0,False,3598.0,False,2783.0,0,7,3819.0,3819.0,1036.0,1036.0,0.0,0.0,0.0,0.0
41,36,620,3598.0,False,3598.0,False,3118.0,0,6,3820.0,3820.0,702.0,702.0,0.0,0.0,0.0,0.0
26,10,761,3598.0,False,3598.0,False,2085.0,0,5,3821.0,3821.0,1736.0,1736.0,0.0,0.0,0.0,0.0
14,63,767,3598.0,False,3598.0,False,1284.0,0,4,3822.0,3822.0,2538.0,2538.0,0.0,0.0,0.0,0.0
23,45,1150,3598.0,False,3598.0,False,1882.0,0,3,3823.0,3823.0,1941.0,1941.0,0.0,0.0,0.0,0.0
19,34,1086,3598.0,False,3598.0,False,1700.0,0,2,3824.0,3824.0,2124.0,2124.0,0.0,0.0,0.0,0.0
47,109,606,3598.0,False,3598.0,False,3631.0,1,1,3825.0,3882.0,194.0,251.0,0.0,0.0,1.0,0.0
51,46,777,2.0,True,2.0,True,3847.0,0,0,3883.0,3885.0,36.0,38.0,0.0,0.0,1.0,1.0
52,35,707,844.0,True,844.0,True,3882.0,0,1,3886.0,4730.0,4.0,848.0,0.0,0.0,1.0,1.0
56,97,1082,1.0,True,1.0,True,4270.0,0,10,4731.0,4732.0,461.0,462.0,0.0,0.0,1.0,1.0
60,86,839,1.0,True,1.0,True,4542.0,0,9,4733.0,4734.0,191.0,192.0,0.0,0.0,1.0,1.0
59,27,662,1.0,True,1.0,True,4456.0,0,8,4735.0,4736.0,279.0,280.0,0.0,0.0,1.0,1.0
58,122,802,3.0,True,3.0,True,4429.0,0,7,4737.0,4740.0,308.0,311.0,0.0,0.0,1.0,1.0
