ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
3.0,3.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
2.0,2.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
2.0,2.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
2.0,2.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
1.0,1.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
1.0,1.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
1.0,1.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
2.0,2.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
3.0,3.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
3.0,3.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
10.0,13.0,-0.3
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
9.0,11.351862145636465,-0.2613180161818295
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
9.0,11.62451361867694,-0.29161262429743773
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
8.0,10.367900446713367,-0.2959875558391709
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
7.0,9.0,-0.2857142857142857
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
6.0,7.493885491939967,-0.24898091532332778
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
5.0,6.0,-0.2
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
