PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,822,1310,1311,488,1,1
1,914,1314,1315,400,1,1
1,1162,1312,1313,150,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1162,1312,1313,150,1,1
1,914,1314,1315,400,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
7,3082,3275,3282,193,1,1
3312,3112,4779,8091,1667,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
82,4204,4248,4330,44,1,1
3598,3945,6261,9859,2316,1,1
3598,4070,5834,5834,1764,0,1
3598,3590,5681,5681,2091,0,1
3598,3627,6260,6260,2633,0,1
3598,3692,5264,5264,1572,0,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
3598,3692,5264,5264,1572,0,1
3598,3590,5681,5681,2091,0,1
3598,4070,5833,5833,1763,0,1
3598,3627,6261,6261,2634,0,1
3598,3945,6262,9860,2317,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
3598,3590,5681,5681,2091,0,1
3598,4070,5833,5833,1763,0,1
3598,3627,6260,6260,2633,0,1
3598,3945,6261,9859,2316,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
3598,4070,4333,7931,263,1,1
3598,3627,7933,7933,4306,0,1
3598,3945,7932,7932,3987,0,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
3598,3945,4633,8231,688,1,1
3598,3627,8232,8232,4605,0,1
75,4468,4557,4632,89,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
3598,3945,8936,8936,4991,0,1
190,4576,4633,4823,57,1,1
512,4611,4824,5336,213,1,1
3598,3627,5337,8935,1710,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
512,4611,6225,6737,1614,1,1
3598,3627,6738,6738,3111,0,1
1400,4684,4824,6224,140,1,1
3134,4690,7040,10174,2350,1,1
3598,3945,6937,6937,2992,0,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,4917,6225,6226,1308,1,1
512,4611,6537,7049,1926,1,1
1,5026,6235,6236,1209,1,1
1,5348,6233,6234,885,1,1
1,5432,6231,6232,799,1,1
1,5934,6229,6230,295,1,1
1,5778,6227,6228,449,1,1
16,5288,6237,6253,949,1,1
275,5445,6261,6536,816,1,1
3598,3627,6260,6260,2633,0,1
3598,3945,10650,10650,6705,0,1
3134,4690,10649,10649,5959,0,1
3598,5697,7050,10648,1353,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,5778,6522,6523,744,1,1
1,5934,6524,6525,590,1,1
1,5432,6526,6527,1094,1,1
1,5348,6528,6529,1180,1,1
1,5026,6520,6521,1494,1,1
16,5288,6503,6519,1215,1,1
3598,3627,6530,6530,2903,0,1
275,5445,6227,6502,782,1,1
512,4611,6531,7043,1920,1,1
3598,5697,7044,10642,1347,1,1
3134,4690,10643,10643,5953,0,1
3598,3945,10644,10644,6699,0,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
16,5288,6515,6531,1227,1,1
1,6471,6503,6504,32,1,1
1,5026,6513,6514,1487,1,1
1,5778,6511,6512,733,1,1
1,5934,6509,6510,575,1,1
1,5432,6507,6508,1075,1,1
1,5348,6505,6506,1157,1,1
512,4611,6532,7044,1921,1,1
3598,5697,7661,7661,1964,0,1
3598,6229,11263,11263,5034,0,1
3598,6465,7662,11260,1197,1,1
3134,4690,11262,11262,6572,0,1
3598,3945,11261,11261,7316,0,1
