PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,822,1310,1311,488,1,1
1,914,1312,1313,398,1,1
5,1162,1314,1319,152,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,914,1312,1313,398,1,1
5,1162,1314,1319,152,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
27,3082,3275,3302,193,1,1
180,3112,3303,3483,191,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1518,3627,3634,5152,7,1,1
580,3590,5153,5733,1563,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
28,4576,4633,4661,57,1,1
316,4611,4662,4978,51,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
316,4611,5097,5413,486,1,1
272,4690,4824,5096,134,1,1
904,4684,5414,6318,730,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
904,4684,5646,6550,962,1,1
1,4917,5431,5432,514,1,1
1,5348,5435,5436,87,1,1
1,5026,5433,5434,407,1,1
208,5288,5437,5645,149,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,5026,5433,5434,407,1,1
1,5348,5437,5438,89,1,1
208,5288,5439,5647,151,1,1
904,4684,5648,6552,964,1,1
1,5432,5435,5436,3,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,5432,5435,5436,3,1,1
1,5348,5437,5438,89,1,1
208,5288,5439,5647,151,1,1
904,4684,5648,6552,964,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,5348,5437,5438,89,1,1
208,5288,5439,5647,151,1,1
904,4684,5648,6552,964,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
208,5288,5439,5647,151,1,1
904,4684,5648,6552,964,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
904,4684,5456,6360,772,1,1
73,5445,6361,6434,916,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
73,5445,6863,6936,1418,1,1
309,5697,7370,7679,1673,1,1
1,6471,6857,6858,386,1,1
415,6623,7756,7756,1133,0,1
178,6465,6937,7115,472,1,1
253,6546,7116,7369,570,1,1
1,5778,6861,6862,1083,1,1
1,5934,6859,6860,925,1,1
1837,6229,7798,9635,1569,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,5934,6859,6860,925,1,1
1,5778,6861,6862,1083,1,1
73,5445,6863,6936,1418,1,1
178,6465,6937,7115,472,1,1
253,6546,7116,7369,570,1,1
309,5697,7370,7679,1673,1,1
415,6623,7756,7756,1133,0,1
1837,6229,7798,9635,1569,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,5778,6861,6862,1083,1,1
73,5445,6863,6936,1418,1,1
178,6465,6937,7115,472,1,1
253,6546,7116,7369,570,1,1
309,5697,7370,7679,1673,1,1
415,6623,7756,7756,1133,0,1
1837,6229,7798,9635,1569,1,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
73,5445,6863,6936,1418,1,1
178,6465,6937,7115,472,1,1
253,6546,7116,7369,570,1,1
309,5697,7370,7679,1673,1,1
415,6623,7756,7756,1133,0,1
1837,6229,7798,9635,1569,1,1
