,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime
0,1,115,1.0,True,1.0,True,1.0
1,127,231,1.0,True,1.0,True,128.0
2,102,220,1.0,True,1.0,True,230.0
3,35,233,1.0,True,1.0,True,265.0
4,30,159,1.0,True,1.0,True,295.0
5,2,230,1.0,True,1.0,True,297.0
6,119,278,593.0,True,63.0,True,416.0
7,114,166,1.0,True,1.0,True,530.0
8,60,214,1.0,True,1.0,True,590.0
9,106,141,1.0,True,4.0,True,696.0
10,92,223,1.0,True,1.0,True,788.0
11,119,58,1.0,True,1.0,True,907.0
12,115,206,1.0,True,6.0,True,1022.0
13,12,42,1.0,True,1.0,True,1034.0
14,78,154,1.0,True,1.0,True,1112.0
15,82,287,1.0,True,1.0,True,1194.0
16,8,135,1.0,True,1.0,True,1202.0
17,44,192,1.0,True,1.0,True,1246.0
18,24,128,1.0,True,1.0,True,1270.0
19,30,151,1.0,True,1.0,True,1300.0
20,32,89,216.0,True,426.0,True,1332.0
21,98,258,7.0,True,11.0,True,1430.0
22,92,43,3312.0,True,414.0,False,1522.0
23,88,237,42.0,True,48.0,True,1610.0
24,37,171,3598.0,False,1375.0,False,1647.0
25,65,176,3598.0,False,1525.0,False,1712.0
26,125,285,3598.0,False,1833.0,False,1837.0
27,120,229,3598.0,False,253.0,False,1957.0
28,76,13,3598.0,False,657.0,False,2033.0
29,116,49,82.0,True,99.0,True,2149.0
30,82,199,87.0,True,683.0,False,2231.0
31,108,83,75.0,True,190.0,False,2339.0
32,35,148,190.0,True,44.0,True,2374.0
33,54,238,512.0,True,458.0,False,2428.0
34,116,220,1400.0,True,919.0,False,2544.0
35,73,219,3134.0,True,445.0,True,2617.0
36,6,186,1.0,True,1.0,True,2623.0
37,109,63,1.0,True,1.0,True,2732.0
38,6,69,16.0,True,231.0,True,2738.0
39,60,243,1.0,True,1.0,True,2798.0
40,84,58,1.0,True,1.0,True,2882.0
41,13,186,275.0,True,53.0,True,2895.0
42,81,30,3598.0,False,148.0,True,2976.0
43,39,214,1.0,True,1.0,True,3015.0
44,89,4,1.0,True,1.0,True,3104.0
45,6,91,3598.0,False,1833.0,False,3110.0
46,75,24,3598.0,False,106.0,True,3185.0
47,77,233,1.0,True,1.0,True,3262.0
