ObjectiveValue,BestRelaxation,Gap
3595.0,3595.0,0.0
ObjectiveValue,BestRelaxation,Gap
3172.0,3172.0,0.0
ObjectiveValue,BestRelaxation,Gap
-233.0,-233.0,-0.0
ObjectiveValue,BestRelaxation,Gap
3165.0,3165.0,0.0
ObjectiveValue,BestRelaxation,Gap
3574.0,3574.0,0.0
ObjectiveValue,BestRelaxation,Gap
3595.0,3595.0,0.0
ObjectiveValue,BestRelaxation,Gap
3595.0,3595.0,0.0
ObjectiveValue,BestRelaxation,Gap
3552.0,3552.0,0.0
ObjectiveValue,BestRelaxation,Gap
3596.0,3596.0,0.0
ObjectiveValue,BestRelaxation,Gap
3432.0,3432.0,0.0
ObjectiveValue,BestRelaxation,Gap
3484.0,3484.0,0.0
ObjectiveValue,BestRelaxation,Gap
7064.0,7064.0,0.0
ObjectiveValue,BestRelaxation,Gap
3544.0,3544.0,0.0
ObjectiveValue,BestRelaxation,Gap
3530.0,3530.0,0.0
ObjectiveValue,BestRelaxation,Gap
-72.0,-72.0,-0.0
ObjectiveValue,BestRelaxation,Gap
6942.0,6942.0,0.0
ObjectiveValue,BestRelaxation,Gap
3561.0,3561.0,0.0
ObjectiveValue,BestRelaxation,Gap
3594.0,3594.0,0.0
ObjectiveValue,BestRelaxation,Gap
3558.0,3558.0,0.0
ObjectiveValue,BestRelaxation,Gap
7115.0,7115.0,0.0
ObjectiveValue,BestRelaxation,Gap
3578.0,3578.0,0.0
ObjectiveValue,BestRelaxation,Gap
3496.0,3496.0,0.0
ObjectiveValue,BestRelaxation,Gap
3494.0,3494.0,0.0
ObjectiveValue,BestRelaxation,Gap
3570.0,3570.0,0.0
ObjectiveValue,BestRelaxation,Gap
6877.0,6877.0,0.0
ObjectiveValue,BestRelaxation,Gap
3398.0,3398.0,0.0
ObjectiveValue,BestRelaxation,Gap
3595.0,3595.0,0.0
ObjectiveValue,BestRelaxation,Gap
3485.0,3485.0,0.0
ObjectiveValue,BestRelaxation,Gap
-169.0,-169.0,-0.0
ObjectiveValue,BestRelaxation,Gap
-299.0,-299.0,-0.0
ObjectiveValue,BestRelaxation,Gap
-95.0,-95.0,-0.0
ObjectiveValue,BestRelaxation,Gap
-302.0,-302.0,-0.0
ObjectiveValue,BestRelaxation,Gap
-213.0,-213.0,-0.0
ObjectiveValue,BestRelaxation,Gap
-263.0,-263.0,-0.0
ObjectiveValue,BestRelaxation,Gap
3588.0,3588.0,0.0
ObjectiveValue,BestRelaxation,Gap
3571.0,3571.0,0.0
ObjectiveValue,BestRelaxation,Gap
3579.0,3579.0,0.0
ObjectiveValue,BestRelaxation,Gap
-142.0,-142.0,-0.0
ObjectiveValue,BestRelaxation,Gap
-136.0,-136.0,-0.0
ObjectiveValue,BestRelaxation,Gap
3592.0,3592.0,0.0
ObjectiveValue,BestRelaxation,Gap
-169.0,-169.0,-0.0
ObjectiveValue,BestRelaxation,Gap
3409.0,3409.0,0.0
ObjectiveValue,BestRelaxation,Gap
3548.0,3548.0,0.0
ObjectiveValue,BestRelaxation,Gap
3410.0,3410.0,0.0
ObjectiveValue,BestRelaxation,Gap
3560.0,3560.0,0.0
ObjectiveValue,BestRelaxation,Gap
-277.0,-277.0,-0.0
ObjectiveValue,BestRelaxation,Gap
-270.0,-270.0,-0.0
ObjectiveValue,BestRelaxation,Gap
3529.0,3529.0,0.0
ObjectiveValue,BestRelaxation,Gap
6846.0,6846.0,0.0
ObjectiveValue,BestRelaxation,Gap
3481.0,3481.0,0.0
ObjectiveValue,BestRelaxation,Gap
2860.0,2860.0,0.0
ObjectiveValue,BestRelaxation,Gap
-219.0,-219.0,-0.0
ObjectiveValue,BestRelaxation,Gap
3416.0,3416.0,0.0
ObjectiveValue,BestRelaxation,Gap
3595.0,3595.0,0.0
ObjectiveValue,BestRelaxation,Gap
-165.0,-165.0,-0.0
ObjectiveValue,BestRelaxation,Gap
-144.0,-144.0,-0.0
ObjectiveValue,BestRelaxation,Gap
3560.0,3560.0,0.0
ObjectiveValue,BestRelaxation,Gap
-295.0,-295.0,-0.0
