ObjectiveValue,BestRelaxation,Gap
3595.0,3595.0,0.0
ObjectiveValue,BestRelaxation,Gap
6832.0,6832.0,0.0
ObjectiveValue,BestRelaxation,Gap
3427.0,3427.0,0.0
ObjectiveValue,BestRelaxation,Gap
3275.0,3275.0,0.0
ObjectiveValue,BestRelaxation,Gap
3514.0,3514.0,0.0
ObjectiveValue,BestRelaxation,Gap
-199.0,-199.0,-0.0
ObjectiveValue,BestRelaxation,Gap
3574.0,3574.0,0.0
ObjectiveValue,BestRelaxation,Gap
3596.0,3596.0,0.0
ObjectiveValue,BestRelaxation,Gap
3432.0,3432.0,0.0
ObjectiveValue,BestRelaxation,Gap
3484.0,3484.0,0.0
ObjectiveValue,BestRelaxation,Gap
7064.0,7064.0,0.0
ObjectiveValue,BestRelaxation,Gap
3544.0,3544.0,0.0
ObjectiveValue,BestRelaxation,Gap
3593.0,3593.0,0.0
ObjectiveValue,BestRelaxation,Gap
-72.0,-72.0,-0.0
ObjectiveValue,BestRelaxation,Gap
3461.0,3461.0,0.0
ObjectiveValue,BestRelaxation,Gap
3594.0,3594.0,0.0
ObjectiveValue,BestRelaxation,Gap
6932.0,6932.0,0.0
ObjectiveValue,BestRelaxation,Gap
3557.0,3557.0,0.0
ObjectiveValue,BestRelaxation,Gap
3594.0,3594.0,0.0
ObjectiveValue,BestRelaxation,Gap
3558.0,3558.0,0.0
ObjectiveValue,BestRelaxation,Gap
7143.0,7143.0,0.0
ObjectiveValue,BestRelaxation,Gap
3578.0,3578.0,0.0
ObjectiveValue,BestRelaxation,Gap
3496.0,3496.0,0.0
ObjectiveValue,BestRelaxation,Gap
3494.0,3494.0,0.0
ObjectiveValue,BestRelaxation,Gap
3570.0,3570.0,0.0
ObjectiveValue,BestRelaxation,Gap
6853.0,6853.0,0.0
ObjectiveValue,BestRelaxation,Gap
3386.0,3386.0,0.0
ObjectiveValue,BestRelaxation,Gap
3595.0,3595.0,0.0
ObjectiveValue,BestRelaxation,Gap
-169.0,-169.0,-0.0
ObjectiveValue,BestRelaxation,Gap
-299.0,-299.0,-0.0
ObjectiveValue,BestRelaxation,Gap
-302.0,-302.0,-0.0
ObjectiveValue,BestRelaxation,Gap
-213.0,-213.0,-0.0
ObjectiveValue,BestRelaxation,Gap
-263.0,-263.0,-0.0
ObjectiveValue,BestRelaxation,Gap
-265.0,-265.0,-0.0
ObjectiveValue,BestRelaxation,Gap
-285.0,-285.0,-0.0
ObjectiveValue,BestRelaxation,Gap
3571.0,3571.0,0.0
ObjectiveValue,BestRelaxation,Gap
3579.0,3579.0,0.0
ObjectiveValue,BestRelaxation,Gap
-142.0,-142.0,-0.0
ObjectiveValue,BestRelaxation,Gap
3582.0,3582.0,0.0
ObjectiveValue,BestRelaxation,Gap
3553.0,3553.0,0.0
ObjectiveValue,BestRelaxation,Gap
3592.0,3592.0,0.0
ObjectiveValue,BestRelaxation,Gap
-161.0,-161.0,-0.0
ObjectiveValue,BestRelaxation,Gap
3588.0,3588.0,0.0
ObjectiveValue,BestRelaxation,Gap
6827.0,6827.0,0.0
ObjectiveValue,BestRelaxation,Gap
3209.0000000000073,3209.0,2.267359804980807E-15
ObjectiveValue,BestRelaxation,Gap
3276.0,3276.0,0.0
ObjectiveValue,BestRelaxation,Gap
3356.0,3356.0,0.0
ObjectiveValue,BestRelaxation,Gap
3589.0,3589.0,0.0
ObjectiveValue,BestRelaxation,Gap
-277.0,-277.0,-0.0
ObjectiveValue,BestRelaxation,Gap
-270.0,-270.0,-0.0
ObjectiveValue,BestRelaxation,Gap
3457.0,3457.0,0.0
ObjectiveValue,BestRelaxation,Gap
-80.0,-80.0,-0.0
ObjectiveValue,BestRelaxation,Gap
6964.0,6964.0,0.0
ObjectiveValue,BestRelaxation,Gap
3482.0,3482.0,0.0
ObjectiveValue,BestRelaxation,Gap
3089.0,3089.0,0.0
ObjectiveValue,BestRelaxation,Gap
-219.0,-219.0,-0.0
ObjectiveValue,BestRelaxation,Gap
3589.0,3589.0,0.0
ObjectiveValue,BestRelaxation,Gap
