ObjectiveValue,BestRelaxation,Gap
3595.0,3595.0,0.0
ObjectiveValue,BestRelaxation,Gap
6832.0,6832.0,0.0
ObjectiveValue,BestRelaxation,Gap
3427.0,3427.0,0.0
ObjectiveValue,BestRelaxation,Gap
3275.0,3275.0,0.0
ObjectiveValue,BestRelaxation,Gap
3514.0,3514.0,0.0
ObjectiveValue,BestRelaxation,Gap
3574.0,3574.0,0.0
ObjectiveValue,BestRelaxation,Gap
3595.0,3595.0,0.0
ObjectiveValue,BestRelaxation,Gap
3595.0,3595.0,0.0
ObjectiveValue,BestRelaxation,Gap
3593.0,3593.0,0.0
ObjectiveValue,BestRelaxation,Gap
3574.0,3574.0,0.0
ObjectiveValue,BestRelaxation,Gap
3511.0,3511.0,0.0
ObjectiveValue,BestRelaxation,Gap
3556.0,3556.0,0.0
ObjectiveValue,BestRelaxation,Gap
3596.0,3596.0,0.0
ObjectiveValue,BestRelaxation,Gap
3432.0,3432.0,0.0
ObjectiveValue,BestRelaxation,Gap
3484.0,3484.0,0.0
ObjectiveValue,BestRelaxation,Gap
7064.0,7064.0,0.0
ObjectiveValue,BestRelaxation,Gap
3544.0,3544.0,0.0
ObjectiveValue,BestRelaxation,Gap
3593.0,3593.0,0.0
ObjectiveValue,BestRelaxation,Gap
3545.0,3545.0,0.0
ObjectiveValue,BestRelaxation,Gap
3595.0,3595.0,0.0
ObjectiveValue,BestRelaxation,Gap
3461.0,3461.0,0.0
ObjectiveValue,BestRelaxation,Gap
3594.0,3594.0,0.0
ObjectiveValue,BestRelaxation,Gap
6932.0,6932.0,0.0
ObjectiveValue,BestRelaxation,Gap
3557.0,3557.0,0.0
ObjectiveValue,BestRelaxation,Gap
3594.0,3594.0,0.0
ObjectiveValue,BestRelaxation,Gap
3558.0,3558.0,0.0
ObjectiveValue,BestRelaxation,Gap
7143.0,7143.0,0.0
ObjectiveValue,BestRelaxation,Gap
3578.0,3578.0,0.0
ObjectiveValue,BestRelaxation,Gap
3496.0,3496.0,0.0
ObjectiveValue,BestRelaxation,Gap
3494.0,3494.0,0.0
ObjectiveValue,BestRelaxation,Gap
3570.0,3570.0,0.0
ObjectiveValue,BestRelaxation,Gap
6853.0,6853.0,0.0
ObjectiveValue,BestRelaxation,Gap
3386.0,3386.0,0.0
ObjectiveValue,BestRelaxation,Gap
3595.0,3595.0,0.0
ObjectiveValue,BestRelaxation,Gap
3365.0,3365.0,0.0
ObjectiveValue,BestRelaxation,Gap
3583.0,3583.0,0.0
ObjectiveValue,BestRelaxation,Gap
3550.0,3550.0,0.0
ObjectiveValue,BestRelaxation,Gap
6910.0,6910.0,0.0
ObjectiveValue,BestRelaxation,Gap
3318.0,3318.0,0.0
ObjectiveValue,BestRelaxation,Gap
3594.0,3594.0,0.0
ObjectiveValue,BestRelaxation,Gap
3504.0,3504.0,0.0
ObjectiveValue,BestRelaxation,Gap
3541.0,3541.0,0.0
ObjectiveValue,BestRelaxation,Gap
3404.0,3404.0,0.0
ObjectiveValue,BestRelaxation,Gap
3561.0,3561.0,0.0
ObjectiveValue,BestRelaxation,Gap
3579.0,3579.0,0.0
ObjectiveValue,BestRelaxation,Gap
3471.0,3471.0,0.0
ObjectiveValue,BestRelaxation,Gap
3542.0,3542.0,0.0
ObjectiveValue,BestRelaxation,Gap
3553.0,3553.0,0.0
ObjectiveValue,BestRelaxation,Gap
3587.0,3587.0,0.0
ObjectiveValue,BestRelaxation,Gap
3542.0,3542.0,0.0
ObjectiveValue,BestRelaxation,Gap
3592.0,3592.0,0.0
ObjectiveValue,BestRelaxation,Gap
3547.0,3547.0,0.0
ObjectiveValue,BestRelaxation,Gap
3554.0,3554.0,0.0
ObjectiveValue,BestRelaxation,Gap
3588.0,3588.0,0.0
ObjectiveValue,BestRelaxation,Gap
3359.0,3359.0,0.0
ObjectiveValue,BestRelaxation,Gap
3485.0,3485.0,0.0
ObjectiveValue,BestRelaxation,Gap
3590.0,3590.0,0.0
ObjectiveValue,BestRelaxation,Gap
3410.0,3410.0,0.0
ObjectiveValue,BestRelaxation,Gap
