,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime
0,1,328,1.0,True,1.0,True,1.0
1,127,473,1.0,True,1.0,True,128.0
2,102,115,1.0,True,1.0,True,230.0
3,35,388,1.0,True,1.0,True,265.0
4,30,231,1.0,True,1.0,True,295.0
5,2,220,1.0,True,1.0,True,297.0
6,119,233,593.0,True,56.0,True,416.0
7,114,159,1.0,True,1.0,True,530.0
8,60,230,1.0,True,1.0,True,590.0
9,106,278,1.0,True,5.0,False,696.0
10,92,304,1.0,True,1.0,True,788.0
11,119,166,1.0,True,1.0,True,907.0
12,115,214,1.0,True,5.0,True,1022.0
13,12,451,1.0,True,1.0,True,1034.0
14,78,370,1.0,True,1.0,True,1112.0
15,82,141,1.0,True,1.0,True,1194.0
16,8,223,1.0,True,1.0,True,1202.0
17,44,58,1.0,True,1.0,True,1246.0
18,24,206,1.0,True,1.0,True,1270.0
19,30,42,1.0,True,1.0,True,1300.0
20,32,154,216.0,True,415.0,True,1332.0
21,98,287,7.0,True,27.0,True,1430.0
22,92,135,3312.0,True,180.0,False,1522.0
23,88,380,42.0,True,107.0,True,1610.0
24,37,192,3598.0,False,580.0,False,1647.0
25,65,128,3598.0,False,1518.0,False,1712.0
26,125,151,3598.0,False,1630.0,False,1837.0
27,120,89,3598.0,False,94.0,False,1957.0
28,76,258,3598.0,False,407.0,True,2033.0
29,116,322,82.0,True,85.0,True,2149.0
30,82,43,87.0,True,614.0,False,2231.0
31,108,454,75.0,True,393.0,False,2339.0
32,35,237,190.0,True,28.0,True,2374.0
33,54,446,512.0,True,316.0,False,2428.0
34,116,171,1400.0,True,904.0,False,2544.0
35,73,414,3134.0,True,272.0,True,2617.0
36,6,176,1.0,True,1.0,True,2623.0
37,109,372,1.0,True,1.0,True,2732.0
38,6,285,16.0,True,208.0,True,2738.0
39,60,415,1.0,True,1.0,True,2798.0
40,84,229,1.0,True,1.0,True,2882.0
41,13,434,275.0,True,73.0,True,2895.0
42,81,359,3598.0,False,309.0,True,2976.0
43,39,424,1.0,True,1.0,True,3015.0
44,89,13,1.0,True,1.0,True,3104.0
45,6,49,3598.0,False,1837.0,False,3110.0
46,75,356,3598.0,False,178.0,True,3185.0
47,77,468,1.0,True,1.0,True,3262.0
48,23,343,49.0,True,253.0,True,3285.0
49,13,498,3598.0,False,415.0,True,3298.0
50,63,199,1.0,True,1.0,True,3361.0
51,42,83,1.0,True,1.0,True,3403.0
52,83,148,1.0,True,1.0,True,3486.0
53,47,480,1.0,True,9.0,True,3533.0
54,59,379,1.0,True,8.0,True,3592.0
55,24,388,1.0,True,1.0,True,3616.0
56,8,307,286.0,True,33.0,True,3624.0
57,82,330,1.0,True,3.0,True,3706.0
58,64,423,1.0,True,1.0,True,3770.0
59,124,238,1.0,True,1.0,True,3894.0
60,1,220,1.0,True,1.0,True,3895.0
61,33,219,1.0,True,1.0,True,3928.0
62,4,495,3598.0,False,2114.0,False,3932.0
63,7,186,3.0,True,43.0,False,3939.0
64,125,63,7.0,True,7.0,True,4064.0
65,38,69,42.0,True,17.0,True,4102.0
66,44,243,6.0,True,51.0,True,4146.0
67,63,58,11.0,True,167.0,True,4209.0
68,22,409,1507.0,True,379.0,True,4231.0
69,66,372,22.0,True,53.0,True,4297.0
70,6,451,37.0,True,33.0,True,4303.0
71,115,359,5.0,True,95.0,True,4418.0
72,122,307,3598.0,False,452.0,False,4540.0
73,122,355,1.0,True,1.0,True,4662.0
74,70,322,3.0,True,62.0,True,4732.0
75,46,186,14.0,True,78.0,True,4778.0
76,117,30,36.0,True,78.0,True,4895.0
77,61,214,62.0,True,106.0,True,4956.0
78,119,385,2.0,True,21.0,True,5075.0
79,38,419,5.0,True,12.0,True,5113.0
80,109,325,4.0,True,25.0,True,5222.0
81,126,448,10.0,True,21.0,True,5348.0
82,103,4,3598.0,False,836.0,False,5451.0
83,66,377,85.0,True,101.0,True,5517.0
84,47,499,154.0,True,158.0,True,5564.0
85,78,91,1.0,True,10.0,True,5642.0
86,9,393,3.0,True,30.0,True,5651.0
87,112,24,32.0,True,140.0,True,5763.0
88,91,233,3.0,True,30.0,True,5854.0
89,33,357,1726.0,True,994.0,True,5887.0
90,115,118,1.0,True,1.0,True,6002.0
91,97,80,1.0,True,1.0,True,6099.0
92,87,238,1.0,True,1.0,True,6186.0
93,70,386,1.0,True,1.0,True,6256.0
94,80,300,1.0,True,1.0,True,6336.0
95,99,431,1.0,True,2.0,True,6435.0
