,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,MIPAttended,Stopped,MIPnotScheduled,MIPRunTime,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
0,1,576,1.0,True,1.0,True,1.0,-1,0,0,0.0,0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0
1,6,727,1.0,True,1.0,True,7.0,-1,0,0,0.0,0,7.0,8.0,0.0,1.0,7.0,1.0,1.0,1.0
2,30,746,1.0,True,1.0,True,37.0,-1,0,0,0.0,0,37.0,38.0,0.0,1.0,37.0,2.0,1.0,1.0
3,2,691,1.0,True,1.0,True,39.0,-1,0,0,0.0,0,39.0,40.0,0.0,1.0,39.0,3.0,1.0,1.0
4,5,617,1.0,True,1.0,True,44.0,-1,0,0,0.0,0,44.0,45.0,0.0,1.0,42.0,0.0,1.0,1.0
5,10,595,1.0,True,1.0,True,54.0,-1,0,0,0.0,0,54.0,55.0,0.0,1.0,46.0,1.0,1.0,1.0
6,31,631,593.0,True,593.0,True,85.0,-1,0,0,0.0,0,85.0,678.0,0.0,593.0,47.0,2.0,1.0,1.0
7,31,532,1.0,True,1.0,True,116.0,-1,0,0,0.0,0,116.0,117.0,0.0,1.0,76.0,3.0,1.0,1.0
8,6,688,1.0,True,1.0,True,122.0,-1,0,0,0.0,0,122.0,123.0,0.0,1.0,77.0,0.0,1.0,1.0
9,3,745,1.0,True,1.0,True,125.0,-1,0,0,0.0,0,125.0,126.0,0.0,1.0,70.0,1.0,1.0,1.0
10,30,722,1.0,True,1.0,True,155.0,-1,0,0,0.0,0,155.0,156.0,0.0,1.0,38.0,3.0,1.0,1.0
11,2,596,1.0,True,1.0,True,157.0,-1,0,0,0.0,0,157.0,158.0,0.0,1.0,34.0,0.0,1.0,1.0
12,23,540,1.0,True,1.0,True,180.0,-1,0,0,0.0,0,180.0,181.0,0.0,1.0,54.0,1.0,1.0,1.0
