PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
3598,398,1025,1025,627,0,0
3598,409,1145,1145,736,0,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
75,481,560,635,79,1,0
82,461,679,761,218,1,2
87,473,762,849,289,1,2
190,505,636,826,131,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,614,1359,1360,745,1,0
1,616,679,680,63,1,2
82,461,1101,1183,640,1,0
87,473,636,723,163,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,616,724,725,108,1,0
1,614,1359,1360,745,1,0
1,673,1296,1297,623,1,2
1,668,679,680,11,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
16,644,1391,1407,747,1,0
82,461,724,806,263,1,0
190,505,1193,1383,688,1,2
275,674,687,962,13,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,694,963,964,269,1,2
1,723,965,966,242,1,2
16,644,724,740,80,1,0
82,461,741,823,280,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,774,1204,1205,430,1,2
1,825,828,829,3,1,0
49,798,1154,1203,356,1,2
190,505,963,1153,458,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,774,1404,1405,630,1,0
1,845,963,964,118,1,2
1,875,965,966,90,1,2
1,926,1660,1661,734,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,935,1436,1437,501,1,2
1,957,1023,1024,66,1,0
1,941,1021,1022,80,1,0
1,863,1434,1435,571,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,884,979,980,95,1,2
1,881,1021,1022,140,1,0
1,944,981,982,37,1,2
49,798,1023,1072,225,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
3,991,1035,1038,44,1,2
7,1011,1021,1028,10,1,0
286,906,1029,1315,123,1,0
512,535,1039,1551,504,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
3,991,1558,1561,567,1,0
42,1024,1035,1077,11,1,2
286,906,1078,1364,172,1,2
512,535,1045,1557,510,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
3,991,1567,1570,576,1,2
6,1039,1560,1566,521,1,2
11,1067,1548,1559,481,1,2
286,906,1072,1358,166,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1157,1359,1360,202,1,0
2,1223,1548,1550,325,1,2
3,1163,1705,1708,542,1,0
3,991,1587,1590,596,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
4,1279,1554,1558,275,1,2
5,1144,1548,1553,404,1,2
5,1248,1559,1564,311,1,2
6,1039,1372,1378,333,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1372,1384,1385,12,1,0
4,1279,1379,1383,100,1,0
5,1248,1554,1559,306,1,2
5,1144,1548,1553,404,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
3,1387,1392,1395,5,1,0
5,1248,1396,1401,148,1,0
10,1289,1402,1412,113,1,0
11,1067,1580,1591,513,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
14,1174,1618,1632,444,1,2
22,1112,1425,1447,313,1,0
32,1414,1585,1617,171,1,2
36,1187,1548,1584,361,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
3,1438,1548,1551,110,1,2
14,1174,1448,1462,274,1,0
32,1414,1500,1532,86,1,0
36,1187,1463,1499,276,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1468,1552,1553,84,1,2
1,1486,1554,1555,68,1,2
3,1438,1548,1551,110,1,2
32,1414,1500,1532,86,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1468,1533,1534,65,1,0
1,1486,1535,1536,49,1,0
1,1514,2077,2078,563,1,2
1,1515,1548,1549,33,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
3,1438,1579,1582,141,1,0
37,1119,1541,1578,422,1,0
62,1210,1634,1696,424,1,2
85,1327,1548,1633,221,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1542,1957,1958,415,1,2
3,1438,1946,1949,508,1,2
62,1210,1959,2021,749,1,2
85,1327,1579,1664,252,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1542,1701,1702,159,1,2
1,1555,1579,1580,24,1,0
3,1438,1634,1637,196,1,2
62,1210,1638,1700,428,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1542,1698,1699,156,1,2
1,1581,1741,1742,160,1,0
62,1210,1634,1696,424,1,2
154,1346,1585,1739,239,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1542,1803,1804,261,1,0
1,1581,2147,2148,566,1,2
7,1596,2149,2156,553,1,2
62,1210,1740,1802,530,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1542,1740,1741,198,1,0
1,1670,1697,1698,27,1,2
1,1675,1742,1743,67,1,0
1,1581,1699,1700,118,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1686,1705,1706,19,1,2
1,1671,1707,1708,36,1,2
1,1635,2149,2150,514,1,0
7,1596,2282,2289,686,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
17,1666,1719,1736,53,1,2
24,1683,2187,2211,504,1,0
35,1676,2212,2247,536,1,0
70,1623,2313,2383,690,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1761,1776,1777,15,1,0
70,1704,1833,1903,129,1,2
70,1623,1762,1832,139,1,2
1726,1460,1778,3504,318,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1761,1904,1905,143,1,2
31,1774,1776,1807,2,1,0
70,1704,1833,1903,129,1,2
1726,1460,1906,3632,446,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1761,2443,2444,682,1,2
1,1789,1808,1809,19,1,0
1,1801,2482,2483,681,1,2
70,1704,1810,1880,106,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1832,1837,1838,5,1,2
1726,1460,1881,3607,421,1,0
3598,1780,3685,3685,1905,0,3
3598,1732,4028,4028,2296,0,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1855,1885,1886,30,1,0
1,1880,1881,1882,1,1,0
1,1877,1883,1884,6,1,0
3598,1780,4028,4028,2248,0,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1886,1887,1888,1,1,0
3598,1879,4028,4028,2149,0,1
3598,1780,3566,3566,1786,0,2
3598,1732,3685,3685,1953,0,3
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
4,2028,2063,2067,35,1,0
3598,2020,3803,3803,1783,0,3
3598,2054,3607,3607,1553,0,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
2,2160,2183,2185,23,1,0
6,2154,2176,2182,22,1,0
235,2135,2186,2421,51,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,2212,2428,2429,216,1,0
1,2295,2424,2425,129,1,0
1,2370,2426,2427,56,1,0
1,2407,2422,2423,15,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
2,2228,2437,2439,209,1,0
2,2218,2430,2432,212,1,0
3,2278,2433,2436,155,1,0
45,2333,2440,2485,107,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
10,2439,2577,2587,138,1,0
45,2333,2531,2576,198,1,0
90,2355,2440,2530,85,1,0
99,2280,2588,2687,308,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
2,2467,2565,2567,98,1,0
10,2439,2531,2541,92,1,0
22,2523,2542,2564,19,1,0
45,2333,2568,2613,235,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,2549,2565,2566,16,1,0
2,2467,2713,2715,246,1,0
45,2333,2567,2612,234,1,0
99,2280,2613,2712,333,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
2,2467,2622,2624,155,1,0
8,2565,2567,2575,2,1,0
45,2333,2576,2621,243,1,0
99,2280,2625,2724,345,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
2,2467,2576,2578,109,1,0
2,2568,2579,2581,11,1,0
45,2333,2582,2627,249,1,0
99,2280,2628,2727,348,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
2,2618,2861,2863,243,1,0
99,2280,2761,2860,481,1,0
132,2321,2628,2760,307,1,0
211,2605,2864,3075,259,1,0
