,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime
0,1,576,1.0,True,1.0,True,1.0
1,6,727,1.0,True,1.0,True,7.0
2,30,746,1.0,True,1.0,True,37.0
3,2,691,1.0,True,1.0,True,39.0
4,5,617,1.0,True,1.0,True,44.0
5,10,595,1.0,True,1.0,True,54.0
6,31,631,593.0,True,56.0,True,85.0
7,31,532,1.0,True,1.0,True,116.0
8,6,688,1.0,True,1.0,True,122.0
9,3,745,1.0,True,5.0,False,125.0
10,30,722,1.0,True,1.0,True,155.0
11,2,596,1.0,True,1.0,True,157.0
12,23,540,1.0,True,5.0,True,180.0
13,18,586,1.0,True,1.0,True,198.0
14,28,683,1.0,True,1.0,True,226.0
15,15,576,1.0,True,1.0,True,241.0
16,10,689,1.0,True,1.0,True,251.0
17,28,571,1.0,True,1.0,True,279.0
18,24,675,1.0,True,1.0,True,303.0
19,23,588,1.0,True,1.0,True,326.0
20,17,607,216.0,True,415.0,True,343.0
21,19,644,7.0,True,27.0,True,362.0
22,10,617,3312.0,True,180.0,False,372.0
23,12,747,42.0,True,107.0,True,384.0
24,14,626,3598.0,False,580.0,False,398.0
25,11,735,3598.0,False,1518.0,False,409.0
26,18,707,3598.0,False,1630.0,False,427.0
27,19,621,3598.0,False,94.0,False,446.0
28,7,527,3598.0,False,407.0,True,453.0
29,8,640,82.0,True,85.0,True,461.0
30,12,698,87.0,True,614.0,False,473.0
31,8,660,75.0,True,393.0,False,481.0
32,24,688,190.0,True,28.0,True,505.0
33,30,510,512.0,True,316.0,False,535.0
34,25,535,1400.0,True,904.0,False,560.0
35,24,718,3134.0,True,272.0,True,584.0
36,30,745,1.0,True,1.0,True,614.0
37,2,718,1.0,True,1.0,True,616.0
38,28,747,16.0,True,208.0,True,644.0
39,24,740,1.0,True,1.0,True,668.0
40,5,623,1.0,True,1.0,True,673.0
41,1,739,275.0,True,73.0,True,674.0
42,16,720,3598.0,False,309.0,True,690.0
43,4,698,1.0,True,1.0,True,694.0
44,29,735,1.0,True,1.0,True,723.0
45,29,617,3598.0,False,1837.0,False,752.0
46,6,519,3598.0,False,178.0,True,758.0
47,16,630,1.0,True,1.0,True,774.0
48,24,584,49.0,True,253.0,True,798.0
49,12,741,3598.0,False,415.0,True,810.0
50,15,624,1.0,True,1.0,True,825.0
51,20,620,1.0,True,1.0,True,845.0
52,18,633,1.0,True,1.0,True,863.0
53,12,711,1.0,True,9.0,True,875.0
54,6,594,1.0,True,8.0,True,881.0
55,3,538,1.0,True,1.0,True,884.0
56,22,505,286.0,True,33.0,True,906.0
57,20,734,1.0,True,3.0,True,926.0
58,9,501,1.0,True,1.0,True,935.0
59,6,696,1.0,True,1.0,True,941.0
60,3,725,1.0,True,1.0,True,944.0
61,13,718,1.0,True,1.0,True,957.0
62,6,706,3598.0,False,2114.0,False,963.0
63,28,596,3.0,True,43.0,False,991.0
64,20,631,7.0,True,7.0,True,1011.0
65,13,596,42.0,True,17.0,True,1024.0
66,15,596,6.0,True,51.0,True,1039.0
67,28,513,11.0,True,167.0,True,1067.0
68,17,596,1507.0,True,379.0,True,1084.0
69,28,681,22.0,True,53.0,True,1112.0
70,7,603,37.0,True,33.0,True,1119.0
71,25,652,5.0,True,95.0,True,1144.0
72,1,575,3598.0,False,452.0,False,1145.0
73,12,627,1.0,True,1.0,True,1157.0
74,6,542,3.0,True,62.0,True,1163.0
75,11,563,14.0,True,78.0,True,1174.0
76,13,585,36.0,True,78.0,True,1187.0
77,23,749,62.0,True,106.0,True,1210.0
78,13,513,2.0,True,21.0,True,1223.0
79,25,684,5.0,True,12.0,True,1248.0
80,31,707,4.0,True,25.0,True,1279.0
81,10,630,10.0,True,21.0,True,1289.0
82,19,536,3598.0,False,836.0,False,1308.0
83,19,596,85.0,True,101.0,True,1327.0
84,19,617,154.0,True,158.0,True,1346.0
85,26,667,1.0,True,10.0,True,1372.0
86,15,663,3.0,True,30.0,True,1387.0
87,27,618,32.0,True,140.0,True,1414.0
88,24,508,3.0,True,30.0,True,1438.0
89,22,731,1726.0,True,994.0,True,1460.0
90,8,624,1.0,True,1.0,True,1468.0
91,18,707,1.0,True,1.0,True,1486.0
92,28,563,1.0,True,1.0,True,1514.0
93,1,578,1.0,True,1.0,True,1515.0
94,27,683,1.0,True,1.0,True,1542.0
95,13,606,1.0,True,2.0,True,1555.0
96,26,566,1.0,True,58.0,False,1581.0
97,15,686,7.0,True,111.0,True,1596.0
98,27,690,70.0,True,623.0,False,1623.0
99,12,514,1.0,True,2.0,True,1635.0
100,31,625,17.0,True,58.0,True,1666.0
101,4,532,1.0,True,19.0,True,1670.0
102,1,566,1.0,True,1.0,True,1671.0
103,4,711,1.0,True,1.0,True,1675.0
104,1,738,35.0,True,95.0,True,1676.0
105,7,504,24.0,True,5.0,True,1683.0
106,3,527,1.0,True,13.0,True,1686.0
107,18,588,70.0,True,381.0,True,1704.0
108,28,521,3598.0,False,609.0,False,1732.0
109,29,682,1.0,True,1.0,True,1761.0
110,13,661,31.0,True,413.0,True,1774.0
111,6,645,3598.0,False,1932.0,False,1780.0
112,9,515,1.0,True,1.0,True,1789.0
113,12,681,1.0,True,1.0,True,1801.0
114,31,700,1.0,True,1.0,True,1832.0
115,23,712,1.0,True,1.0,True,1855.0
116,22,656,1.0,True,1.0,True,1877.0
117,2,594,3598.0,False,296.0,False,1879.0
118,1,534,1.0,True,1.0,True,1880.0
119,6,635,1.0,True,3.0,True,1886.0
120,28,741,1.0,True,2.0,True,1914.0
121,9,687,1.0,True,1.0,True,1923.0
