PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
3598,398,1025,1025,627,0,0
3598,409,1145,1145,736,0,1
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
75,481,560,635,79,1,0
82,461,679,761,218,1,2
87,473,762,849,289,1,2
190,505,636,826,131,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,614,681,682,67,1,2
1,616,679,680,63,1,2
190,505,636,826,131,1,0
512,535,827,1339,292,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,668,1294,1295,626,1,2
1,673,1296,1297,623,1,2
16,644,827,843,183,1,0
82,461,844,926,383,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,694,827,828,133,1,0
1,774,831,832,57,1,0
1,616,829,830,213,1,0
1,614,783,784,169,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,723,791,792,68,1,2
87,473,1171,1258,698,1,0
275,674,827,1102,153,1,0
512,535,793,1305,258,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,825,827,828,2,1,0
49,798,1306,1355,508,1,2
87,473,829,916,356,1,0
275,674,1356,1631,682,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,845,919,920,74,1,0
1,875,1308,1309,433,1,2
1,881,917,918,36,1,0
1,884,1306,1307,422,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,863,1411,1412,548,1,0
49,798,1361,1410,563,1,2
275,674,1413,1688,739,1,0
286,906,1411,1697,505,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,926,1660,1661,734,1,2
1,935,975,976,40,1,0
1,941,977,978,36,1,0
1,957,1675,1676,718,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,944,1409,1410,465,1,0
1,863,1411,1412,548,1,0
275,674,1413,1688,739,1,0
286,906,1411,1697,505,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1157,1310,1311,153,1,2
2,1223,1278,1280,55,1,0
3,991,1306,1309,315,1,2
3,1163,1274,1277,111,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
4,1279,1986,1990,707,1,2
5,1144,1287,1292,143,1,0
5,1248,1293,1298,45,1,0
6,1039,1635,1641,596,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
7,1011,1306,1313,295,1,2
10,1289,1314,1324,25,1,2
11,1067,1311,1322,244,1,0
14,1174,1323,1337,149,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
22,1112,1325,1347,213,1,2
36,1187,1772,1808,585,1,2
37,1119,1722,1759,603,1,0
42,1024,1620,1662,596,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1372,1467,1468,95,1,0
62,1210,1541,1603,331,1,2
85,1327,1381,1466,54,1,0
154,1346,1386,1540,40,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1372,1467,1468,95,1,0
36,1187,1662,1698,475,1,2
154,1346,1469,1623,123,1,0
275,674,1386,1661,712,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
3,1387,1662,1665,275,1,2
3,1438,1467,1470,29,1,0
32,1414,1666,1698,252,1,2
62,1210,1959,2021,749,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1468,1471,1472,3,1,0
1,1372,2039,2040,667,1,0
36,1187,1662,1698,475,1,2
154,1346,1699,1853,353,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1486,1665,1666,179,1,0
1,1635,1666,1667,31,1,2
1,1555,1664,1665,109,1,2
1,1542,1667,1668,125,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1581,1669,1670,88,1,0
1,1515,2093,2094,578,1,2
1,1514,2077,2078,563,1,2
3,1387,1671,1674,284,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1670,1674,1675,4,1,2
1,1671,1673,1674,2,1,0
7,1596,1675,1682,79,1,0
17,1666,1683,1700,17,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1675,1683,1684,8,1,0
32,1414,1676,1708,262,1,2
62,1210,1685,1747,475,1,0
70,1623,1709,1779,86,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1675,2386,2387,711,1,0
17,1666,2291,2308,625,1,0
35,1676,1709,1744,33,1,2
62,1210,1959,2021,749,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1686,1739,1740,53,1,0
24,1683,1741,1765,58,1,0
70,1704,1843,1913,139,1,2
70,1623,1772,1842,149,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1761,1843,1844,82,1,2
70,1623,1766,1836,143,1,0
70,1704,1772,1842,68,1,2
1726,1460,1845,3571,385,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1789,1843,1844,54,1,2
1,1801,1839,1840,38,1,0
1,1832,1837,1838,5,1,0
31,1774,1841,1872,67,1,0
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1761,1845,1846,84,1,2
1726,1460,1873,3599,413,1,0
3598,1780,4028,4028,2248,0,1
3598,1732,3685,3685,1953,0,3
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,1855,1873,1874,18,1,0
3598,1732,3705,3705,1973,0,3
3598,1780,3615,3615,1835,0,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
4,2028,2063,2067,35,1,2
3598,2020,5365,5365,3345,0,1
3598,2054,5343,5343,3289,0,3
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
2,2160,2176,2178,16,1,2
6,2154,2415,2421,261,1,2
235,2135,2179,2414,44,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,2212,2419,2420,207,1,2
1,2295,2415,2416,120,1,2
1,2370,2417,2418,47,1,2
1,2407,2421,2422,14,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
2,2218,2806,2808,588,1,2
2,2228,2809,2811,581,1,2
3,2278,2819,2822,541,1,2
6,2154,2812,2818,658,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
10,2439,2577,2587,138,1,2
45,2333,2531,2576,198,1,2
90,2355,2440,2530,85,1,2
99,2280,2588,2687,308,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
2,2467,2687,2689,220,1,2
22,2523,2664,2686,141,1,2
132,2321,2531,2663,210,1,2
244,2423,2690,2934,267,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,2549,3223,3224,674,1,2
2,2568,3234,3236,666,1,2
2,2618,2664,2666,46,1,2
8,2565,3225,3233,660,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,2664,2667,2668,3,1,2
2,2467,2703,2705,236,1,2
10,2439,2692,2702,253,1,2
22,2523,2669,2691,146,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,2549,2669,2670,120,1,2
2,2568,2706,2708,138,1,2
8,2565,2697,2705,132,1,2
25,2665,2671,2696,6,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
2,2467,2743,2745,276,1,2
10,2439,2732,2742,293,1,2
22,2523,2709,2731,186,1,2
45,2333,2746,2791,413,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
2,2724,2832,2834,108,1,2
43,2722,2835,2878,113,1,2
99,2280,2732,2831,452,1,2
191,2641,2879,3070,238,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
2,2467,2852,2854,385,1,2
8,2769,2843,2851,74,1,2
10,2439,2832,2842,393,1,2
45,2333,2855,2900,522,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
2,2724,3147,3149,423,1,2
43,2722,3103,3146,381,1,2
67,2750,3035,3102,285,1,2
191,2641,2843,3034,202,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1,2883,3035,3036,152,1,2
1,2897,3039,3040,142,1,2
1,2893,3037,3038,144,1,2
2,2467,3041,3043,574,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
2,2724,3055,3057,331,1,2
4,3037,3050,3054,13,1,2
5,2972,3058,3063,86,1,2
5,2987,3044,3049,57,1,2
PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
8,2769,3064,3072,295,1,2
33,3007,3163,3196,156,1,2
43,2722,3119,3162,397,1,2
45,2333,3073,3118,740,1,2
